id,data_count_new,cluster_belong_new,data_count_sum
1,1,-1,1
2,1,-1,2
3,1,-5,3
4,3,9,6
5,2,9,8
6,1,-1,9
7,1,-1,10
8,1,-5,11
9,3,9,14
10,1,-1,15
11,1,-1,16
12,1,-1,17
13,1,-1,18
14,3,5,21
15,3,5,24
16,1,-1,25
17,1,-1,26
18,1,-1,27
19,1,-1,28
20,1,-1,29
21,1,-1,30
22,1,-1,31
23,2,9,33
24,1,-5,34
25,1,-1,35
26,1,-1,36
27,1,-1,37
28,1,-1,38
29,1,-1,39
30,1,-1,40
31,1,-1,41
32,3,3,44
33,1,-1,45
34,1,-1,46
35,1,-1,47
36,1,-1,48
37,1,-1,49
38,1,-5,50
39,3,4,53
40,1,-5,54
41,3,8,57
42,1,-5,58
43,1,-5,59
44,3,3,62
45,1,-5,63
46,1,-1,64
47,1,-1,65
48,1,-1,66
49,1,-1,67
50,2,8,69
51,5,1,74
52,1,-1,75
53,3,3,78
54,1,-5,79
55,1,-1,80
56,1,-1,81
57,1,-1,82
58,1,-1,83
59,1,-1,84
60,1,-1,85
61,1,-1,86
62,2,9,88
63,3,0,91
64,3,8,94
65,3,4,97
66,1,-5,98
67,3,3,101
68,4,9,105
69,1,-5,106
70,1,-1,107
71,1,-5,108
72,3,5,111
73,3,3,114
74,1,-1,115
75,1,-1,116
76,1,-1,117
77,1,-1,118
78,1,-5,119
79,3,9,122
80,1,-1,123
81,1,-1,124
82,1,-1,125
83,2,5,127
84,3,5,130
85,1,-1,131
86,1,-1,132
87,2,2,134
88,4,4,138
89,3,5,141
90,1,-1,142
91,3,7,145
92,1,-1,146
93,1,-1,147
94,3,6,150
95,1,-1,151
96,1,-5,152
97,4,8,156
98,3,8,159
99,2,1,161
100,3,4,164
101,1,-5,165
102,1,-1,166
103,1,-1,167
104,1,-1,168
105,1,-1,169
106,2,7,171
107,3,1,174
108,1,-1,175
109,1,-1,176
110,1,-5,177
111,3,8,180
112,1,-5,181
113,2,5,183
114,1,-1,184
115,1,-1,185
116,1,-1,186
117,1,-5,187
118,4,0,191
119,1,-1,192
120,3,6,195
121,1,-1,196
122,1,-1,197
123,1,-1,198
124,1,-1,199
125,1,-1,200
126,1,-1,201
127,1,-1,202
128,1,-1,203
129,1,-1,204
130,1,-1,205
131,1,-1,206
132,1,-1,207
133,4,5,211
134,1,-5,212
135,1,-1,213
136,1,-1,214
137,1,-1,215
138,1,-1,216
139,5,7,221
140,3,3,224
141,1,-1,225
142,1,-1,226
143,1,-1,227
144,1,-1,228
145,2,5,230
146,4,0,234
147,1,-1,235
148,1,-1,236
149,1,-1,237
150,1,-1,238
151,1,-1,239
152,1,-1,240
153,1,-1,241
154,1,-1,242
155,1,-1,243
156,1,-1,244
157,1,-1,245
158,1,-1,246
159,1,-1,247
160,3,5,250
161,2,5,252
162,1,-1,253
163,1,-1,254
164,1,-1,255
165,1,-1,256
166,1,-1,257
167,1,-1,258
168,1,-1,259
169,1,-1,260
170,1,-1,261
171,3,1,264
172,3,3,267
173,1,-1,268
174,1,-1,269
175,1,-1,270
176,1,-1,271
177,1,-1,272
178,1,-1,273
179,1,-1,274
180,1,-1,275
181,3,6,278
182,2,7,280
183,4,9,284
184,1,-5,285
185,3,0,288
186,1,-1,289
187,1,-1,290
188,1,-1,291
189,1,-5,292
190,3,0,295
191,1,-1,296
192,1,-1,297
193,1,-1,298
194,1,-5,299
195,4,0,303
196,2,8,305
197,1,-5,306
198,2,5,308
199,3,9,311
200,1,-1,312
201,1,-1,313
202,1,-1,314
203,1,-1,315
204,1,-1,316
205,2,5,318
206,4,9,322
207,1,-1,323
208,1,-1,324
209,1,-1,325
210,1,-1,326
211,1,-1,327
212,1,-1,328
213,1,-1,329
214,1,-1,330
215,1,-1,331
216,3,0,334
217,3,7,337
218,1,-1,338
219,2,3,340
220,4,3,344
221,1,-1,345
222,1,-1,346
223,1,-1,347
224,1,-1,348
225,1,-1,349
226,1,-1,350
227,1,-1,351
228,1,-1,352
229,1,-1,353
230,1,-1,354
231,1,-1,355
232,1,-1,356
233,1,-1,357
234,1,-1,358
235,1,-1,359
236,1,-1,360
237,1,-1,361
238,3,6,364
239,1,-1,365
240,1,-1,366
241,1,-1,367
242,1,-1,368
243,2,4,370
244,1,-1,371
245,3,5,374
246,1,-1,375
247,1,-5,376
248,3,0,379
249,1,-5,380
250,1,-1,381
251,1,-1,382
252,1,-1,383
253,3,8,386
254,1,-5,387
255,1,-1,388
256,1,-1,389
257,1,-1,390
258,1,-1,391
259,1,-1,392
260,1,-1,393
261,3,6,396
262,1,-1,397
263,3,9,400
264,1,-1,401
265,1,-1,402
266,1,-1,403
267,1,-1,404
268,1,-1,405
269,1,-1,406
270,1,-1,407
271,3,1,410
272,3,3,413
273,1,-5,414
274,1,-1,415
275,1,-1,416
276,1,-1,417
277,1,-1,418
278,3,7,421
279,1,-1,422
280,1,-1,423
281,1,-1,424
282,2,3,426
283,3,4,429
284,1,-1,430
285,1,-1,431
286,3,5,434
287,1,-1,435
288,1,-1,436
289,3,3,439
290,1,-1,440
291,1,-1,441
292,1,-1,442
293,1,-1,443
294,1,-1,444
295,1,-1,445
296,1,-1,446
297,1,-1,447
298,1,-1,448
299,1,-1,449
300,1,-1,450
301,3,3,453
302,1,-1,454
303,1,-1,455
304,1,-1,456
305,1,-1,457
306,3,5,460
307,3,7,463
308,3,0,466
309,2,0,468
310,1,-1,469
311,1,-1,470
312,1,-1,471
313,1,-1,472
314,3,7,475
315,2,0,477
316,1,-1,478
317,4,5,482
318,1,-1,483
319,1,-1,484
320,1,-1,485
321,1,-1,486
322,1,-1,487
323,1,-1,488
324,1,-1,489
325,1,-1,490
326,1,-1,491
327,1,-1,492
328,1,-1,493
329,1,-1,494
330,1,-1,495
331,1,-1,496
332,1,-1,497
333,1,-1,498
334,1,-1,499
335,4,5,503
336,1,-1,504
337,1,-5,505
338,2,5,507
339,1,-1,508
340,1,-1,509
341,1,-1,510
342,1,-1,511
343,1,-1,512
344,1,-1,513
345,1,-5,514
346,2,5,516
347,1,-1,517
348,1,-1,518
349,1,-1,519
350,3,4,522
351,1,-1,523
352,1,-1,524
353,1,-1,525
354,1,-1,526
355,3,8,529
356,2,9,531
357,1,-1,532
358,1,-1,533
359,1,-1,534
360,1,-1,535
361,1,-1,536
362,1,-1,537
363,1,-1,538
364,3,6,541
365,1,-1,542
366,1,-1,543
367,1,-1,544
368,1,-1,545
369,1,-1,546
370,1,-1,547
371,1,-1,548
372,1,-1,549
373,1,-1,550
374,1,-1,551
375,1,-1,552
376,1,-1,553
377,1,-1,554
378,1,-1,555
379,1,-1,556
380,1,-1,557
381,1,-1,558
382,1,-1,559
383,1,-1,560
384,1,-1,561
385,1,-1,562
386,1,-1,563
387,1,-1,564
388,1,-1,565
389,1,-1,566
390,1,-1,567
391,1,-1,568
392,1,-1,569
393,1,-1,570
394,1,-1,571
395,1,-1,572
396,1,-1,573
397,2,6,575
398,3,5,578
399,1,-1,579
400,1,-1,580
401,1,-1,581
402,1,-1,582
403,3,5,585
404,2,0,587
405,1,-1,588
406,1,-1,589
407,1,-1,590
408,1,-1,591
409,1,-1,592
410,1,-1,593
411,1,-1,594
412,1,-1,595
413,3,1,598
414,1,-1,599
415,1,-1,600
416,1,-1,601
417,1,-1,602
418,1,-1,603
419,3,0,606
420,1,-1,607
421,1,-1,608
422,1,-1,609
423,1,-1,610
424,1,-1,611
425,1,-1,612
426,1,-1,613
427,1,-1,614
428,1,-1,615
429,1,-1,616
430,2,3,618
431,1,-1,619
432,1,-1,620
433,1,-1,621
434,4,3,625
435,1,-1,626
436,3,2,629
437,1,-1,630
438,3,5,633
439,1,-1,634
440,1,-1,635
441,1,-1,636
442,3,2,639
443,1,-5,640
444,3,9,643
445,1,-1,644
446,1,-1,645
447,1,-1,646
448,1,-1,647
449,1,-1,648
450,1,-1,649
451,1,-1,650
452,1,-1,651
453,1,-1,652
454,1,-1,653
455,1,-1,654
456,1,-1,655
457,1,-1,656
458,1,-1,657
459,1,-1,658
460,1,-1,659
461,1,-1,660
462,1,-1,661
463,1,-1,662
464,1,-1,663
465,1,-1,664
466,1,-1,665
467,3,7,668
468,1,-1,669
469,1,-1,670
470,3,3,673
471,1,-1,674
472,1,-1,675
473,1,-1,676
474,1,-1,677
475,3,8,680
476,1,-1,681
477,1,-1,682
478,1,-1,683
479,1,-1,684
480,1,-5,685
481,3,4,688
482,4,5,692
483,1,-1,693
484,1,-1,694
485,1,-1,695
486,1,-1,696
487,1,-1,697
488,1,-1,698
489,1,-1,699
490,1,-1,700
491,1,-1,701
492,1,-1,702
493,1,-1,703
494,1,-1,704
495,1,-1,705
496,2,0,707
497,3,9,710
498,1,-1,711
499,1,-1,712
500,1,-5,713
501,3,0,716
502,2,9,718
503,1,-1,719
504,1,-1,720
505,6,7,726
506,2,2,728
507,1,-1,729
508,1,-5,730
509,4,0,734
510,1,-1,735
511,1,-1,736
512,3,3,739
513,1,-1,740
514,1,-1,741
515,1,-1,742
516,1,-1,743
517,1,-1,744
518,1,-1,745
519,1,-1,746
520,1,-5,747
521,3,7,750
522,5,1,755
523,1,-1,756
524,1,-1,757
525,1,-5,758
526,3,9,761
527,1,-1,762
528,1,-1,763
529,3,5,766
530,3,0,769
531,1,-5,770
532,3,0,773
533,1,-5,774
534,3,3,777
535,1,-1,778
536,1,-1,779
537,1,-1,780
538,1,-1,781
539,1,-1,782
540,1,-1,783
541,1,-1,784
542,4,9,788
543,1,-1,789
544,1,-1,790
545,1,-1,791
546,1,-1,792
547,1,-1,793
548,1,-1,794
549,1,-1,795
550,1,-1,796
551,3,9,799
552,3,9,802
553,1,-1,803
554,1,-1,804
555,1,-1,805
556,1,-1,806
557,1,-1,807
558,1,-1,808
559,1,-1,809
560,3,7,812
561,1,-1,813
562,1,-1,814
563,1,-1,815
564,1,-1,816
565,2,1,818
566,4,8,822
567,1,-1,823
568,1,-1,824
569,1,-1,825
570,3,3,828
571,3,7,831
572,1,-1,832
573,1,-1,833
574,1,-1,834
575,1,-1,835
576,1,-1,836
577,1,-1,837
578,1,-1,838
579,1,-1,839
580,3,3,842
581,3,1,845
582,2,7,847
583,3,3,850
584,3,9,853
585,2,9,855
586,3,4,858
587,1,-1,859
588,1,-1,860
589,1,-1,861
590,1,-1,862
591,1,-1,863
592,1,-1,864
593,4,9,868
594,3,0,871
595,1,-1,872
596,1,-1,873
597,1,-1,874
598,1,-1,875
599,1,-1,876
600,1,-5,877
601,4,4,881
602,4,9,885
603,1,-5,886
604,3,0,889
605,1,-1,890
606,1,-1,891
607,1,-1,892
608,1,-1,893
609,3,5,896
610,1,-1,897
611,1,-1,898
612,1,-1,899
613,1,-5,900
614,3,5,903
615,1,-1,904
616,1,-1,905
617,1,-1,906
618,5,9,911
619,1,-1,912
620,3,8,915
621,3,0,918
622,1,-1,919
623,1,-1,920
624,4,3,924
625,1,-1,925
626,1,-1,926
627,1,-1,927
628,1,-1,928
629,1,-1,929
630,1,-1,930
631,1,-1,931
632,1,-1,932
633,1,-1,933
634,1,-1,934
635,1,-1,935
636,1,-1,936
637,4,8,940
638,1,-1,941
639,1,-1,942
640,5,9,947
641,1,-1,948
642,2,3,950
643,5,1,955
644,1,-1,956
645,1,-1,957
646,2,5,959
647,1,-5,960
648,1,-5,961
649,3,8,964
650,1,-1,965
651,1,-1,966
652,1,-1,967
653,1,-1,968
654,1,-1,969
655,1,-1,970
656,4,5,974
657,1,-1,975
658,1,-1,976
659,1,-1,977
660,1,-1,978
661,3,5,981
662,1,-1,982
663,1,-1,983
664,1,-1,984
665,1,-1,985
666,1,-1,986
667,1,-1,987
668,1,-1,988
669,1,-1,989
670,4,5,993
671,1,-1,994
672,3,8,997
673,1,-5,998
674,1,-1,999
675,1,-1,1000
676,1,-1,1001
677,1,-1,1002
678,1,-1,1003
679,1,-1,1004
680,1,-1,1005
681,1,-1,1006
682,1,-1,1007
683,1,-1,1008
684,1,-1,1009
685,1,-5,1010
686,3,5,1013
687,8,4,1021
688,1,-5,1022
689,5,4,1027
690,2,8,1029
691,2,9,1031
692,3,0,1034
693,1,-1,1035
694,1,-1,1036
695,3,9,1039
696,3,8,1042
697,1,-5,1043
698,3,8,1046
699,2,4,1048
700,3,4,1051
701,1,-5,1052
702,1,-1,1053
703,1,-1,1054
704,1,-5,1055
705,4,0,1059
706,1,-5,1060
707,1,-1,1061
708,1,-1,1062
709,1,-1,1063
710,1,-1,1064
711,1,-1,1065
712,1,-1,1066
713,1,-1,1067
714,1,-5,1068
715,3,9,1071
716,1,-1,1072
717,1,-1,1073
718,1,-1,1074
719,1,-1,1075
720,1,-1,1076
721,1,-1,1077
722,4,9,1081
723,1,-5,1082
724,1,-1,1083
725,1,-1,1084
726,1,-1,1085
727,1,-1,1086
728,1,-1,1087
729,1,-1,1088
730,1,-1,1089
731,1,-1,1090
732,1,-1,1091
733,3,9,1094
734,2,4,1096
735,5,3,1101
736,1,-1,1102
737,1,-1,1103
738,1,-1,1104
739,1,-1,1105
740,1,-1,1106
741,3,3,1109
742,4,8,1113
743,1,-1,1114
744,1,-1,1115
745,1,-1,1116
746,1,-1,1117
747,1,-1,1118
748,3,5,1121
749,1,-1,1122
750,1,-1,1123
751,1,-1,1124
752,1,-1,1125
753,1,-1,1126
754,3,9,1129
755,3,5,1132
756,1,-1,1133
757,1,-1,1134
758,1,-1,1135
759,3,3,1138
760,1,-1,1139
761,3,4,1142
762,1,-5,1143
763,1,-1,1144
764,1,-1,1145
