id,data_count_new,cluster_belong_new,data_count_sum
1,3,4,3
2,2,5,5
3,2,3,7
4,2,3,9
5,2,3,11
6,2,4,13
7,1,-5,14
8,3,9,17
9,2,0,19
10,1,-5,20
11,1,-5,21
12,2,4,23
13,1,-5,24
14,2,6,26
15,1,-5,27
16,2,2,29
17,2,6,31
18,2,9,33
19,2,5,35
20,1,-5,36
21,2,9,38
22,1,-5,39
23,2,3,41
24,2,1,43
25,1,-5,44
26,2,5,46
27,3,0,49
28,1,-5,50
29,1,-5,51
30,1,-5,52
31,1,-5,53
32,1,-5,54
33,1,-5,55
34,1,-5,56
35,1,-5,57
36,7,4,64
37,2,4,66
38,2,4,68
39,2,0,70
40,1,-5,71
41,1,-5,72
42,3,0,75
43,1,-5,76
44,1,-5,77
45,2,8,79
46,2,5,81
47,10,4,91
48,1,-5,92
49,1,-5,93
50,2,4,95
51,1,-5,96
52,3,4,99
53,2,8,101
54,1,-5,102
55,1,-5,103
56,2,4,105
57,2,5,107
58,2,5,109
59,1,-5,110
60,2,5,112
61,2,7,114
62,2,9,116
63,2,1,118
64,2,6,120
65,1,-5,121
66,1,-5,122
67,2,8,124
68,1,-5,125
69,1,-5,126
70,1,-5,127
71,2,9,129
72,2,7,131
73,2,8,133
74,1,-5,134
75,2,1,136
76,2,1,138
77,1,-5,139
78,2,3,141
79,4,6,145
80,1,-5,146
81,1,-5,147
82,1,-5,148
83,1,-5,149
84,2,6,151
85,2,8,153
86,2,4,155
87,2,7,157
88,2,8,159
89,2,8,161
90,2,7,163
91,2,8,165
92,2,0,167
93,2,1,169
94,1,-5,170
95,2,4,172
96,1,-5,173
97,2,0,175
98,2,7,177
99,1,-5,178
100,1,-5,179
101,2,4,181
102,1,-5,182
103,2,3,184
104,1,-5,185
105,2,2,187
106,2,0,189
107,1,-5,190
108,2,4,192
109,2,3,194
110,1,-5,195
111,1,-5,196
112,2,4,198
113,2,4,200
114,2,9,202
115,1,-5,203
116,2,7,205
117,2,4,207
118,1,-5,208
119,1,-5,209
120,1,-5,210
121,2,4,212
122,1,-5,213
123,1,-5,214
124,1,-5,215
125,1,-5,216
126,1,-5,217
127,1,-5,218
128,2,0,220
129,1,-5,221
130,1,-5,222
131,1,-5,223
132,1,-5,224
133,3,4,227
134,1,-5,228
135,2,9,230
136,2,7,232
137,1,-5,233
138,2,0,235
139,1,-5,236
140,2,4,238
141,1,-5,239
142,2,8,241
143,1,-5,242
144,1,-5,243
145,3,4,246
146,1,-5,247
147,1,-5,248
148,2,7,250
149,1,-5,251
150,1,-5,252
151,2,2,254
152,1,-5,255
153,1,-5,256
154,1,-5,257
155,2,6,259
156,2,6,261
157,1,-5,262
158,2,0,264
159,2,4,266
160,1,-5,267
161,2,3,269
162,1,-5,270
163,2,8,272
164,1,-5,273
165,1,-5,274
166,2,2,276
167,1,-5,277
168,1,-5,278
169,1,-5,279
170,1,-5,280
171,3,6,283
172,1,-5,284
173,1,-5,285
174,1,-5,286
175,1,-5,287
176,2,9,289
177,1,-5,290
178,1,-5,291
179,1,-5,292
180,1,-5,293
181,1,-5,294
182,2,3,296
183,1,-5,297
184,1,-5,298
185,1,-5,299
186,2,1,301
187,2,2,303
188,3,9,306
189,2,5,308
190,1,-5,309
191,1,-5,310
192,1,-5,311
193,1,-5,312
194,2,7,314
195,1,-5,315
196,2,8,317
197,2,0,319
198,2,5,321
199,2,2,323
200,1,-5,324
201,2,0,326
202,2,1,328
203,2,1,330
204,2,4,332
205,2,1,334
206,1,-5,335
207,2,0,337
208,2,3,339
209,2,7,341
210,1,-5,342
211,2,4,344
212,2,3,346
213,2,8,348
214,1,-5,349
215,2,5,351
216,1,-5,352
217,1,-5,353
218,2,8,355
219,1,-5,356
220,2,7,358
221,1,-5,359
222,1,-5,360
223,1,-5,361
224,2,9,363
225,2,9,365
226,1,-5,366
227,2,1,368
228,2,0,370
229,2,5,372
230,2,3,374
231,1,-5,375
232,2,4,377
233,1,-5,378
234,1,-5,379
235,1,-5,380
236,2,9,382
237,2,1,384
238,1,-5,385
239,2,3,387
240,2,4,389
241,2,5,391
242,2,5,393
243,1,-5,394
244,2,5,396
245,1,-5,397
246,2,5,399
247,1,-5,400
248,2,7,402
249,1,-5,403
250,1,-5,404
251,1,-5,405
252,2,5,407
253,1,-5,408
254,2,4,410
255,2,6,412
256,1,-5,413
257,1,-5,414
258,1,-5,415
259,2,9,417
260,1,-5,418
261,2,4,420
262,2,3,422
263,2,9,424
264,2,6,426
265,1,-5,427
266,2,7,429
267,1,-5,430
268,1,-5,431
269,3,1,434
270,2,4,436
271,1,-5,437
272,1,-5,438
273,2,9,440
274,1,-5,441
275,2,4,443
276,1,-5,444
277,1,-5,445
278,2,9,447
279,1,-5,448
280,1,-5,449
281,1,-5,450
282,2,4,452
283,1,-5,453
284,2,6,455
285,2,2,457
286,1,-5,458
287,2,3,460
288,1,-5,461
289,1,-5,462
290,2,4,464
291,1,-5,465
292,2,4,467
293,2,0,469
294,1,-5,470
295,2,1,472
296,2,9,474
297,2,5,476
298,2,0,478
299,2,8,480
300,2,5,482
301,1,-5,483
302,1,-5,484
303,2,5,486
304,2,9,488
305,1,-5,489
306,1,-5,490
307,2,2,492
308,2,1,494
309,2,5,496
310,1,-5,497
311,2,5,499
312,1,-5,500
313,3,6,503
314,1,-5,504
315,1,-5,505
316,2,1,507
317,1,-5,508
318,1,-5,509
319,1,-5,510
320,1,-5,511
321,2,6,513
322,2,5,515
323,2,3,517
324,1,-5,518
325,2,5,520
326,1,-5,521
327,2,0,523
328,2,5,525
329,2,7,527
330,2,9,529
331,1,-5,530
332,2,8,532
333,2,9,534
334,1,-5,535
335,2,4,537
336,1,-5,538
337,2,5,540
338,1,-5,541
339,1,-5,542
340,2,0,544
341,1,-5,545
342,2,6,547
343,1,-5,548
344,1,-5,549
345,2,6,551
346,2,9,553
347,2,6,555
348,2,7,557
349,1,-5,558
350,2,4,560
351,2,9,562
352,1,-5,563
353,2,8,565
354,1,-5,566
355,1,-5,567
356,1,-5,568
357,2,0,570
358,2,4,572
359,2,6,574
360,2,3,576
361,2,3,578
362,2,9,580
363,1,-5,581
364,1,-5,582
365,2,1,584
366,1,-5,585
367,3,9,588
368,1,-5,589
369,2,7,591
370,2,9,593
371,1,-5,594
372,1,-5,595
373,2,9,597
374,1,-5,598
375,3,5,601
376,1,-5,602
377,1,-5,603
378,1,-5,604
379,1,-5,605
380,1,-5,606
381,2,8,608
382,1,-5,609
383,2,7,611
384,1,-5,612
385,1,-5,613
386,2,4,615
387,2,6,617
388,2,2,619
389,1,-5,620
390,1,-5,621
391,2,3,623
392,2,6,625
393,2,9,627
394,2,5,629
395,1,-5,630
