,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
0,3.0,3.0017,3.0315,3.0,3.0009,3.0009,3.0009,3.0,3.0,3.0004,784,369,49,844,381,921,210,601,546,814
1,3.0004,3.0022,3.0434,3.0004,3.0009,3.0022,3.0044,3.0,3.0004,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3.0017,3.0039,3.0472,3.0009,3.0017,3.0022,3.0061,3.0004,3.0004,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3.0022,3.0052,3.0477,3.0009,3.007,3.0035,3.0074,3.0022,3.0009,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3.0022,3.0052,3.059,3.0044,3.0074,3.0044,3.0074,3.0022,3.0022,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3.0052,3.0061,3.0825,3.0044,3.0074,3.0061,3.0088,3.0031,3.0031,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,3.0052,3.007,3.083,3.0044,3.0123,3.007,3.0106,3.0039,3.0035,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3.0052,3.007,3.0996,3.0052,3.0123,3.0074,3.0168,3.0044,3.0052,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3.0052,3.0074,3.1209,3.0057,3.0123,3.0074,3.0214,3.0044,3.0052,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3.0052,3.0088,3.1421,3.0061,3.0128,3.0088,3.0223,3.0052,3.0088,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3.0061,3.0106,3.1421,3.0061,3.0141,3.0088,3.0227,3.0057,3.0132,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3.0061,3.0123,3.1463,3.0074,3.0146,3.0088,3.0232,3.0079,3.0146,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,3.0079,3.015,3.1637,3.0088,3.0209,3.0092,3.0287,3.0079,3.0146,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3.0106,3.015,3.1791,3.0092,3.0255,3.0092,3.0306,3.0106,3.015,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,3.011,3.015,3.1851,3.0092,3.0264,3.0106,3.0325,3.0106,3.0164,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,3.011,3.015,3.1931,3.0097,3.0292,3.0114,3.0329,3.0132,3.0182,3.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3.011,3.0164,3.2125,3.0097,3.0297,3.0123,3.0334,3.0168,3.0209,3.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3.0114,3.0182,3.2321,3.0106,3.0297,3.0123,3.0339,3.0186,3.0223,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,3.0114,3.0214,3.2388,3.0106,3.0334,3.0123,3.0372,3.0191,3.0232,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3.0128,3.0232,3.2396,3.0114,3.0362,3.0128,3.0372,3.0205,3.0269,3.0079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,3.0141,3.0264,3.2565,3.0123,3.0405,3.0128,3.0381,3.0214,3.0273,3.0079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,3.0146,3.0269,3.2765,3.0132,3.0443,3.0128,3.0386,3.0214,3.0283,3.0079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,3.0146,3.0273,3.3526,3.0141,3.0453,3.0132,3.0395,3.0223,3.0306,3.0092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,3.015,3.0306,3.3726,3.0159,3.0482,3.0141,3.0424,3.0241,3.0311,3.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,3.0164,3.0329,3.3872,3.0159,3.0496,3.0141,3.0477,3.0264,3.0329,3.0114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,3.0164,3.0334,3.4112,3.0164,3.0521,3.0146,3.0491,3.0269,3.0334,3.0123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,3.0168,3.0334,3.4134,3.0168,3.0521,3.015,3.065,3.0269,3.0339,3.0132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,3.0173,3.0348,3.4145,3.0173,3.0565,3.0159,3.0701,3.0269,3.0357,3.0159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,3.0182,3.0353,3.4401,3.0186,3.0595,3.0164,3.0721,3.0273,3.0376,3.0164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,3.0186,3.0353,3.4522,3.0186,3.0615,3.0168,3.0731,3.0273,3.0386,3.0168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,3.0186,3.0362,3.4572,3.02,3.064,3.0173,3.0768,3.0283,3.0395,3.0168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,3.0191,3.0362,3.4647,3.0227,3.0645,3.0173,3.0768,3.0311,3.0405,3.0168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,3.02,3.0372,3.4672,3.0241,3.0655,3.0186,3.0788,3.0311,3.0434,3.0186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,3.02,3.0395,3.4763,3.0246,3.067,3.0191,3.0788,3.0315,3.0443,3.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,3.02,3.041,3.5072,3.0264,3.067,3.0191,3.0804,3.0325,3.0448,3.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,3.0205,3.0429,3.5901,3.0264,3.0675,3.0209,3.0835,3.0325,3.0453,3.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,3.0205,3.0429,3.6055,3.0269,3.0731,3.0214,3.0846,3.0325,3.0453,3.0209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,3.0209,3.0434,3.6091,3.0273,3.0768,3.0214,3.0851,3.0339,3.0458,3.0223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,3.0209,3.0443,3.6716,3.0273,3.0768,3.0223,3.0857,3.0353,3.0491,3.0223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,3.0227,3.0496,3.719,3.0283,3.0768,3.0223,3.0857,3.0353,3.0496,3.0232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,3.025,3.0511,3.7878,3.0283,3.0778,3.0223,3.0862,3.0362,3.0496,3.0232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,3.025,3.0511,3.8097,3.0292,3.0814,3.0227,3.0931,3.0376,3.0521,3.0232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,3.0264,3.0555,3.8962,3.0292,3.0851,3.0227,3.0942,3.0381,3.0521,3.0241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,3.0264,3.0565,3.9706,3.0297,3.0851,3.0241,3.1085,3.0381,3.0526,3.0241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,3.0264,3.0605,4.214,3.0297,3.0862,3.0246,3.1146,3.0395,3.0531,3.0246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,3.0273,3.0635,4.3478,3.0297,3.0872,3.025,3.1163,3.04,3.0575,3.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,3.0273,3.0635,4.4724,3.0306,3.0872,3.0255,3.1186,3.04,3.0575,3.0255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,3.0306,3.0645,4.8097,3.0306,3.0872,3.0255,3.1215,3.0419,3.059,3.0269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,3.0315,3.0665,4.9666,3.0311,3.0899,3.0264,3.1221,3.0419,3.061,3.0269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,3.0315,3.0685,-1,3.0315,3.0904,3.0264,3.1232,3.0419,3.0645,3.0273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,3.0325,3.0691,-1,3.0315,3.091,3.0269,3.1244,3.0424,3.0655,3.0273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,3.0325,3.0706,-1,3.0325,3.0926,3.0273,3.1255,3.0424,3.068,3.0283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,3.0334,3.0716,-1,3.0325,3.0931,3.0273,3.1296,3.0434,3.068,3.0287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,3.0362,3.0721,-1,3.0325,3.0937,3.0273,3.1302,3.0467,3.0685,3.0287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,3.0372,3.0731,-1,3.0334,3.0942,3.0283,3.1302,3.0472,3.0691,3.0292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,3.0372,3.0737,-1,3.0339,3.0947,3.0283,3.1308,3.0472,3.0711,3.0292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,3.0376,3.0747,-1,3.0353,3.0953,3.0283,3.1343,3.0506,3.0721,3.0311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,3.0395,3.0757,-1,3.0353,3.098,3.0283,3.1349,3.0506,3.0737,3.0315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,3.0395,3.0768,-1,3.0357,3.0985,3.0287,3.1373,3.0526,3.0737,3.0325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,3.04,3.0773,-1,3.0357,3.0996,3.0287,3.1463,3.0535,3.0747,3.0325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,3.04,3.0788,-1,3.0357,3.1002,3.0297,3.1512,3.0565,3.0752,3.0329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,3.0419,3.0794,-1,3.0376,3.1007,3.0311,3.1555,3.0575,3.0752,3.0339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,3.0429,3.082,-1,3.0376,3.1024,3.0311,3.1561,3.059,3.0768,3.0348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,3.0434,3.0825,-1,3.0381,3.1029,3.0311,3.1574,3.0595,3.0773,3.0353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
