,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
0,4.0004,4.0013,4.0017,4.0004,4.0017,4.0017,4.0013,4.0017,4.0004,4.0017,617,343,476,432,474,557,560,342,472,460
1,4.0013,4.0013,4.0026,4.0004,4.0017,4.0026,4.0026,4.0017,4.0013,4.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,4.0013,4.0017,4.0026,4.0004,4.0017,4.0026,4.0035,4.0061,4.0017,4.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,4.0035,4.0035,4.0035,4.0017,4.0017,4.0026,4.0052,4.007,4.0044,4.0079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4.0044,4.0044,4.0088,4.0026,4.0017,4.0035,4.0052,4.0079,4.0052,4.0088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,4.0052,4.0052,4.0088,4.0026,4.0044,4.0044,4.0052,4.0106,4.007,4.0137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4.0061,4.0061,4.0114,4.0026,4.0061,4.0052,4.0052,4.0132,4.0088,4.0146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,4.0061,4.007,4.0132,4.0052,4.007,4.007,4.0052,4.0132,4.0088,4.0155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,4.007,4.0097,4.0137,4.0079,4.0079,4.0088,4.0079,4.0137,4.0088,4.0155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,4.0097,4.0114,4.0146,4.0079,4.0097,4.0097,4.0079,4.0137,4.0088,4.0155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,4.0106,4.0137,4.0155,4.0088,4.0097,4.0132,4.0079,4.0146,4.0097,4.0182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,4.0106,4.0155,4.0173,4.0088,4.0106,4.0137,4.0079,4.0146,4.0097,4.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
