id,data_count_new,cluster_belong_new,data_count_sum
1,1,-1,1
2,2,4,3
3,3,3,6
4,2,9,8
5,1,-5,9
6,4,2,13
7,1,-5,14
8,2,1,16
9,1,-1,17
10,1,-1,18
11,3,9,21
12,1,-1,22
13,3,1,25
14,4,6,29
15,3,5,32
16,3,1,35
17,1,-1,36
18,1,-1,37
19,1,-1,38
20,4,4,42
21,4,5,46
22,1,-1,47
23,3,1,50
24,2,9,52
25,1,-1,53
26,3,4,56
27,1,-5,57
28,1,-1,58
29,1,-1,59
30,4,2,63
31,1,-1,64
32,1,-1,65
33,3,1,68
34,2,9,70
35,3,8,73
36,3,1,76
37,1,-5,77
38,1,-1,78
39,1,-1,79
40,1,-1,80
41,1,-1,81
42,1,-1,82
43,1,-1,83
44,1,-1,84
45,2,1,86
46,3,3,89
47,2,1,91
48,1,-5,92
49,3,9,95
50,1,-1,96
51,3,1,99
52,4,2,103
53,1,-5,104
54,1,-1,105
55,1,-1,106
56,1,-1,107
57,2,3,109
58,3,3,112
59,1,-5,113
60,1,-1,114
61,1,-1,115
62,1,-1,116
63,1,-1,117
64,3,4,120
65,1,-5,121
66,1,-5,122
67,2,9,124
68,3,4,127
69,1,-1,128
70,1,-1,129
71,3,7,132
72,3,9,135
73,3,2,138
74,1,-1,139
75,1,-1,140
76,2,4,142
77,3,4,145
78,1,-5,146
79,3,4,149
80,1,-1,150
81,1,-1,151
82,1,-5,152
83,3,2,155
84,3,2,158
85,3,9,161
86,1,-5,162
87,6,6,168
88,1,-1,169
89,3,3,172
90,6,2,178
91,2,1,180
92,1,-1,181
93,1,-1,182
94,1,-1,183
95,1,-1,184
96,1,-1,185
97,1,-1,186
98,1,-1,187
99,3,1,190
100,2,3,192
101,2,3,194
102,3,3,197
103,1,-1,198
104,3,9,201
105,1,-1,202
106,1,-1,203
107,1,-1,204
108,3,5,207
109,6,5,213
110,1,-1,214
111,3,4,217
112,3,9,220
113,1,-5,221
114,4,2,225
115,3,6,228
116,1,-1,229
117,1,-1,230
118,1,-1,231
119,1,-1,232
120,1,-1,233
121,1,-1,234
122,2,3,236
123,1,-5,237
124,3,2,240
125,2,4,242
126,3,4,245
127,1,-1,246
128,1,-1,247
129,5,6,252
130,1,-1,253
131,1,-1,254
132,1,-1,255
133,1,-1,256
134,1,-1,257
135,2,3,259
136,1,-1,260
137,4,6,264
138,3,1,267
139,1,-1,268
140,1,-1,269
141,1,-1,270
142,1,-1,271
143,1,-1,272
144,1,-1,273
145,1,-1,274
146,1,-1,275
147,1,-1,276
148,1,-1,277
149,1,-1,278
150,1,-1,279
151,1,-1,280
152,1,-1,281
153,1,-1,282
154,1,-1,283
155,1,-1,284
156,1,-1,285
157,1,-1,286
158,1,-1,287
159,1,-1,288
160,1,-1,289
161,1,-1,290
162,1,-1,291
163,1,-1,292
164,4,7,296
165,1,-1,297
166,1,-1,298
167,4,7,302
168,1,-1,303
169,1,-1,304
170,2,1,306
171,1,-1,307
172,1,-1,308
173,4,8,312
174,3,1,315
175,3,4,318
176,3,9,321
177,1,-1,322
178,1,-1,323
179,1,-1,324
180,1,-1,325
181,1,-1,326
182,1,-1,327
183,1,-1,328
184,1,-1,329
185,1,-1,330
186,2,9,332
187,1,-5,333
188,3,4,336
189,1,-1,337
190,1,-1,338
191,1,-1,339
192,1,-1,340
193,1,-1,341
194,1,-1,342
195,1,-1,343
196,4,2,347
197,3,9,350
198,1,-5,351
199,1,-1,352
200,1,-1,353
201,1,-1,354
202,1,-1,355
203,1,-1,356
204,1,-1,357
205,1,-1,358
