id,data_count_new,cluster_belong_new,data_count_sum
1,1,-1,1
2,2,6,3
3,1,-1,4
4,1,-1,5
5,1,-1,6
6,1,-1,7
7,1,-1,8
8,1,-1,9
9,1,-1,10
10,1,-1,11
11,1,-1,12
12,1,-1,13
13,1,-1,14
14,1,-1,15
15,1,-1,16
16,1,-1,17
17,1,-1,18
18,1,-1,19
19,3,6,22
20,1,-1,23
21,1,-1,24
22,1,-1,25
23,1,-1,26
24,1,-1,27
25,1,-1,28
26,1,-1,29
27,1,-1,30
28,1,-1,31
29,1,-1,32
30,1,-1,33
31,1,-1,34
32,1,-1,35
33,1,-1,36
34,1,-1,37
35,1,-1,38
36,2,4,40
37,1,-1,41
38,1,-1,42
39,1,-1,43
40,1,-1,44
41,1,-1,45
42,1,-1,46
43,1,-1,47
44,1,-1,48
45,1,-1,49
46,1,-1,50
47,1,-1,51
48,1,-1,52
49,1,-1,53
50,1,-1,54
51,1,-1,55
52,1,-1,56
53,1,-1,57
54,1,-1,58
55,1,-1,59
56,1,-1,60
57,1,-1,61
58,1,-1,62
59,1,-1,63
60,1,-1,64
61,1,-1,65
62,1,-1,66
63,1,-1,67
64,1,-1,68
65,1,-1,69
66,2,3,71
67,1,-1,72
68,2,6,74
69,1,-1,75
70,1,-1,76
71,2,0,78
72,1,-1,79
73,1,-1,80
74,1,-1,81
75,1,-1,82
76,1,-1,83
77,1,-1,84
78,1,-1,85
79,2,1,87
80,1,-1,88
81,1,-1,89
82,1,-1,90
83,1,-1,91
84,1,-1,92
85,1,-1,93
86,1,-1,94
87,2,9,96
88,1,-1,97
89,1,-1,98
90,1,-1,99
91,1,-1,100
92,1,-1,101
93,1,-1,102
94,1,-1,103
95,1,-1,104
96,1,-1,105
97,1,-1,106
98,1,-1,107
99,1,-1,108
100,1,-1,109
101,1,-1,110
102,1,-1,111
103,1,-1,112
104,1,-1,113
105,1,-1,114
106,1,-1,115
107,1,-1,116
108,1,-1,117
109,1,-1,118
110,1,-1,119
111,1,-1,120
112,1,-1,121
113,1,-1,122
114,1,-1,123
115,1,-1,124
116,1,-1,125
117,2,2,127
118,1,-1,128
119,1,-1,129
120,1,-1,130
121,1,-1,131
122,1,-1,132
123,1,-1,133
124,2,0,135
125,1,-1,136
126,1,-1,137
127,1,-1,138
128,1,-1,139
129,1,-1,140
130,1,-1,141
131,1,-1,142
132,1,-1,143
133,1,-1,144
134,1,-1,145
135,1,-1,146
136,1,-1,147
137,1,-1,148
138,1,-1,149
139,1,-1,150
140,1,-1,151
141,1,-1,152
142,1,-1,153
143,1,-1,154
144,1,-1,155
145,1,-1,156
146,1,-1,157
147,2,6,159
148,1,-1,160
149,1,-1,161
150,1,-1,162
151,1,-1,163
152,1,-1,164
153,1,-1,165
154,1,-1,166
155,1,-1,167
156,2,2,169
157,1,-1,170
158,1,-1,171
159,1,-1,172
160,1,-1,173
161,1,-1,174
162,1,-1,175
163,1,-1,176
164,1,-1,177
165,1,-1,178
166,1,-1,179
167,1,-1,180
168,1,-1,181
169,1,-1,182
170,1,-1,183
171,1,-1,184
172,1,-1,185
173,1,-1,186
174,1,-1,187
175,1,-1,188
176,1,-1,189
177,1,-1,190
178,1,-1,191
179,1,-1,192
180,1,-1,193
181,1,-1,194
182,1,-1,195
183,1,-1,196
184,1,-1,197
185,1,-1,198
186,1,-1,199
187,2,6,201
188,1,-1,202
189,1,-1,203
190,2,2,205
191,1,-1,206
192,1,-1,207
193,1,-1,208
194,1,-1,209
195,1,-1,210
196,1,-1,211
197,1,-1,212
198,1,-1,213
199,1,-1,214
200,1,-1,215
201,1,-1,216
202,1,-1,217
203,1,-1,218
204,1,-1,219
205,1,-1,220
206,1,-1,221
207,1,-1,222
208,1,-1,223
209,1,-1,224
210,1,-1,225
211,1,-1,226
212,1,-1,227
213,1,-1,228
214,1,-1,229
215,1,-1,230
216,1,-1,231
217,1,-1,232
218,1,-1,233
219,1,-1,234
220,1,-1,235
221,1,-1,236
222,1,-1,237
223,1,-1,238
224,2,4,240
225,1,-1,241
226,1,-1,242
227,1,-1,243
228,1,-1,244
229,1,-1,245
230,1,-1,246
231,1,-1,247
232,1,-1,248
233,1,-1,249
234,1,-1,250
235,1,-1,251
236,1,-1,252
237,1,-1,253
238,1,-1,254
239,1,-1,255
240,1,-1,256
241,1,-1,257
242,1,-1,258
243,2,7,260
244,1,-1,261
245,1,-1,262
246,1,-1,263
247,1,-1,264
248,3,0,267
249,1,-1,268
250,1,-1,269
251,1,-1,270
252,1,-1,271
253,1,-1,272
254,1,-1,273
255,2,8,275
256,1,-1,276
257,1,-1,277
258,1,-1,278
259,1,-1,279
260,1,-1,280
261,1,-1,281
262,1,-1,282
263,1,-1,283
264,1,-1,284
265,1,-1,285
266,2,4,287
267,1,-1,288
268,3,3,291
269,1,-1,292
270,1,-1,293
271,1,-1,294
272,1,-1,295
273,1,-1,296
274,1,-1,297
275,1,-1,298
276,1,-1,299
277,1,-1,300
278,1,-1,301
279,1,-1,302
280,1,-1,303
281,1,-1,304
282,1,-1,305
283,1,-1,306
284,1,-1,307
285,1,-1,308
286,1,-1,309
287,1,-1,310
288,1,-1,311
289,1,-1,312
290,1,-1,313
291,1,-1,314
292,1,-1,315
293,1,-1,316
294,1,-1,317
295,1,-1,318
296,1,-1,319
297,2,0,321
298,2,2,323
299,1,-1,324
300,1,-1,325
301,1,-1,326
302,1,-1,327
303,1,-1,328
304,1,-1,329
305,1,-1,330
306,3,2,333
307,1,-1,334
308,1,-1,335
309,1,-1,336
310,2,3,338
311,1,-1,339
312,1,-1,340
313,1,-1,341
314,1,-1,342
315,1,-1,343
316,1,-1,344
317,1,-1,345
318,1,-1,346
319,1,-1,347
320,1,-1,348
321,1,-1,349
322,1,-1,350
323,2,8,352
324,1,-1,353
325,1,-1,354
326,1,-1,355
327,1,-1,356
328,1,-1,357
329,1,-1,358
330,1,-1,359
331,1,-1,360
332,1,-1,361
333,1,-1,362
334,1,-1,363
335,1,-1,364
336,1,-1,365
337,1,-1,366
338,1,-1,367
339,1,-1,368
340,1,-1,369
341,1,-1,370
342,2,1,372
343,1,-1,373
344,2,0,375
345,1,-1,376
346,1,-1,377
347,1,-1,378
348,1,-1,379
349,1,-1,380
350,1,-1,381
351,1,-1,382
352,1,-1,383
353,1,-1,384
354,1,-1,385
355,1,-1,386
356,1,-1,387
357,1,-1,388
358,1,-1,389
359,1,-1,390
360,1,-1,391
361,1,-1,392
362,1,-1,393
363,1,-1,394
364,1,-1,395
365,1,-1,396
366,1,-1,397
367,1,-1,398
368,1,-1,399
369,2,4,401
370,1,-1,402
371,1,-1,403
372,1,-1,404
373,3,5,407
374,1,-1,408
375,1,-1,409
376,1,-1,410
377,1,-1,411
378,1,-1,412
379,1,-1,413
380,1,-1,414
381,1,-1,415
382,1,-1,416
383,1,-1,417
384,1,-1,418
385,1,-1,419
386,1,-1,420
387,1,-1,421
388,1,-1,422
389,2,3,424
390,1,-1,425
391,1,-1,426
392,1,-1,427
393,1,-1,428
394,1,-1,429
395,1,-1,430
396,1,-1,431
397,1,-1,432
398,1,-1,433
399,1,-1,434
400,1,-1,435
401,1,-1,436
402,2,8,438
403,1,-1,439
404,1,-1,440
405,1,-1,441
406,1,-1,442
407,2,0,444
408,1,-1,445
409,1,-1,446
410,1,-1,447
411,1,-1,448
412,1,-1,449
413,1,-1,450
414,1,-1,451
415,1,-1,452
416,1,-1,453
417,1,-1,454
418,1,-1,455
419,1,-1,456
420,1,-1,457
421,1,-1,458
422,1,-1,459
423,1,-1,460
424,1,-1,461
425,1,-1,462
426,1,-1,463
427,1,-1,464
428,1,-1,465
429,1,-1,466
430,1,-1,467
431,1,-1,468
432,1,-1,469
433,2,5,471
434,1,-1,472
435,1,-1,473
436,1,-1,474
437,1,-1,475
438,1,-1,476
439,1,-1,477
440,1,-1,478
441,1,-1,479
442,1,-1,480
443,1,-1,481
444,1,-1,482
445,1,-1,483
446,1,-1,484
447,1,-1,485
448,1,-1,486
449,1,-1,487
450,1,-1,488
451,1,-1,489
452,1,-1,490
453,1,-1,491
454,1,-1,492
455,1,-1,493
456,1,-1,494
457,2,9,496
458,2,7,498
459,2,2,500
460,1,-1,501
461,1,-1,502
462,1,-1,503
463,1,-1,504
464,1,-1,505
465,2,7,507
466,3,0,510
467,1,-1,511
