id,data_count_new,cluster_belong_new,data_count_sum
1,3,4,3
2,1,-1,4
3,1,-1,5
4,3,9,8
5,3,9,11
6,1,-1,12
7,1,-1,13
8,1,-1,14
9,1,-5,15
10,4,0,19
11,1,-1,20
12,4,5,24
13,1,-1,25
14,1,-1,26
15,1,-1,27
16,1,-1,28
17,1,-1,29
18,1,-5,30
19,3,9,33
20,1,-1,34
21,1,-1,35
22,1,-1,36
23,1,-1,37
24,1,-1,38
25,1,-1,39
26,1,-1,40
27,1,-1,41
28,3,1,44
29,2,5,46
30,3,0,49
31,1,-1,50
32,1,-1,51
33,1,-1,52
34,1,-1,53
35,1,-1,54
36,1,-1,55
37,1,-1,56
38,1,-5,57
39,7,4,64
40,2,4,66
41,3,8,69
42,1,-5,70
43,1,-1,71
44,1,-1,72
45,3,0,75
46,1,-5,76
47,1,-1,77
48,1,-1,78
49,1,-1,79
50,1,-1,80
51,1,-1,81
52,10,4,91
53,1,-5,92
54,1,-5,93
55,3,8,96
56,3,4,99
57,2,8,101
58,1,-1,102
59,1,-1,103
60,4,5,107
61,1,-1,108
62,1,-1,109
63,1,-1,110
64,3,9,113
65,3,5,116
66,3,3,119
67,2,9,121
68,1,-1,122
69,1,-1,123
70,1,-1,124
71,1,-1,125
72,1,-1,126
73,1,-1,127
74,1,-1,128
75,1,-1,129
76,2,7,131
77,1,-1,132
78,1,-1,133
79,1,-1,134
80,1,-5,135
81,3,3,138
82,1,-1,139
83,1,-1,140
84,1,-1,141
85,4,6,145
86,1,-1,146
87,1,-1,147
88,1,-1,148
89,1,-1,149
90,1,-1,150
91,1,-1,151
92,2,8,153
93,2,4,155
94,1,-1,156
95,1,-1,157
96,4,0,161
97,1,-1,162
98,1,-1,163
99,1,-1,164
100,1,-1,165
101,1,-1,166
102,1,-1,167
103,1,-5,168
104,4,0,172
105,1,-5,173
106,4,3,177
107,1,-1,178
108,1,-1,179
109,1,-1,180
110,1,-1,181
111,1,-1,182
112,1,-1,183
113,1,-1,184
114,1,-1,185
115,1,-5,186
116,3,9,189
117,1,-5,190
118,3,0,193
119,1,-5,194
120,1,-1,195
121,1,-1,196
122,1,-1,197
123,1,-1,198
124,4,9,202
125,1,-1,203
126,1,-1,204
127,1,-1,205
128,2,4,207
129,1,-5,208
130,1,-1,209
131,3,8,212
132,1,-5,213
133,1,-1,214
134,1,-1,215
135,1,-1,216
136,1,-1,217
137,1,-1,218
138,1,-1,219
139,1,-1,220
140,1,-1,221
141,1,-1,222
142,1,-1,223
143,1,-1,224
144,3,4,227
145,1,-5,228
146,3,0,231
147,2,5,233
148,1,-1,234
149,1,-1,235
150,3,3,238
151,1,-1,239
152,1,-1,240
153,1,-1,241
154,1,-1,242
155,1,-1,243
156,3,4,246
157,1,-5,247
158,1,-1,248
159,1,-1,249
160,1,-1,250
161,1,-1,251
162,1,-1,252
163,1,-1,253
164,1,-1,254
165,1,-1,255
166,1,-1,256
167,1,-1,257
168,1,-1,258
169,1,-1,259
170,1,-1,260
171,1,-1,261
172,1,-1,262
173,1,-5,263
174,3,4,266
175,3,1,269
176,1,-1,270
177,1,-1,271
178,1,-1,272
179,1,-1,273
180,1,-1,274
181,3,7,277
182,1,-1,278
183,1,-1,279
184,1,-1,280
185,3,6,283
186,1,-1,284
187,1,-1,285
188,1,-1,286
189,1,-1,287
190,1,-1,288
191,1,-1,289
192,1,-1,290
193,1,-1,291
194,1,-1,292
195,1,-1,293
196,1,-1,294
197,1,-1,295
198,1,-1,296
199,1,-1,297
200,1,-1,298
201,1,-1,299
202,3,3,302
203,1,-5,303
204,3,9,306
205,1,-1,307
206,1,-1,308
207,1,-1,309
208,1,-1,310
209,1,-1,311
210,1,-1,312
211,3,7,315
212,1,-1,316
213,1,-1,317
214,1,-1,318
215,1,-1,319
216,3,9,322
217,1,-5,323
218,1,-1,324
219,3,9,327
220,1,-5,328
221,1,-5,329
222,3,0,332
223,1,-1,333
224,1,-1,334
225,1,-1,335
226,1,-1,336
227,1,-1,337
228,1,-1,338
229,1,-1,339
230,1,-1,340
231,1,-1,341
232,1,-5,342
233,4,5,346
234,3,0,349
235,3,1,352
236,1,-1,353
237,2,8,355
238,1,-1,356
239,1,-1,357
240,1,-1,358
241,1,-1,359
242,1,-1,360
243,1,-1,361
244,4,0,365
245,1,-1,366
246,1,-5,367
247,3,5,370
248,4,5,374
249,1,-5,375
250,2,4,377
251,1,-5,378
252,1,-1,379
253,1,-1,380
254,2,9,382
255,3,7,385
256,2,3,387
257,4,9,391
258,2,5,393
259,1,-1,394
260,1,-1,395
261,1,-1,396
262,1,-1,397
263,1,-1,398
264,1,-1,399
265,1,-1,400
266,3,7,403
267,1,-1,404
268,1,-1,405
269,1,-1,406
270,1,-1,407
271,1,-1,408
272,1,-1,409
273,1,-1,410
274,1,-1,411
275,1,-1,412
276,1,-1,413
277,1,-1,414
278,1,-1,415
279,1,-1,416
280,1,-1,417
281,1,-1,418
282,3,4,421
283,1,-5,422
284,4,1,426
285,1,-1,427
286,3,3,430
287,1,-1,431
288,2,1,433
289,3,0,436
290,1,-1,437
291,1,-1,438
292,5,0,443
293,1,-1,444
294,1,-1,445
295,3,3,448
296,1,-1,449
297,1,-1,450
298,1,-1,451
299,1,-1,452
300,1,-1,453
301,1,-5,454
302,2,8,456
303,2,9,458
304,1,-1,459
305,1,-1,460
306,1,-1,461
307,3,8,464
308,1,-5,465
309,1,-1,466
310,1,-1,467
311,3,5,470
312,1,-5,471
313,3,9,474
314,1,-5,475
315,3,0,478
316,4,9,482
317,1,-1,483
318,1,-1,484
319,1,-5,485
320,3,0,488
321,1,-1,489
322,1,-1,490
323,1,-5,491
324,2,9,493
325,3,5,496
326,1,-1,497
327,1,-1,498
328,1,-1,499
329,1,-1,500
330,3,6,503
331,1,-1,504
332,1,-1,505
333,1,-1,506
334,1,-1,507
335,1,-1,508
336,1,-1,509
337,1,-1,510
338,1,-1,511
339,1,-5,512
340,3,9,515
341,3,9,518
342,3,9,521
343,4,3,525
344,1,-1,526
345,1,-1,527
346,3,3,530
347,4,9,534
348,1,-1,535
349,1,-1,536
350,1,-1,537
351,1,-1,538
352,1,-1,539
353,1,-1,540
354,1,-1,541
355,1,-1,542
356,3,5,545
357,1,-1,546
358,1,-1,547
359,1,-1,548
360,1,-1,549
361,1,-5,550
362,3,9,553
363,1,-1,554
364,1,-1,555
365,1,-1,556
366,1,-1,557
367,3,9,560
368,1,-1,561
369,1,-1,562
370,1,-1,563
371,3,5,566
372,1,-1,567
373,1,-1,568
374,4,0,572
375,1,-5,573
376,1,-5,574
377,3,5,577
378,3,9,580
379,1,-1,581
380,1,-1,582
381,3,7,585
382,3,9,588
383,1,-5,589
384,1,-5,590
385,3,0,593
386,1,-5,594
387,1,-1,595
388,1,-1,596
389,1,-1,597
390,1,-1,598
391,3,5,601
392,1,-1,602
393,1,-1,603
394,1,-1,604
395,1,-1,605
396,1,-1,606
397,3,3,609
398,1,-5,610
399,2,5,612
400,1,-1,613
401,1,-1,614
402,1,-1,615
403,1,-1,616
404,1,-1,617
405,1,-1,618
406,1,-1,619
407,1,-1,620
408,1,-1,621
409,1,-1,622
410,1,-1,623
