id,data_count_new,cluster_belong_new,data_count_sum
1,3,4,3
2,1,-1,4
3,1,-1,5
4,3,9,8
5,3,9,11
6,1,-1,12
7,1,-1,13
8,1,-1,14
9,1,-5,15
10,4,0,19
11,1,-1,20
12,4,5,24
13,1,-1,25
14,1,-1,26
15,1,-1,27
16,1,-1,28
17,1,-1,29
18,1,-5,30
19,3,9,33
20,1,-1,34
21,1,-1,35
22,1,-1,36
23,1,-1,37
24,1,-1,38
25,1,-1,39
26,1,-1,40
27,4,1,44
28,2,5,46
29,3,0,49
30,1,-1,50
31,1,-1,51
32,1,-1,52
33,1,-1,53
34,1,-1,54
35,1,-1,55
36,1,-1,56
37,1,-5,57
38,7,4,64
39,2,4,66
40,3,8,69
41,1,-5,70
42,1,-1,71
43,1,-1,72
44,3,0,75
45,1,-5,76
46,1,-1,77
47,1,-1,78
48,1,-1,79
49,1,-1,80
50,1,-1,81
51,10,4,91
52,1,-5,92
53,1,-5,93
54,3,8,96
55,3,4,99
56,2,8,101
57,1,-1,102
58,1,-1,103
59,4,5,107
60,1,-1,108
61,1,-1,109
62,1,-1,110
63,3,9,113
64,3,5,116
65,3,3,119
66,2,9,121
67,1,-1,122
68,1,-1,123
69,1,-1,124
70,1,-1,125
71,1,-1,126
72,1,-1,127
73,1,-1,128
74,1,-1,129
75,3,7,132
76,1,-1,133
77,1,-1,134
78,1,-5,135
79,3,3,138
80,1,-1,139
81,1,-1,140
82,1,-1,141
83,4,6,145
84,1,-1,146
85,1,-1,147
86,1,-1,148
87,1,-1,149
88,1,-1,150
89,1,-1,151
90,2,8,153
91,2,4,155
92,1,-1,156
93,1,-1,157
94,4,0,161
95,1,-1,162
96,1,-1,163
97,1,-1,164
98,1,-1,165
99,1,-1,166
100,1,-1,167
101,1,-5,168
102,4,0,172
103,1,-5,173
104,4,3,177
105,1,-1,178
106,1,-1,179
107,1,-1,180
108,1,-1,181
109,1,-1,182
110,1,-1,183
111,1,-1,184
112,1,-1,185
113,1,-5,186
114,3,9,189
115,1,-5,190
116,3,0,193
117,1,-5,194
118,1,-1,195
119,1,-1,196
120,1,-1,197
121,1,-1,198
122,4,9,202
123,1,-1,203
124,1,-1,204
125,1,-1,205
126,2,4,207
127,1,-5,208
128,1,-1,209
129,3,8,212
130,1,-5,213
131,1,-1,214
132,1,-1,215
133,1,-1,216
134,1,-1,217
135,1,-1,218
136,1,-1,219
137,1,-1,220
138,1,-1,221
139,1,-1,222
140,1,-1,223
141,1,-1,224
142,3,4,227
143,1,-5,228
144,3,0,231
145,2,5,233
146,1,-1,234
147,4,3,238
148,1,-1,239
149,1,-1,240
150,1,-1,241
151,1,-1,242
152,1,-1,243
153,3,4,246
154,1,-5,247
155,1,-1,248
156,1,-1,249
157,1,-1,250
158,1,-1,251
159,1,-1,252
160,1,-1,253
161,1,-1,254
162,1,-1,255
163,1,-1,256
164,1,-1,257
165,1,-1,258
166,1,-1,259
167,1,-1,260
168,1,-1,261
169,1,-1,262
170,1,-5,263
171,3,4,266
172,4,1,270
173,1,-1,271
174,1,-1,272
175,1,-1,273
176,1,-1,274
177,3,7,277
178,1,-1,278
179,1,-1,279
180,1,-1,280
181,3,6,283
182,1,-1,284
183,1,-1,285
184,1,-1,286
185,1,-1,287
186,1,-1,288
187,1,-1,289
188,1,-1,290
189,1,-1,291
190,1,-1,292
191,1,-1,293
192,1,-1,294
193,1,-1,295
194,1,-1,296
195,1,-1,297
196,1,-1,298
197,4,3,302
198,1,-5,303
199,3,9,306
200,1,-1,307
201,1,-1,308
202,1,-1,309
203,1,-1,310
204,1,-1,311
205,1,-1,312
206,4,7,316
207,1,-1,317
208,1,-1,318
209,1,-1,319
210,3,9,322
211,1,-5,323
212,1,-1,324
213,3,9,327
214,1,-5,328
215,1,-5,329
216,3,0,332
217,1,-1,333
218,1,-1,334
219,1,-1,335
220,1,-1,336
221,1,-1,337
222,1,-1,338
223,1,-1,339
224,1,-1,340
225,1,-1,341
226,1,-5,342
227,4,5,346
228,3,0,349
229,3,1,352
230,1,-1,353
231,2,8,355
232,1,-1,356
233,1,-1,357
234,1,-1,358
235,1,-1,359
236,1,-1,360
237,1,-1,361
238,4,0,365
239,1,-1,366
240,1,-5,367
241,3,5,370
242,4,5,374
243,1,-5,375
244,2,4,377
245,1,-5,378
246,1,-1,379
247,1,-1,380
248,2,9,382
249,3,7,385
250,2,3,387
251,4,9,391
252,3,5,394
253,1,-1,395
254,1,-1,396
255,1,-1,397
256,1,-1,398
257,1,-1,399
258,1,-1,400
259,3,7,403
260,1,-1,404
261,1,-1,405
262,1,-1,406
263,1,-1,407
264,1,-1,408
265,1,-1,409
266,1,-1,410
267,1,-1,411
268,1,-1,412
269,1,-1,413
270,1,-1,414
271,1,-1,415
272,1,-1,416
273,1,-1,417
274,1,-1,418
275,3,4,421
276,5,1,426
277,1,-1,427
278,3,3,430
279,3,1,433
280,3,0,436
281,1,-1,437
282,1,-1,438
283,5,0,443
284,1,-1,444
285,1,-1,445
286,3,3,448
287,1,-1,449
288,1,-1,450
289,1,-1,451
290,1,-1,452
291,1,-1,453
292,1,-5,454
293,2,8,456
294,2,9,458
295,1,-1,459
296,1,-1,460
297,1,-1,461
298,3,8,464
299,1,-5,465
300,1,-1,466
301,1,-1,467
302,4,5,471
303,3,9,474
304,1,-5,475
305,3,0,478
306,4,9,482
307,1,-1,483
308,1,-1,484
309,1,-5,485
310,3,0,488
311,1,-1,489
312,1,-1,490
313,1,-5,491
314,2,9,493
315,3,5,496
316,1,-1,497
317,1,-1,498
318,1,-1,499
319,1,-1,500
320,3,6,503
321,1,-1,504
322,1,-1,505
323,1,-1,506
324,1,-1,507
325,1,-1,508
326,1,-1,509
327,1,-1,510
328,1,-1,511
329,1,-5,512
330,3,9,515
331,3,9,518
332,3,9,521
333,6,3,527
334,3,3,530
335,4,9,534
336,1,-1,535
337,1,-1,536
338,1,-1,537
339,1,-1,538
340,1,-1,539
341,1,-1,540
342,1,-1,541
343,1,-1,542
344,4,5,546
345,1,-1,547
346,1,-1,548
347,1,-1,549
348,1,-5,550
349,3,9,553
350,1,-1,554
351,1,-1,555
352,1,-1,556
353,1,-1,557
354,3,9,560
355,1,-1,561
356,1,-1,562
357,1,-1,563
358,3,5,566
359,1,-1,567
360,1,-1,568
361,4,0,572
362,1,-5,573
363,4,5,577
364,3,9,580
365,1,-1,581
366,1,-1,582
367,3,7,585
368,3,9,588
369,1,-5,589
370,1,-5,590
371,3,0,593
372,1,-5,594
373,1,-1,595
374,1,-1,596
375,1,-1,597
376,1,-1,598
377,4,5,602
378,1,-1,603
379,1,-1,604
380,1,-1,605
381,5,3,610
382,2,5,612
383,1,-1,613
384,1,-1,614
385,1,-1,615
386,1,-1,616
387,1,-1,617
388,1,-1,618
389,1,-1,619
390,1,-1,620
391,1,-1,621
392,1,-1,622
393,1,-1,623
394,1,-1,624
395,1,-1,625
396,2,9,627
397,3,9,630
398,1,-1,631
399,1,-1,632
400,1,-1,633
401,1,-1,634
402,1,-1,635
403,1,-5,636
404,2,4,638
405,7,3,645
406,3,1,648
407,1,-5,649
408,3,9,652
409,4,4,656
410,1,-5,657
411,1,-1,658
