id,data_count_new,cluster_belong_new,data_count_sum
1,1,-1,1
2,1,-1,2
3,1,-1,3
4,1,-1,4
5,1,-1,5
6,1,-1,6
7,1,-1,7
8,1,-1,8
9,1,-1,9
10,1,-1,10
11,1,-1,11
12,1,-1,12
13,1,-1,13
14,2,5,15
15,1,-5,16
16,1,-5,17
17,1,-1,18
18,1,-1,19
19,1,-1,20
20,1,-1,21
21,1,-1,22
22,1,-1,23
23,1,-1,24
24,1,-1,25
25,1,-1,26
26,1,-1,27
27,1,-1,28
28,1,-1,29
29,1,-1,30
30,1,-1,31
31,1,-1,32
32,1,-1,33
33,1,-1,34
34,1,-1,35
35,1,-1,36
36,1,-1,37
37,1,-1,38
38,1,-1,39
39,1,-1,40
40,1,-1,41
41,2,5,43
42,1,-1,44
43,1,-1,45
44,1,-1,46
45,1,-1,47
46,1,-1,48
47,3,8,51
48,1,-1,52
49,1,-1,53
50,1,-1,54
51,1,-1,55
52,3,8,58
53,1,-1,59
54,1,-1,60
55,1,-1,61
56,22,3,83
57,3,3,86
58,1,-5,87
59,1,-1,88
60,1,-1,89
61,1,-1,90
62,1,-1,91
63,1,-1,92
64,1,-1,93
65,1,-1,94
66,1,-1,95
67,1,-1,96
68,1,-1,97
69,1,-1,98
70,1,-1,99
71,1,-1,100
72,1,-1,101
73,1,-1,102
74,1,-1,103
75,4,4,107
76,3,9,110
77,6,9,116
78,1,-1,117
79,9,1,126
80,1,-5,127
81,1,-1,128
82,1,-1,129
83,1,-1,130
84,1,-1,131
85,1,-1,132
86,1,-1,133
87,1,-1,134
88,1,-1,135
89,1,-1,136
90,1,-1,137
91,1,-1,138
92,1,-1,139
93,1,-1,140
94,1,-1,141
95,1,-1,142
96,1,-1,143
97,1,-1,144
98,3,5,147
99,1,-1,148
100,1,-1,149
101,1,-1,150
102,1,-1,151
103,3,5,154
104,1,-1,155
105,1,-1,156
106,6,3,162
107,3,3,165
108,1,-1,166
109,1,-1,167
110,1,-1,168
111,1,-1,169
112,1,-1,170
113,1,-1,171
114,3,8,174
115,1,-1,175
116,1,-1,176
117,1,-1,177
118,1,-1,178
119,1,-1,179
120,1,-1,180
121,1,-1,181
122,1,-1,182
123,1,-1,183
124,1,-1,184
125,1,-1,185
126,1,-1,186
127,1,-1,187
128,3,9,190
129,1,-1,191
130,1,-1,192
131,1,-1,193
132,1,-1,194
133,3,4,197
134,3,9,200
135,1,-1,201
136,1,-1,202
137,1,-1,203
138,1,-1,204
139,1,-1,205
140,3,8,208
141,1,-1,209
142,1,-5,210
143,3,5,213
144,3,1,216
145,1,-1,217
146,1,-1,218
147,1,-1,219
148,1,-1,220
149,4,4,224
150,3,9,227
151,1,-1,228
152,3,5,231
153,1,-1,232
154,1,-1,233
155,1,-1,234
156,1,-1,235
157,1,-1,236
158,1,-1,237
159,1,-1,238
160,1,-1,239
161,1,-1,240
162,1,-1,241
163,3,1,244
164,1,-1,245
165,1,-1,246
166,1,-1,247
167,1,-1,248
168,1,-1,249
169,1,-1,250
170,1,-1,251
171,1,-1,252
172,6,9,258
173,2,1,260
174,1,-5,261
175,1,-1,262
176,1,-1,263
177,1,-1,264
178,1,-1,265
179,4,1,269
180,1,-1,270
181,1,-1,271
182,1,-1,272
183,1,-1,273
184,3,9,276
185,3,1,279
186,1,-1,280
187,1,-1,281
188,1,-1,282
189,1,-1,283
190,1,-1,284
191,1,-1,285
192,1,-1,286
193,1,-5,287
194,3,3,290
195,4,5,294
196,1,-5,295
197,1,-5,296
198,2,3,298
199,3,6,301
200,1,-1,302
201,1,-1,303
202,3,4,306
203,3,9,309
204,1,-1,310
205,2,9,312
206,3,8,315
207,4,3,319
208,1,-5,320
209,1,-5,321
210,16,3,337
211,1,-5,338
212,1,-1,339
213,1,-1,340
214,2,9,342
215,3,9,345
216,1,-1,346
217,1,-1,347
218,1,-1,348
219,1,-1,349
220,1,-1,350
221,2,3,352
222,1,-5,353
223,1,-5,354
224,2,9,356
225,1,-1,357
226,1,-1,358
227,1,-1,359
228,1,-1,360
229,1,-1,361
230,1,-1,362
231,1,-1,363
232,1,-1,364
233,1,-1,365
234,1,-1,366
235,1,-1,367
236,1,-1,368
237,1,-1,369
238,1,-1,370
239,1,-1,371
240,1,-1,372
241,4,8,376
242,1,-1,377
243,1,-1,378
244,1,-1,379
245,3,5,382
246,4,4,386
247,1,-1,387
248,1,-1,388
249,1,-1,389
250,1,-1,390
251,1,-1,391
252,1,-1,392
253,6,5,398
254,1,-1,399
255,3,5,402
256,3,3,405
257,2,7,407
258,1,-1,408
259,1,-1,409
260,1,-1,410
261,1,-1,411
262,1,-1,412
263,3,4,415
264,1,-1,416
265,1,-5,417
266,3,1,420
267,1,-5,421
268,1,-1,422
269,1,-1,423
270,1,-1,424
271,1,-1,425
272,1,-1,426
273,1,-1,427
274,3,8,430
275,1,-5,431
276,1,-1,432
277,1,-1,433
278,3,1,436
279,2,7,438
280,1,-1,439
281,4,1,443
282,1,-5,444
283,2,0,446
284,1,-1,447
285,3,2,450
286,1,-5,451
287,1,-1,452
288,1,-1,453
289,1,-1,454
290,1,-1,455
291,1,-1,456
292,1,-1,457
293,1,-1,458
294,1,-1,459
295,1,-1,460
296,1,-1,461
297,1,-1,462
298,1,-1,463
299,1,-1,464
300,2,1,466
301,3,5,469
302,1,-1,470
303,1,-1,471
304,1,-1,472
305,3,9,475
306,2,7,477
307,1,-5,478
308,3,8,481
309,1,-1,482
310,1,-1,483
311,1,-1,484
312,3,5,487
313,1,-5,488
314,1,-1,489
315,1,-1,490
316,1,-1,491
317,1,-5,492
318,1,-5,493
319,4,3,497
320,2,5,499
321,3,1,502
322,4,3,506
323,1,-1,507
324,1,-1,508
325,1,-1,509
326,1,-1,510
327,1,-1,511
328,1,-1,512
329,1,-1,513
330,2,9,515
331,3,4,518
332,1,-1,519
333,1,-1,520
334,4,1,524
335,1,-1,525
336,1,-1,526
337,1,-1,527
338,1,-1,528
339,1,-1,529
340,1,-1,530
341,3,5,533
342,2,6,535
343,1,-1,536
344,1,-1,537
345,1,-1,538
346,3,9,541
347,2,3,543
348,1,-1,544
349,1,-1,545
350,3,1,548
351,2,2,550
352,1,-1,551
353,1,-1,552
354,1,-1,553
355,1,-1,554
356,4,5,558
357,1,-1,559
358,3,9,562
359,1,-1,563
360,1,-1,564
361,1,-1,565
362,1,-5,566
363,3,9,569
364,3,3,572
365,4,4,576
366,3,8,579
367,1,-1,580
368,1,-1,581
369,1,-1,582
370,1,-1,583
371,3,3,586
372,2,3,588
373,3,1,591
374,1,-1,592
375,1,-1,593
376,1,-1,594
377,1,-1,595
378,1,-1,596
379,1,-5,597
380,43,3,640
381,3,3,643
382,4,9,647
383,4,3,651
384,3,9,654
385,1,-5,655
386,1,-1,656
387,1,-1,657
388,1,-1,658
389,1,-1,659
390,1,-1,660
391,1,-1,661
392,1,-1,662
393,1,-1,663
394,1,-1,664
395,1,-1,665
396,3,9,668
397,2,9,670
398,1,-1,671
399,1,-1,672
400,1,-1,673
401,1,-1,674
402,1,-1,675
403,3,8,678
404,1,-1,679
405,1,-1,680
406,3,3,683
407,1,-1,684
408,1,-1,685
409,1,-1,686
410,1,-1,687
411,1,-1,688
412,1,-5,689
413,2,9,691
414,1,-5,692
415,2,1,694
416,1,-1,695
417,1,-1,696
418,4,8,700
419,1,-1,701
420,1,-1,702
421,1,-1,703
422,1,-1,704
423,1,-1,705
424,1,-1,706
425,1,-1,707
426,1,-1,708
427,1,-1,709
428,1,-1,710
429,1,-1,711
430,1,-1,712
431,1,-1,713
432,1,-1,714
433,1,-1,715
434,3,1,718
435,1,-1,719
436,1,-1,720
437,1,-1,721
438,1,-1,722
439,1,-1,723
440,1,-1,724
441,1,-1,725
442,1,-1,726
443,1,-1,727
444,1,-1,728
445,1,-1,729
446,1,-1,730
447,1,-1,731
448,1,-1,732
449,1,-1,733
450,1,-1,734
451,1,-1,735
452,1,-1,736
453,1,-1,737
454,1,-1,738
455,4,8,742
456,2,3,744
457,1,-1,745
458,1,-1,746
459,2,5,748
460,1,-5,749
461,1,-1,750
462,3,9,753
463,1,-5,754
464,1,-1,755
465,3,1,758
466,1,-5,759
467,2,7,761
468,1,-1,762
469,1,-1,763
470,1,-1,764
471,1,-1,765
472,1,-1,766
473,1,-1,767
474,1,-1,768
475,3,3,771
476,1,-5,772
477,1,-5,773
478,5,3,778
479,1,-5,779
480,1,-1,780
481,1,-1,781
482,1,-1,782
483,1,-1,783
484,1,-1,784
485,1,-1,785
486,1,-1,786
487,1,-1,787
488,1,-1,788
489,1,-1,789
490,4,8,793
491,1,-1,794
492,3,8,797
493,1,-1,798
494,1,-1,799
495,1,-1,800
496,1,-1,801
497,6,3,807
498,9,3,816
499,1,-5,817
500,1,-5,818
501,3,1,821
502,1,-1,822
503,1,-1,823
504,1,-1,824
505,1,-1,825
506,1,-1,826
507,1,-1,827
508,1,-1,828
509,1,-1,829
510,5,2,834
511,1,-1,835
512,1,-1,836
513,1,-1,837
514,1,-1,838
515,1,-1,839
516,1,-1,840
517,3,1,843
518,1,-5,844
519,3,1,847
520,3,5,850
521,1,-5,851
522,1,-1,852
523,1,-1,853
524,1,-1,854
525,3,0,857
526,1,-5,858
527,3,3,861
528,1,-5,862
529,2,2,864
530,1,-1,865
531,1,-1,866
532,1,-1,867
533,1,-1,868
534,3,1,871
535,1,-1,872
536,1,-1,873
537,4,2,877
538,3,4,880
539,1,-1,881
540,1,-1,882
541,1,-1,883
542,1,-5,884
543,3,3,887
544,3,1,890
545,28,3,918
546,4,9,922
547,1,-1,923
548,1,-1,924
549,1,-1,925
550,1,-1,926
551,1,-1,927
552,1,-1,928
553,1,-1,929
554,1,-1,930
555,1,-1,931
556,1,-1,932
557,1,-1,933
558,1,-1,934
559,1,-1,935
560,1,-1,936
561,1,-5,937
562,5,8,942
563,1,-1,943
564,1,-1,944
565,1,-5,945
566,3,9,948
567,5,2,953
568,1,-1,954
569,3,1,957
570,1,-5,958
571,1,-1,959
572,1,-5,960
573,4,1,964
574,1,-5,965
575,7,9,972
576,1,-5,973
577,1,-5,974
578,7,3,981
579,2,9,983
580,1,-5,984
581,3,1,987
582,1,-1,988
583,1,-1,989
584,1,-1,990
585,1,-1,991
586,1,-1,992
587,1,-1,993
588,1,-1,994
589,1,-1,995
590,1,-1,996
591,1,-1,997
592,1,-1,998
593,1,-1,999
594,1,-1,1000
595,3,1,1003
596,1,-1,1004
597,1,-1,1005
598,1,-1,1006
599,1,-1,1007
600,1,-1,1008
601,4,5,1012
602,1,-1,1013
603,3,2,1016
604,3,4,1019
605,1,-1,1020
606,1,-1,1021
607,1,-1,1022
608,1,-1,1023
609,1,-1,1024
610,1,-1,1025
611,1,-1,1026
612,1,-1,1027
613,1,-1,1028
614,1,-1,1029
615,1,-1,1030
616,1,-1,1031
617,2,5,1033
618,3,1,1036
619,1,-1,1037
620,1,-1,1038
621,1,-1,1039
622,1,-1,1040
623,1,-1,1041
624,1,-1,1042
625,1,-1,1043
626,1,-1,1044
627,3,7,1047
628,3,3,1050
629,1,-1,1051
630,3,4,1054
631,2,5,1056
632,1,-1,1057
633,1,-1,1058
634,1,-1,1059
635,1,-5,1060
636,3,3,1063
637,1,-5,1064
638,1,-1,1065
639,1,-1,1066
640,5,0,1071
641,1,-1,1072
642,3,2,1075
643,1,-5,1076
644,1,-1,1077
645,1,-1,1078
646,3,3,1081
647,3,8,1084
648,1,-1,1085
649,4,6,1089
650,3,8,1092
651,1,-1,1093
652,4,6,1097
653,1,-1,1098
654,1,-1,1099
655,1,-1,1100
656,1,-1,1101
657,1,-1,1102
658,1,-1,1103
659,1,-1,1104
660,2,1,1106
661,3,9,1109
662,1,-1,1110
663,1,-1,1111
664,1,-1,1112
665,1,-1,1113
666,1,-1,1114
667,1,-1,1115
668,1,-1,1116
669,1,-1,1117
670,1,-1,1118
671,1,-1,1119
672,1,-1,1120
673,3,5,1123
674,1,-1,1124
675,1,-1,1125
676,1,-1,1126
677,1,-1,1127
678,1,-1,1128
679,1,-1,1129
680,1,-1,1130
681,2,1,1132
682,3,9,1135
683,1,-1,1136
684,1,-1,1137
685,1,-1,1138
686,1,-1,1139
687,1,-1,1140
688,1,-1,1141
689,1,-1,1142
690,1,-1,1143
691,1,-1,1144
692,1,-1,1145
693,1,-1,1146
694,3,5,1149
695,1,-1,1150
696,1,-1,1151
697,4,5,1155
698,1,-1,1156
699,1,-1,1157
700,1,-1,1158
701,1,-1,1159
702,1,-1,1160
703,1,-1,1161
704,3,9,1164
705,2,9,1166
706,3,3,1169
707,5,3,1174
708,5,9,1179
709,1,-5,1180
710,1,-1,1181
711,1,-1,1182
712,1,-1,1183
713,1,-1,1184
714,1,-1,1185
715,1,-1,1186
716,1,-1,1187
717,1,-1,1188
718,1,-1,1189
719,1,-1,1190
720,1,-1,1191
721,1,-1,1192
722,1,-1,1193
723,1,-1,1194
724,1,-1,1195
725,1,-1,1196
726,1,-1,1197
727,3,6,1200
728,1,-1,1201
729,1,-1,1202
730,1,-1,1203
731,3,9,1206
732,1,-1,1207
733,1,-1,1208
734,3,8,1211
735,3,5,1214
736,1,-5,1215
737,1,-1,1216
738,1,-1,1217
739,1,-1,1218
740,1,-1,1219
741,1,-1,1220
742,1,-1,1221
743,1,-1,1222
744,1,-1,1223
745,1,-1,1224
746,1,-1,1225
747,1,-1,1226
748,1,-1,1227
749,1,-1,1228
750,3,9,1231
751,3,8,1234
752,3,8,1237
753,3,5,1240
754,2,5,1242
755,2,3,1244
756,1,-1,1245
