,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8603,11081,21200,1951,21777,17436,5251,17657,20105,13934
1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3.0,3.0,3.0,3.0009,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,3.0,3.0,3.0,3.0009,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3.0,3.0,3.0,3.0009,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3.0004,3.0,3.0,3.0009,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3.0004,3.0,3.0,3.0017,3.0,3.0,3.0004,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3.0004,3.0,3.0,3.0017,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3.0004,3.0,3.0,3.0017,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,3.0004,3.0004,3.0,3.0022,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3.0004,3.0004,3.0,3.0022,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,3.0004,3.0004,3.0,3.0035,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,3.0004,3.0004,3.0,3.0035,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3.0004,3.0004,3.0,3.0035,3.0,3.0,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3.0004,3.0004,3.0,3.0035,3.0,3.0004,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,3.0004,3.0004,3.0,3.0035,3.0,3.0004,3.0009,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3.0004,3.0004,3.0,3.0035,3.0,3.0004,3.0017,3.0,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
