id,center_pos,weight,draw_input0,draw_input1,draw_input2,draw_input3,draw_input4,draw_input5,draw_input6,draw_input7,draw_input8,draw_input9,arr_final,arr_final_draw
0,3054388,4.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,3055118,4.567,0,-1,0,-1,0,0,0,-1,0,0,0,0
2,3055255,4.0985,0,-1,0,-1,0,0,0,-1,0,0,0,0
3,3059773,4.0386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3062602,4.2933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3065177,4.9586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,3067740,4.1255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3069296,4.1555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3077446,4.2306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3085467,4.5045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3087281,4.0453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3087839,4.2418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,3091017,4.0292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3094000,4.1574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,3095850,4.4168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,3096684,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3097204,4.2916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3100295,5.6882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,3106980,4.2426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3112284,4.0521,1,-1,1,-1,1,1,1,-1,1,1,1,4
20,3112429,4.0223,1,-1,1,-1,1,1,1,-1,1,1,1,4
21,3112582,4.0232,1,-1,1,-1,1,1,1,-1,1,1,1,4
22,3113376,5.0625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,3127982,6.6676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,3128821,4.1831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,3135791,4.1649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,3145317,4.2211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,3146644,4.0448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,3165577,4.9031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,3169799,4.9469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,3172467,5.1543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,3187317,4.3261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
