id,center_pos,weight,draw_input0,draw_input1,draw_input2,draw_input3,draw_input4,draw_input5,draw_input6,draw_input7,draw_input8,draw_input9,arr_final,arr_final_draw
0,60033,3.2765,0,0,0,0,0,0,0,0,0,0,0,0
1,60071,3.2765,0,0,0,0,0,0,0,0,0,0,0,0
2,60109,3.2765,0,0,0,0,0,0,0,0,0,0,0,0
3,60783,3.6882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,60953,3.699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,62067,3.04,-1,1,1,1,-1,-1,1,1,-1,-1,1,4
6,62288,3.5901,-1,1,1,1,-1,-1,1,1,-1,-1,1,4
7,62348,3.2526,-1,1,1,1,-1,-1,1,1,-1,-1,1,4
8,62606,3.6162,-1,1,1,1,-1,1,1,1,-1,-1,2,8
9,62679,3.2993,-1,1,1,1,-1,1,1,1,-1,-1,2,8
10,62889,3.5719,-1,1,1,1,-1,1,1,1,-1,-1,2,8
11,63903,3.1337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,63943,3.1337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,66136,3.3706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,66824,3.475,-1,2,2,2,-1,2,2,2,-1,1,3,12
15,66955,3.0264,1,2,2,2,-1,2,2,2,-1,1,4,16
16,67082,3.0443,1,2,2,2,-1,2,2,2,-1,1,4,16
17,67179,4.0872,1,2,2,2,-1,2,2,2,-1,1,4,16
18,67276,4.1238,1,2,2,2,-1,2,2,2,-1,1,4,16
19,68957,3.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,70199,3.4425,-1,3,3,-1,-1,-1,3,3,-1,-1,5,20
21,70482,3.0009,-1,3,3,-1,-1,-1,3,3,-1,-1,5,20
22,70519,3.1752,-1,3,3,-1,-1,-1,3,3,-1,-1,5,20
23,70821,3.2034,-1,3,3,-1,-1,-1,3,3,-1,-1,5,20
24,71867,4.2765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,72288,3.5143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,72928,4.4622,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,73518,3.8761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,74017,3.0645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,75126,3.4473,-1,-1,4,-1,-1,-1,4,-1,-1,-1,6,24
30,75515,3.4949,-1,4,4,3,-1,3,4,4,-1,2,7,28
31,75679,3.0996,-1,4,4,3,-1,3,4,4,-1,2,7,28
32,75804,3.1637,-1,4,4,3,-1,3,4,4,-1,2,7,28
33,77462,3.083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,77662,3.5622,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,78648,3.1046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,79720,3.5331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,79846,3.2277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,81871,3.7959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,82433,3.5214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,82655,3.3737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,83816,3.153,-1,5,5,-1,-1,-1,5,-1,-1,-1,8,32
42,84175,3.5258,-1,5,5,-1,-1,-1,5,-1,-1,-1,8,32
43,84452,3.2495,-1,5,5,-1,-1,-1,5,-1,-1,-1,8,32
44,86108,3.041,-1,-1,6,-1,-1,-1,6,-1,-1,-1,9,36
45,86276,3.3696,-1,-1,6,-1,-1,-1,6,-1,-1,-1,9,36
46,86681,3.0491,2,6,6,4,-1,4,6,5,-1,3,10,40
47,86788,3.0899,2,6,6,4,-1,4,6,5,-1,3,10,40
48,86912,3.983,2,6,6,4,-1,4,6,5,-1,3,10,40
49,87813,3.5901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,88843,3.5114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,89569,3.1688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
