rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,11581384,11581376,11581868,11581877,17,0,6.5287,30.25,72.9073
2,86018163,86018155,86018986,86018995,26,0,4.1451,32.92,41.3389
3,11581074,11581066,11581329,11581338,9,0,6.5287,31.875,36.811
4,134665333,134665325,134665883,134665892,21,0,4.1457,27.5,31.673
5,175295,175287,175721,175730,14,0,4.3625,32.7692,21.0871
6,1691753,1691745,1692257,1692266,22,0,3.6271,24.0,19.3977
7,56227283,56227275,56231437,56231446,9,1,4.9914,519.25,17.7225
8,106143470,106143462,106143780,106143789,11,0,3.9066,31.0,16.8292
9,78202336,78202328,78204029,78204038,6,4,6.2874,338.6,16.804
10,67534680,67534672,67538343,67538352,6,1,6.1163,732.6,16.6779
11,12591267,12591259,12592791,12592800,4,1,5.3915,508.0,15.4541
12,124410057,124410049,124412715,124412724,7,7,6.618,443.0,15.2275
13,107663314,107663306,107669066,107669075,9,6,5.1079,719.0,15.015
14,31732418,31732410,31737714,31737723,10,4,4.1163,588.4444,14.6935
15,26748000,26747992,26749023,26749032,7,2,5.3019,170.5,14.5887
16,132993105,132993097,132996859,132996868,9,1,4.3872,469.25,14.4953
17,90434699,90434691,90436282,90436291,4,7,5.5045,527.6667,14.0441
18,98729942,98729934,98732149,98732158,7,7,4.5171,367.8333,13.8481
19,27310587,27310579,27313315,27313324,5,6,5.5591,682.0,13.6385
20,41466079,41466071,41468799,41468808,7,4,5.1325,453.3333,13.3657
21,31595260,31595252,31595575,31595584,4,5,4.7986,105.0,13.2309
22,94765090,94765082,94766720,94766729,5,1,5.2343,407.5,13.1108
23,57652668,57652660,57653579,57653588,6,2,5.2161,182.2,13.0427
24,125351495,125351487,125354867,125354876,6,7,5.9957,674.4,13.0
25,25565740,25565732,25567045,25567054,5,1,5.1385,326.25,12.985
26,24393575,24393567,24395051,24395060,4,4,4.9281,492.0,12.9165
27,35913630,35913622,35917690,35917699,8,1,4.857,580.0,12.8305
28,71590207,71590199,71590677,71590686,3,4,5.5834,235.0,12.6706
29,13664292,13664284,13667145,13667154,9,7,5.0013,356.625,12.5969
30,59834163,59834155,59834988,59834997,5,4,6.301,206.25,12.5643
31,111814987,111814979,111816210,111816219,4,4,5.0048,407.6667,12.4964
32,99187402,99187394,99189644,99189653,5,6,4.9101,560.5,12.4789
33,37402269,37402261,37407141,37407150,10,1,4.1925,541.3333,12.4266
34,127755597,127755589,127757876,127757885,8,4,4.4134,325.5714,12.3954
35,107296112,107296104,107297321,107297330,5,7,4.8153,302.25,12.3568
36,121040186,121040178,121042473,121042482,7,7,4.5331,381.1667,12.2528
37,92105637,92105629,92108966,92108975,8,7,4.3429,475.5714,12.2477
38,83119137,83119129,83119391,83119400,2,7,5.8794,254.0,12.1499
39,27078985,27078977,27080609,27080618,5,7,4.9957,406.0,12.1257
40,45568718,45568710,45569102,45569111,3,2,6.6126,192.0,12.0524
41,20418218,20418210,20419242,20419251,3,1,6.0975,512.0,12.052
42,61078738,61078730,61078860,61078869,6,0,4.3298,24.4,12.0419
43,72258328,72258320,72262664,72262673,7,1,5.1918,722.6667,11.9714
44,31868603,31868595,31869275,31869284,3,1,5.2581,336.0,11.9328
45,38970913,38970905,38971212,38971221,2,7,6.9914,299.0,11.9297
46,14546597,14546589,14547003,14547012,7,9,6.4001,67.6667,11.9178
47,104894381,104894373,104894679,104894688,4,5,4.7878,99.3333,11.9094
48,125475943,125475935,125478652,125478661,7,1,4.5086,451.5,11.8901
49,50715582,50715574,50716978,50716987,11,8,4.6819,139.6,11.8853
50,119953774,119953766,119954178,119954187,12,0,4.2534,36.7273,11.7713
51,88933790,88933782,88936177,88936186,5,7,5.0665,596.75,11.771
52,6992145,6992137,6996297,6996306,11,7,4.4123,415.2,11.7526
53,26421775,26421767,26422145,26422154,4,8,6.4572,123.3333,11.7487
54,62213626,62213618,62213872,62213881,2,4,7.5918,246.0,11.7248
55,21229487,21229479,21231419,21231428,6,4,5.4522,386.4,11.7194
56,83206589,83206581,83206875,83206884,2,7,5.6421,286.0,11.6717
57,113617641,113617633,113621673,113621682,8,7,4.4841,576.0,11.5214
58,123892604,123892596,123892987,123892996,3,2,5.8477,191.5,11.5139
59,22206950,22206942,22207650,22207659,6,8,4.4318,140.0,11.4905
60,122372559,122372551,122375492,122375501,7,7,4.3449,488.8333,11.4734
61,36029240,36029232,36032655,36032664,7,3,4.6478,569.1667,11.4173
62,110262821,110262813,110264992,110265001,4,1,6.4802,723.6667,11.2984
63,32495131,32495123,32497003,32497012,6,7,4.7986,374.4,11.2649
64,37443263,37443255,37444826,37444835,6,4,4.4461,312.6,11.2611
65,7137979,7137971,7141339,7141348,8,7,4.2782,480.0,11.217
66,78858202,78858194,78859370,78859379,3,7,5.1451,584.0,11.2134
67,74132108,74132100,74134602,74134611,6,1,3.9245,498.8,11.1568
68,65506550,65506542,65510293,65510302,6,7,4.7423,748.6,11.1563
69,124486458,124486450,124490504,124490513,7,6,5.1918,674.3333,11.1327
70,33076579,33076571,33077980,33077989,3,1,6.7144,700.5,11.0984
71,37171222,37171214,37172423,37172432,4,4,5.0386,400.3333,11.0875
72,115969176,115969168,115971444,115971453,5,1,4.7825,567.0,11.082
73,88929909,88929901,88930059,88930068,2,8,5.7645,150.0,11.0411
74,3913908,3913900,3915222,3915231,4,7,5.0477,438.0,11.0409
75,123010609,123010601,123010879,123010888,3,8,6.0391,135.0,10.999
76,109866471,109866463,109869239,109869248,7,4,6.3344,461.3333,10.9796
77,27297957,27297949,27302543,27302552,9,1,4.0395,573.25,10.9256
78,87563953,87563945,87564158,87564167,2,4,6.9706,205.0,10.9212
79,31049036,31049028,31049225,31049234,2,2,6.3468,189.0,10.9155
80,55043831,55043823,55044977,55044986,3,4,5.0477,573.0,10.8705
81,83791320,83791312,83791774,83791783,3,4,6.2248,227.0,10.8315
82,134056489,134056481,134056877,134056886,3,2,6.4815,194.0,10.8306
83,39670140,39670132,39672284,39672293,8,4,4.3372,306.2857,10.8247
84,57016063,57016055,57018935,57018944,7,7,4.6289,478.6667,10.8219
85,69178098,69178090,69178137,69178146,2,0,6.1035,39.0,10.79
86,113150632,113150624,113153003,113153012,5,7,4.5884,592.75,10.7535
87,100374504,100374496,100376663,100376672,5,4,5.2055,539.75,10.7384
88,24807779,24807771,24808037,24808046,5,9,5.7375,64.5,10.7122
89,106901148,106901140,106905463,106905472,11,7,4.7375,431.5,10.6995
90,72555198,72555190,72556869,72556878,5,7,4.1255,417.75,10.6956
91,106911809,106911801,106913572,106913581,6,4,5.1475,352.6,10.6896
92,96771800,96771792,96772002,96772011,3,5,6.0506,101.0,10.6341
93,5879033,5879025,5882149,5882158,8,1,4.0017,445.1429,10.6167
94,100719025,100719017,100722174,100722183,10,4,4.1355,349.8889,10.6137
95,35817436,35817428,35817681,35817690,2,4,5.7721,245.0,10.5744
96,99694759,99694751,99698327,99698336,7,7,4.1605,594.6667,10.5462
97,41073648,41073640,41075466,41075475,4,1,4.6925,606.0,10.5403
98,103051861,103051853,103054296,103054305,5,6,4.5214,608.75,10.5214
99,3764400,3764392,3764547,3764556,2,8,6.2328,147.0,10.5162
100,89379582,89379574,89382278,89382287,6,1,5.1158,539.2,10.5069
101,99708568,99708560,99710000,99710009,5,4,4.7305,358.0,10.5036
102,42280988,42280980,42281261,42281270,3,8,6.2069,136.5,10.5034
103,81384575,81384567,81384736,81384745,4,9,7.4342,53.6667,10.4976
104,81009928,81009920,81010806,81010815,5,4,5.8477,219.5,10.4729
105,68283851,68283843,68287263,68287272,9,7,4.1487,426.5,10.4594
106,110801832,110801824,110804440,110804449,7,1,4.7696,434.6667,10.4369
107,26282305,26282297,26282775,26282784,3,4,5.7167,235.0,10.4032
108,79807788,79807780,79811164,79811173,9,1,4.2865,422.0,10.3979
109,116082999,116082991,116083048,116083057,2,9,6.1878,49.0,10.3847
110,39573023,39573015,39575695,39575704,5,7,5.7905,668.0,10.383
111,73984215,73984207,73985135,73985144,6,2,4.857,184.0,10.3497
112,89339829,89339821,89340172,89340181,3,2,7.8794,171.5,10.3462
113,59428978,59428970,59429568,59429577,4,2,5.7986,196.6667,10.3412
114,107030359,107030351,107030469,107030478,2,5,6.6055,110.0,10.3399
115,37285531,37285523,37287210,37287219,6,4,4.6536,335.8,10.3373
116,127742325,127742317,127742951,127742960,3,1,6.1068,313.0,10.3324
117,24034420,24034412,24037523,24037532,9,7,4.7799,387.875,10.3167
118,93440476,93440468,93443455,93443464,5,1,4.4908,744.75,10.316
119,25321109,25321101,25322587,25322596,4,1,5.2757,492.6667,10.3148
120,27673828,27673820,27676588,27676597,6,1,4.8386,552.0,10.307
121,132307645,132307637,132308018,132308027,2,6,6.6778,373.0,10.3069
122,37430937,37430929,37432126,37432135,3,1,5.0809,594.5,10.2962
123,115172229,115172221,115172531,115172540,2,7,5.3072,302.0,10.2911
124,33811871,33811863,33812121,33812130,2,4,6.9957,250.0,10.2892
125,133200580,133200572,133203213,133203222,6,1,4.567,526.6,10.2569
126,32323324,32323316,32323390,32323399,2,9,7.0419,66.0,10.2427
127,7872656,7872648,7873812,7873821,3,1,5.1113,578.0,10.2253
128,23349944,23349936,23353837,23353846,10,4,4.2684,432.5556,10.2129
129,42443205,42443197,42445331,42445340,7,4,4.1152,354.3333,10.211
130,24883635,24883627,24884222,24884231,3,7,6.251,293.5,10.1908
131,5254695,5254687,5256401,5256410,4,1,4.6216,568.6667,10.1885
132,6921891,6921883,6924678,6924687,5,3,5.821,696.75,10.1844
133,11778729,11778721,11778807,11778816,2,9,7.4698,78.0,10.1831
134,40858501,40858493,40858671,40858680,3,5,6.2815,85.0,10.1806
135,49763312,49763304,49763373,49763382,2,9,6.8729,61.0,10.1744
136,62998707,62998699,63002534,63002543,10,7,4.3883,425.2222,10.1661
137,8480925,8480917,8484664,8484673,7,6,4.4449,623.1667,10.1635
138,65738637,65738629,65739096,65739105,16,0,3.3696,30.6,10.1601
139,114354714,114354706,114356506,114356515,4,3,5.057,597.3333,10.1601
140,67405742,67405734,67406748,67406757,3,4,4.8928,503.0,10.1512
141,56957609,56957601,56958854,56958863,3,6,6.5544,622.5,10.1499
142,121172451,121172443,121173389,121173398,5,4,5.5607,234.5,10.1486
143,109899590,109899582,109901499,109901508,4,7,5.6517,636.3333,10.1242
144,92289610,92289602,92293276,92293285,6,6,4.382,733.2,10.1223
145,62920519,62920511,62920651,62920660,2,8,7.0297,132.0,10.1218
146,15173326,15173318,15173563,15173572,3,8,6.0975,118.5,10.1134
147,80695900,80695892,80698111,80698120,5,7,4.4535,552.75,10.1028
148,95109144,95109136,95110987,95110996,8,7,4.3372,263.2857,10.0939
149,109697297,109697289,109699161,109699170,5,1,4.9031,466.0,10.0819
150,74011323,74011315,74015579,74015588,8,1,3.8356,608.0,10.0764
151,71828363,71828355,71829796,71829805,4,4,6.7496,477.6667,10.0646
152,10706003,10705995,10706437,10706446,3,4,5.5952,217.0,10.0528
153,93590832,93590824,93592239,93592248,4,1,7.4306,469.0,10.0432
154,58249303,58249295,58250660,58250669,4,7,5.2741,452.3333,10.0423
155,28158095,28158087,28158400,28158409,3,8,5.6536,152.5,10.0399
156,6683006,6682998,6683928,6683937,4,7,6.0405,307.3333,10.0331
157,28434467,28434459,28434566,28434575,2,5,7.8327,99.0,10.014
158,101034795,101034787,101035469,101035478,3,1,5.2733,337.0,10.0105
159,60903144,60903136,60904871,60904880,8,4,4.0915,246.7143,9.9847
160,10469909,10469901,10471732,10471741,4,6,6.0223,607.6667,9.9825
161,94921474,94921466,94921761,94921770,3,8,6.2277,143.5,9.9595
162,100971560,100971552,100972740,100972749,3,4,6.3778,590.0,9.9492
163,4389629,4389621,4393050,4393059,6,1,4.9508,684.2,9.9397
164,71775743,71775735,71775917,71775926,2,2,6.6402,174.0,9.9334
165,128173984,128173976,128175843,128175852,4,1,5.5317,619.6667,9.9283
166,111243815,111243807,111246799,111246808,6,6,5.202,596.8,9.9217
167,119953148,119953140,119953481,119953490,10,0,4.2534,37.0,9.9134
168,108185195,108185187,108186437,108186446,4,4,4.475,414.0,9.9035
169,63170567,63170559,63170855,63170864,4,5,4.6003,96.0,9.8946
170,97976649,97976641,97979613,97979622,8,4,3.8794,423.4286,9.8875
171,103081892,103081884,103084617,103084626,7,1,4.4962,454.1667,9.8872
172,67804861,67804853,67804904,67804913,2,0,7.1261,43.0,9.8833
173,103880403,103880395,103882387,103882396,4,6,5.0846,661.3333,9.883
174,101229434,101229426,101231572,101231581,4,1,4.5751,712.6667,9.8661
175,10482270,10482262,10485790,10485799,6,6,4.5171,704.0,9.8625
176,118746307,118746299,118746471,118746480,7,0,4.3107,27.3333,9.8616
177,122100718,122100710,122103239,122103248,5,7,5.556,630.25,9.8531
178,47823635,47823627,47824907,47824916,4,7,4.7496,424.0,9.8377
179,99645283,99645275,99646649,99646658,5,4,4.6576,341.5,9.8302
180,98330728,98330720,98333414,98333423,6,7,4.6615,537.2,9.8044
181,125119143,125119135,125119459,125119468,2,1,5.3788,316.0,9.7944
182,4458853,4458845,4460736,4460745,6,7,4.4001,376.6,9.787
183,57718192,57718184,57718753,57718762,3,7,5.3497,280.5,9.7865
184,98989578,98989570,98989685,98989694,4,0,5.0931,35.6667,9.7856
185,118126212,118126204,118126518,118126527,6,9,5.0685,61.2,9.7832
186,23500232,23500224,23501865,23501874,4,7,6.058,544.3333,9.7691
187,109611915,109611907,109611915,109611924,1,-1,6.8153,0,9.7663
188,109983513,109983505,109983513,109983522,1,-1,7.0814,0,9.7663
189,56314827,56314819,56316684,56316693,7,7,4.4895,309.5,9.754
190,106204967,106204959,106205343,106205352,4,8,5.4401,125.3333,9.7494
191,88980954,88980946,88982523,88982532,4,7,4.5544,523.0,9.747
192,95588943,95588935,95589157,95589166,2,4,5.2848,214.0,9.7468
193,91335052,91335044,91336126,91336135,7,2,4.1891,179.0,9.7456
194,42487706,42487698,42488009,42488018,3,8,5.1046,151.5,9.7395
195,121346823,121346815,121348846,121348855,4,6,6.3487,674.3333,9.7211
196,32560844,32560836,32561137,32561146,3,8,6.4202,146.5,9.7175
197,80632248,80632240,80632657,80632666,3,4,6.0357,204.5,9.7154
198,131726538,131726530,131727990,131727999,4,7,5.1158,484.0,9.7142
199,125936724,125936716,125938171,125938180,4,1,5.27,482.3333,9.7128
200,124350018,124350010,124351959,124351968,6,7,4.5751,388.2,9.7055
201,73428995,73428987,73430088,73430097,4,1,5.684,364.3333,9.6722
202,62873184,62873176,62873565,62873574,4,8,4.8447,127.0,9.6671
203,132645258,132645250,132646925,132646934,5,4,4.4522,416.75,9.6577
204,29443016,29443008,29445725,29445734,5,7,4.4895,677.25,9.6526
205,97182924,97182916,97183809,97183818,7,8,4.6517,147.5,9.6505
206,94967461,94967453,94968577,94968586,4,6,6.5072,372.0,9.6495
207,101658597,101658589,101658875,101658884,4,5,5.9914,92.6667,9.6322
208,81036327,81036319,81036831,81036840,3,4,5.341,252.0,9.6309
