,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
0,3.0004,3.0,3.0,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,664,5274,3587,3017,2322,4613,262,990,4352,5343
1,3.0009,3.0,3.0,3.0,3.0,3.0,3.0039,3.0009,3.0,3.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3.0031,3.0009,3.0,3.0004,3.0,3.0,3.007,3.0022,3.0,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3.0035,3.0009,3.0,3.0004,3.0,3.0,3.0074,3.0022,3.0,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3.0039,3.0009,3.0004,3.0009,3.0,3.0,3.0074,3.0022,3.0,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3.0052,3.0009,3.0004,3.0009,3.0004,3.0004,3.0079,3.0031,3.0004,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,3.0052,3.0017,3.0004,3.0022,3.0004,3.0004,3.0079,3.0031,3.0004,3.0009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3.0061,3.0017,3.0004,3.0022,3.0009,3.0004,3.0088,3.0035,3.0004,3.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3.0088,3.0017,3.0004,3.0022,3.0017,3.0004,3.0106,3.0039,3.0004,3.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3.0092,3.0017,3.0004,3.0022,3.0017,3.0004,3.0106,3.0044,3.0009,3.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3.0106,3.0017,3.0004,3.0031,3.0017,3.0004,3.0114,3.0044,3.0009,3.0017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3.0106,3.0022,3.0009,3.0031,3.0022,3.0009,3.0223,3.0044,3.0009,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,3.0106,3.0022,3.0009,3.0031,3.0022,3.0009,3.0255,3.0057,3.0009,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3.0106,3.0022,3.0009,3.0031,3.0022,3.0009,3.0264,3.0057,3.0017,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,3.0106,3.0022,3.0009,3.0031,3.0022,3.0009,3.0273,3.007,3.0017,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,3.0106,3.0022,3.0017,3.0031,3.0039,3.0017,3.0283,3.0088,3.0017,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3.0106,3.0022,3.0017,3.0035,3.0039,3.0017,3.0297,3.0092,3.0017,3.0022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3.0106,3.0022,3.0017,3.0039,3.0039,3.0017,3.0362,3.0097,3.0017,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,3.0106,3.0022,3.0022,3.0039,3.0039,3.0017,3.0376,3.0097,3.0017,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3.0106,3.0022,3.0022,3.0039,3.0039,3.0017,3.0381,3.0097,3.0022,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,3.0106,3.0022,3.0022,3.0039,3.0039,3.0022,3.0395,3.0097,3.0022,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,3.0106,3.0031,3.0022,3.0039,3.0039,3.0022,3.0395,3.0097,3.0022,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,3.0106,3.0031,3.0022,3.0044,3.0039,3.0022,3.04,3.0106,3.0022,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,3.0106,3.0031,3.0022,3.0044,3.0039,3.0022,3.0477,3.0106,3.0022,3.0031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,3.0106,3.0031,3.0031,3.0044,3.0039,3.0022,3.0482,3.0106,3.0022,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,3.0114,3.0031,3.0031,3.0044,3.0039,3.0022,3.0521,3.0106,3.0022,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,3.0123,3.0031,3.0031,3.0044,3.0039,3.0022,3.0521,3.0106,3.0022,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,3.0123,3.0031,3.0031,3.0044,3.0039,3.0031,3.0555,3.011,3.0022,3.0035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,3.0123,3.0035,3.0031,3.0044,3.0044,3.0031,3.0555,3.0114,3.0031,3.0039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,3.0128,3.0035,3.0031,3.0044,3.0044,3.0031,3.0555,3.0114,3.0035,3.0039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,3.0173,3.0035,3.0031,3.0052,3.0044,3.0031,3.0555,3.0123,3.0035,3.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,3.0182,3.0035,3.0035,3.0052,3.0052,3.0031,3.0575,3.0123,3.0035,3.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,3.0182,3.0039,3.0039,3.0057,3.0052,3.0031,3.061,3.0132,3.0039,3.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,3.0186,3.0039,3.0039,3.0057,3.0052,3.0031,3.061,3.0132,3.0039,3.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,3.0186,3.0039,3.0044,3.0057,3.0052,3.0031,3.0635,3.0146,3.0039,3.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,3.0191,3.0039,3.0044,3.0061,3.0052,3.0031,3.0655,3.0146,3.0039,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,3.0191,3.0039,3.0044,3.007,3.0057,3.0031,3.0665,3.0146,3.0039,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,3.0191,3.0039,3.0052,3.0074,3.0057,3.0031,3.0675,3.0146,3.0039,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,3.0191,3.0039,3.0052,3.0074,3.0057,3.0031,3.068,3.015,3.0039,3.0052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,3.02,3.0039,3.0052,3.0074,3.0057,3.0031,3.0685,3.015,3.0039,3.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,3.02,3.0044,3.0052,3.0074,3.0057,3.0035,3.0691,3.015,3.0039,3.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,3.02,3.0044,3.0057,3.0074,3.0057,3.0035,3.0706,3.015,3.0052,3.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,3.02,3.0044,3.0057,3.0074,3.0057,3.0035,3.0814,3.0159,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,3.0205,3.0044,3.0057,3.0079,3.0061,3.0035,3.082,3.0159,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,3.0209,3.0044,3.0057,3.0079,3.0061,3.0035,3.0825,3.0159,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,3.0214,3.0044,3.0057,3.0079,3.0061,3.0035,3.0862,3.0168,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,3.0227,3.0052,3.0057,3.0079,3.0074,3.0035,3.0937,3.0173,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,3.025,3.0052,3.0057,3.0088,3.0079,3.0039,3.0975,3.0182,3.0057,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,3.0269,3.0052,3.0057,3.0088,3.0079,3.0039,3.104,3.0182,3.0061,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,3.0273,3.0052,3.0057,3.0088,3.0079,3.0039,3.1051,3.0186,3.0061,3.0061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,3.0306,3.0052,3.0057,3.0106,3.0088,3.0039,3.1062,3.0186,3.0061,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,3.0306,3.0052,3.0061,3.0106,3.0088,3.0039,3.1073,3.02,3.0061,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,3.0325,3.0052,3.007,3.0106,3.0088,3.0044,3.1079,3.0205,3.007,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,3.0329,3.0052,3.007,3.0106,3.0088,3.0044,3.1085,3.0209,3.007,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,3.0329,3.0057,3.007,3.0106,3.0088,3.0044,3.1096,3.0214,3.007,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,3.0348,3.0061,3.007,3.0106,3.0088,3.0052,3.1107,3.0214,3.007,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,3.0376,3.0061,3.007,3.0106,3.0088,3.0052,3.1107,3.0214,3.007,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,3.0376,3.0061,3.007,3.0106,3.0088,3.0057,3.1107,3.0214,3.0074,3.0074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
