id,center_pos,start_pos,end_pos,class_id,weight
1,6000082,6000074,6000091,-1,3.598599459218456
2,6001031,6001023,6001040,-1,5.342944147142896
3,6002176,6002168,6002185,-5,3.175874166083451
4,6002571,6002563,6002580,9,3.595166283380062
5,6002740,6002732,6002749,9,3.1290111862394245
6,6002818,6002810,6002827,9,4.347753658996677
7,6003239,6003231,6003248,9,3.7772835288524167
8,6003374,6003366,6003383,9,3.1180450286603993
9,6004621,6004613,6004630,-1,4.2716462179787715
10,6006067,6006059,6006076,-1,3.1811145854059903
11,6006971,6006963,6006980,-5,3.712198270069774
12,6007194,6007186,6007203,9,3.093664958194909
13,6007412,6007404,6007421,9,4.060980223551334
14,6007460,6007452,6007469,9,3.0231916626619335
15,6008516,6008508,6008525,-1,3.5044556624535517
16,6009053,6009045,6009062,-1,3.3353580244438743
17,6009711,6009703,6009720,-1,3.85078088734462
18,6009849,6009841,6009858,-1,3.4710832997223453
19,6011965,6011957,6011974,5,4.036212172654444
20,6011990,6011982,6011999,5,3.43297363384094
21,6012363,6012355,6012372,5,3.573488738635425
22,6013431,6013423,6013440,5,3.7986028756795487
23,6013475,6013467,6013484,5,3.037630664329979
24,6013808,6013800,6013817,5,3.2494916051486538
25,6015101,6015093,6015110,-1,3.7772835288524167
26,6015325,6015317,6015334,-1,3.1830961606243395
27,6016790,6016782,6016799,-1,3.5086383061657274
28,6016909,6016901,6016918,-1,3.028724151261895
29,6018954,6018946,6018963,-1,3.1999706407558657
30,6020216,6020208,6020225,-1,3.1284270644541214
31,6020408,6020400,6020417,-1,3.4828041020500256
32,6022094,6022086,6022103,9,3.3251388592621884
33,6022218,6022210,6022227,9,4.866461091629782
34,6022487,6022479,6022496,-5,3.193820026016113
35,6023822,6023814,6023831,-1,4.0343280287798935
36,6024620,6024612,6024629,-1,3.3695721249749764
37,6025098,6025090,6025107,-1,3.1290111862394245
38,6026135,6026127,6026144,-1,3.272458742971444
39,6026439,6026431,6026448,-1,3.4881166390211256
40,6028007,6027999,6028016,-1,3.214670164989233
41,6028367,6028359,6028376,-1,3.149966742310231
42,6029190,6029182,6029199,3,3.54515513999149
43,6029660,6029652,6029669,3,3.0096611452123985
44,6029681,6029673,6029690,3,3.521433504406157
45,6032862,6032854,6032871,-1,3.2510371387438384
46,6034457,6034449,6034466,-1,3.9546770212133424
47,6035194,6035186,6035203,-1,3.75448733218585
48,6039545,6039537,6039554,-1,4.015472686656207
49,6040445,6040437,6040454,-1,4.015472686656207
50,6043627,6043619,6043636,-5,3.093664958194909
51,6043746,6043738,6043755,4,4.100179497572904
52,6043784,6043776,6043793,4,3.354577730650908
53,6043835,6043827,6043844,4,3.329754146925876
54,6043974,6043966,6043983,-5,3.6903698325741012
55,6044428,6044420,6044437,8,3.4461169733561254
56,6044485,6044477,6044494,8,3.0305840876460186
57,6044556,6044548,6044565,8,3.0404816230270018
58,6044671,6044663,6044680,-5,3.694648630553376
59,6045456,6045448,6045465,-5,3.5900668766687054
60,6045871,6045863,6045880,3,3.260427655549908
61,6046122,6046114,6046131,3,4.317854923626168
62,6046312,6046304,6046321,3,3.1272611725273314
63,6046753,6046745,6046762,-5,4.71669877129645
64,6047341,6047333,6047350,-1,4.309803919971486
65,6048461,6048453,6048470,-1,3.154901959985743
66,6049115,6049107,6049124,-1,3.218244625347531
67,6049609,6049601,6049618,-1,3.261219441515631
68,6050414,6050406,6050423,8,5.109020403010311
69,6050482,6050474,6050491,8,3.9546770212133424
70,6051648,6051640,6051657,1,3.580044251510242
71,6052082,6052074,6052091,1,3.114638779968488
72,6052416,6052408,6052425,1,3.96657624451305
73,6052812,6052804,6052821,1,3.260427655549908
74,6052946,6052938,6052955,1,3.886056647693163
75,6053679,6053671,6053688,-1,3.088842391260023
76,6055004,6054996,6055013,3,3.0114410431213843
77,6055281,6055273,6055290,3,3.575118363368933
78,6055459,6055451,6055468,3,3.214670164989233
79,6055915,6055907,6055924,-5,3.1319436381769585
80,6058407,6058399,6058416,-1,3.317854923626168
81,6058930,6058922,6058939,-1,3.1505805862031004
82,6060246,6060238,6060255,-1,3.317854923626168
83,6060301,6060293,6060310,-1,3.0305840876460186
84,6060849,6060841,6060858,-1,3.402304814074488
85,6062628,6062620,6062637,-1,3.1870866433571443
86,6062724,6062716,6062733,-1,3.886056647693163
87,6063996,6063988,6064005,9,3.0721165896692932
88,6064121,6064113,6064130,9,3.003050751504619
89,6064332,6064324,6064341,0,3.474955192963155
90,6064413,6064405,6064422,0,3.151810883008601
91,6064545,6064537,6064554,0,3.570247719997592
92,6065236,6065228,6065245,8,3.6556077263148894
93,6065292,6065284,6065301,8,3.092588639225414
94,6065376,6065368,6065385,8,3.0132282657337552
95,6066305,6066297,6066314,4,3.1636758842932484
96,6066343,6066335,6066352,4,3.1301817920206716
97,6066366,6066358,6066375,4,3.3010299956639813
98,6066578,6066570,6066587,-5,3.0096611452123985
99,6067140,6067132,6067149,3,3.061480274823508
100,6067354,6067346,6067363,3,3.4647058799572292
101,6067595,6067587,6067604,3,3.294992040666664
102,6068474,6068466,6068483,9,3.3655227298392685
103,6068529,6068521,6068538,9,3.5199930570428495
104,6068732,6068724,6068741,9,3.2328441339178196
105,6068888,6068880,6068897,9,3.85078088734462
106,6069123,6069115,6069132,-5,3.962573502059376
107,6069641,6069633,6069650,-1,3.0305840876460186
108,6070864,6070856,6070873,-5,3.853871964321762
109,6071230,6071222,6071239,5,3.543633966870957
110,6071330,6071322,6071339,5,3.250263684430939
111,6071603,6071595,6071612,5,3.2027324591692836
112,6072253,6072245,6072262,3,3.555955204081924
113,6072534,6072526,6072543,3,3.0830199526796176
114,6072691,6072683,6072700,3,3.058488567365597
115,6073504,6073496,6073513,-1,3.2204035087421756
116,6073603,6073595,6073612,-1,3.3142582613977365
117,6075564,6075556,6075573,-1,3.5590909179347823
