,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18517,9798,1865,20902,9196,22909,4854,16220,15392,20635
1,3.0,3.0,3.0009,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3.0,3.0,3.0009,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3.0,3.0,3.0009,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3.0,3.0,3.0017,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3.0,3.0,3.0017,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,3.0,3.0,3.0017,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3.0,3.0,3.0022,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3.0,3.0,3.0022,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3.0,3.0,3.0022,3.0,3.0,3.0,3.0004,3.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3.0,3.0,3.0022,3.0,3.0,3.0,3.0009,3.0,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3.0,3.0,3.0022,3.0,3.0,3.0,3.0009,3.0,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,3.0,3.0,3.0031,3.0,3.0,3.0,3.0009,3.0,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3.0,3.0004,3.0031,3.0,3.0,3.0,3.0009,3.0,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,3.0,3.0004,3.0031,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,3.0,3.0004,3.0035,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3.0,3.0004,3.0035,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3.0,3.0004,3.0039,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,3.0,3.0004,3.0039,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,3.0,3.0004,3.0039,3.0,3.0004,3.0,3.0009,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,3.0,3.0004,3.0039,3.0,3.0004,3.0004,3.0017,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,3.0,3.0004,3.0039,3.0,3.0004,3.0004,3.0017,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,3.0,3.0004,3.0044,3.0,3.0004,3.0004,3.0017,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,3.0,3.0009,3.0044,3.0,3.0009,3.0004,3.0017,3.0004,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,3.0,3.0009,3.0044,3.0,3.0009,3.0004,3.0022,3.0009,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,3.0,3.0009,3.0044,3.0,3.0009,3.0004,3.0022,3.0009,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,3.0,3.0009,3.0044,3.0,3.0009,3.0004,3.0022,3.0009,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,3.0,3.0009,3.0052,3.0,3.0009,3.0004,3.0022,3.0009,3.0004,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,3.0,3.0017,3.0057,3.0,3.0009,3.0004,3.0022,3.0009,3.0009,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,3.0,3.0017,3.0057,3.0004,3.0009,3.0004,3.0022,3.0009,3.0009,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,3.0,3.0017,3.0057,3.0004,3.0009,3.0004,3.0022,3.0009,3.0009,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
