id,center_pos,start_pos,end_pos,class_id,weight
1,6716640,6716632,6716649,0,7.029653123769907
2,6716809,6716801,6716818,0,7.6252516539898965
3,6716986,6716978,6716995,0,7.367542707815276
4,6717043,6717035,6717052,0,7.723538195826756
5,6717081,6717073,6717090,0,8.21824462534753
6,6717120,6717112,6717129,0,7.510041520575165
7,6717153,6717145,6717162,0,8.18309616062434
8,6717192,6717184,6717201,0,7.443697499232713
9,6717219,6717211,6717228,0,3.7825160557860937
10,6717262,6717254,6717271,0,6.079876673709276
11,6717299,6717291,6717308,0,7.504455662453552
12,6717432,6717424,6717441,0,5.590066876668706
13,6717509,6717501,6717518,0,7.188424994129407
14,6717547,6717539,6717556,0,7.8696662315049934
15,6717586,6717578,6717595,0,7.090979145788844
16,6717620,6717612,6717629,0,6.61261017366127
17,6717673,6717665,6717682,0,7.935542010773082
18,6717795,6717787,6717804,0,3.688246138944246
19,6717871,6717863,6717880,0,3.8096683018297086
20,6718052,6718044,6718061,0,7.292429823902063
21,6718178,6718170,6718187,0,4.166215625343521
22,6718541,6718533,6718550,0,3.707743928643524
23,6718579,6718571,6718588,0,3.632644078973981
24,6718736,6718728,6718745,0,3.712198270069774
25,6719278,6719270,6719287,0,3.838631997765025
26,6719480,6719472,6719489,0,3.0560111249262283
27,6720421,6720413,6720430,0,3.078313524516398
28,6720570,6720562,6720579,0,3.126679398184601
29,6720675,6720667,6720684,0,3.596879478824182
30,6722221,6722213,6722230,0,8.642065152999546
31,6722276,6722268,6722285,0,7.94692155651658
32,6722349,6722341,6722358,0,7.372634143407267
33,6722451,6722443,6722460,0,3.886056647693163
34,6722814,6722806,6722823,0,8.67778070526608
35,6722860,6722852,6722869,0,7.485452247339714
36,6722911,6722903,6722920,0,7.335358024443875
37,6723030,6723022,6723039,0,7.364516253185088
38,6723069,6723061,6723078,0,7.539102157243452
39,6723154,6723146,6723163,0,6.982966660701219
40,6723190,6723182,6723199,0,7.539102157243452
41,6723227,6723219,6723236,0,7.578396073130169
42,6723515,6723507,6723524,0,3.282329496997738
