rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6717043,6717035,6717299,6717308,8,4,10.0,36.571429,8.0
2,6717509,6717501,6717673,6717682,5,4,10.0,41.0,5.0
3,6716640,6716632,6716986,6716995,3,5,10.0,173.0,3.0
4,6722221,6722213,6722349,6722358,3,8,10.0,64.0,3.0
5,6722814,6722806,6722911,6722920,3,8,10.0,48.5,3.0
6,6723154,6723146,6723227,6723236,3,4,10.0,36.5,3.0
7,6717795,6717787,6717871,6717880,2,8,10.0,76.0,2.0
8,6718052,6718044,6718178,6718187,2,9,10.0,126.0,2.0
9,6718541,6718533,6718579,6718588,2,4,10.0,38.0,2.0
10,6719278,6719270,6719480,6719489,2,5,10.0,202.0,2.0
11,6720421,6720413,6720570,6720579,2,9,10.0,149.0,2.0
12,6723030,6723022,6723069,6723078,2,4,10.0,39.0,2.0
13,6717432,6717424,6717432,6717441,1,-5,10.0,0,1.0
14,6718736,6718728,6718736,6718745,1,-5,10.0,0,1.0
15,6720675,6720667,6720675,6720684,1,-5,10.0,0,1.0
16,6722451,6722443,6722451,6722460,1,-5,10.0,0,1.0
17,6723515,6723507,6723515,6723524,1,-5,10.0,0,1.0
