id,center_pos,start_pos,end_pos,class_id,weight
1,6716640,6716632,6716649,5,10
2,6716809,6716801,6716818,5,10
3,6716986,6716978,6716995,5,10
4,6717043,6717035,6717052,4,10
5,6717081,6717073,6717090,4,10
6,6717120,6717112,6717129,4,10
7,6717153,6717145,6717162,4,10
8,6717192,6717184,6717201,4,10
9,6717219,6717211,6717228,4,10
10,6717262,6717254,6717271,4,10
11,6717299,6717291,6717308,4,10
12,6717432,6717424,6717441,-5,10
13,6717509,6717501,6717518,4,10
14,6717547,6717539,6717556,4,10
15,6717586,6717578,6717595,4,10
16,6717620,6717612,6717629,4,10
17,6717673,6717665,6717682,4,10
18,6717795,6717787,6717804,8,10
19,6717871,6717863,6717880,8,10
20,6718052,6718044,6718061,9,10
21,6718178,6718170,6718187,9,10
22,6718541,6718533,6718550,4,10
23,6718579,6718571,6718588,4,10
24,6718736,6718728,6718745,-5,10
25,6719278,6719270,6719287,5,10
26,6719480,6719472,6719489,5,10
27,6720421,6720413,6720430,9,10
28,6720570,6720562,6720579,9,10
29,6720675,6720667,6720684,-5,10
30,6722221,6722213,6722230,8,10
31,6722276,6722268,6722285,8,10
32,6722349,6722341,6722358,8,10
33,6722451,6722443,6722460,-5,10
34,6722814,6722806,6722823,8,10
35,6722860,6722852,6722869,8,10
36,6722911,6722903,6722920,8,10
37,6723030,6723022,6723039,4,10
38,6723069,6723061,6723078,4,10
39,6723154,6723146,6723163,4,10
40,6723190,6723182,6723199,4,10
41,6723227,6723219,6723236,4,10
42,6723515,6723507,6723524,-5,10
