rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6717043,6717035,6717299,6717308,8,4,8.218245,36.571429,60.059913
2,6717509,6717501,6717673,6717682,5,4,7.935542,41.0,40.469104
3,6722221,6722213,6722349,6722358,3,8,8.642065,64.0,27.380755
4,6716640,6716632,6716986,6716995,3,5,7.625252,173.0,26.092
5,6723154,6723146,6723227,6723236,3,4,7.578396,36.5,24.26441
6,6722814,6722806,6722911,6722920,3,8,8.677781,48.5,16.61084
7,6723030,6723022,6723069,6723078,2,4,7.539102,39.0,15.799228
8,6248379,6248371,6248406,6248415,2,4,6.416801,27.0,8.495094
9,6949376,6949368,6949747,6949756,3,5,4.5867,185.5,8.382679
10,6140250,6140242,6140694,6140703,3,3,5.549751,222.0,8.237098
11,6496231,6496223,6496742,6496751,4,5,4.728158,170.333333,7.963287
12,6762830,6762822,6763807,6763816,5,3,3.946922,244.25,7.702787
13,6629582,6629574,6629648,6629657,4,4,3.906578,22.0,7.411223
14,6050414,6050406,6050482,6050491,2,8,5.10902,68.0,6.939586
15,6538502,6538494,6539809,6539818,5,1,3.978811,326.75,6.738069
16,6077235,6077227,6077533,6077542,3,9,4.617983,149.0,6.720261
17,6844663,6844655,6845224,6845233,3,7,4.869666,280.5,6.576597
18,6773365,6773357,6773573,6773582,4,8,4.195179,69.333333,6.463069
19,6646671,6646663,6646839,6646848,3,0,4.899629,84.0,6.454218
20,6051648,6051640,6052946,6052955,5,1,3.966576,324.5,6.416786
21,6852376,6852368,6852611,6852620,5,8,4.863279,58.75,6.358679
22,6717432,6717424,6717432,6717441,1,-5,5.590067,0,6.316829
23,6147923,6147915,6148250,6148259,4,0,4.280669,109.0,6.311057
24,6340253,6340245,6340769,6340778,4,5,4.189767,172.0,6.108423
25,6349176,6349168,6349369,6349378,2,5,4.832683,193.0,5.6214
26,6342995,6342987,6343201,6343210,2,5,4.623423,206.0,5.570231
27,6518106,6518098,6519417,6519426,6,7,3.774691,262.2,5.440215
28,6786832,6786824,6787220,6787229,3,5,4.105684,194.0,5.410478
29,6952318,6952310,6952593,6952602,3,9,4.59176,137.5,5.344448
30,6480945,6480937,6481484,6481493,3,7,4.340084,269.5,5.321442
31,6440507,6440499,6440748,6440757,2,3,4.480172,241.0,5.294475
32,6181325,6181317,6181747,6181756,4,9,3.931814,140.666667,5.244281
33,6022094,6022086,6022218,6022227,2,9,4.866461,124.0,5.104501
34,6966728,6966720,6967411,6967420,3,1,4.074688,341.5,5.05722
35,6678998,6678990,6679165,6679174,2,5,4.210419,167.0,5.039488
36,6445969,6445961,6446702,6446711,4,3,4.444906,244.333333,5.035518
37,6134357,6134349,6134977,6134986,4,5,4.318759,206.666667,4.928444
38,6456012,6456004,6456302,6456311,3,9,4.257275,145.0,4.91748
39,6761326,6761318,6761571,6761580,3,9,4.383,122.5,4.806748
40,6011965,6011957,6012363,6012372,3,5,4.036212,199.0,4.779637
41,6718541,6718533,6718736,6718745,3,0,3.712198,97.5,4.711974
42,6453551,6453543,6454535,6454544,3,2,4.47237,492.0,4.707214
43,6214139,6214131,6214388,6214397,2,3,4.089909,249.0,4.616279
44,6367493,6367485,6368332,6368341,3,6,3.995679,419.5,4.553905
45,6138335,6138327,6139533,6139542,5,7,4.388277,299.5,4.509057
46,6642502,6642494,6643102,6643111,5,9,4.040005,150.0,4.486471
47,6113775,6113767,6113775,6113784,1,-5,4.876148,0,4.4695
48,6306735,6306727,6307270,6307279,3,7,3.735182,267.5,4.435127
49,6425488,6425480,6425698,6425707,3,0,4.187755,105.0,4.420771
50,6407836,6407828,6408166,6408175,3,5,3.761954,165.0,4.385482
51,6113460,6113452,6113581,6113590,3,8,3.906578,60.5,4.36933
52,6801965,6801957,6802188,6802197,4,8,4.533132,74.333333,4.368808
53,6068474,6068466,6068888,6068897,4,9,3.850781,138.0,4.364555
54,6002571,6002563,6002818,6002827,3,9,4.347754,123.5,4.318191
55,6087190,6087182,6087315,6087324,4,4,4.008774,41.666667,4.305814
56,6523704,6523696,6524038,6524047,4,0,4.257275,111.333333,4.226995
57,6259462,6259454,6259587,6259596,3,8,4.241845,62.5,4.198261
58,6593415,6593407,6593633,6593642,4,8,3.844664,72.666667,4.18296
59,6215451,6215443,6216168,6216177,4,3,3.716699,239.0,4.146488
60,6192015,6192007,6192275,6192284,4,0,3.759451,86.666667,4.124145
61,6847181,6847173,6847356,6847365,3,0,3.974694,87.5,4.101182
62,6576619,6576611,6576911,6576920,3,9,3.970616,146.0,4.065065
63,6632173,6632165,6632349,6632358,3,0,4.002614,88.0,4.058438
64,6046753,6046745,6046753,6046762,1,-5,4.716699,0,4.052095
65,6114135,6114127,6114336,6114345,2,5,4.464706,201.0,3.99243
66,6495830,6495822,6495904,6495913,3,4,4.141463,37.0,3.974847
67,6305177,6305169,6305507,6305516,3,5,3.935542,165.0,3.940624
68,6045871,6045863,6046312,6046321,3,3,4.317855,220.5,3.931819
69,6292398,6292390,6292882,6292891,3,3,4.145087,242.0,3.894823
70,6779943,6779935,6780268,6780277,3,5,4.17134,162.5,3.887988
71,6043746,6043738,6043835,6043844,3,4,4.100179,44.5,3.86226
72,6547028,6547020,6547265,6547274,3,0,3.8041,118.5,3.856876
73,6995249,6995241,6995796,6995805,4,5,3.752027,182.333333,3.82757
74,6613876,6613868,6614152,6614161,2,7,4.399027,276.0,3.809075
75,6673940,6673932,6675371,6675380,5,1,3.718967,357.75,3.787248
76,6097590,6097582,6097727,6097736,3,8,4.003488,68.5,3.762513
77,6799219,6799211,6799527,6799536,3,9,3.841638,154.0,3.75793
78,6536202,6536194,6536760,6536769,3,7,3.943095,279.0,3.713466
79,6179028,6179020,6179787,6179796,3,6,3.74958,379.5,3.688597
80,6623470,6623462,6623879,6623888,4,9,4.258848,136.333333,3.678227
81,6300786,6300778,6301245,6301254,3,3,3.790485,229.5,3.66122
82,6359692,6359684,6359829,6359838,2,9,4.4698,137.0,3.629749
83,6739924,6739916,6740194,6740203,3,9,3.966576,135.0,3.618059
84,6106639,6106631,6107285,6107294,3,1,3.90309,323.0,3.593399
85,6187531,6187523,6187717,6187726,3,0,3.69037,93.0,3.436597
86,6977680,6977672,6978742,6978751,4,1,3.50307,354.0,3.369235
87,6680272,6680264,6680424,6680433,3,8,4.37059,76.0,3.256242
88,6252503,6252495,6252851,6252860,3,5,4.037631,174.0,3.251
89,6717795,6717787,6717871,6717880,2,8,3.809668,76.0,3.248932
90,6354054,6354046,6354118,6354127,3,4,4.124939,32.0,3.241492
91,6575811,6575803,6576064,6576073,3,9,3.954677,126.5,3.180107
92,6159407,6159399,6159783,6159792,3,5,3.767004,188.0,3.179819
93,6629999,6629991,6630473,6630482,4,9,3.616185,158.0,3.176663
94,6483656,6483648,6484082,6484091,3,3,4.03105,213.0,3.138102
95,6611745,6611737,6612385,6612394,3,1,3.712198,320.0,3.096874
96,6096936,6096928,6097127,6097136,4,8,3.570248,63.666667,3.089615
97,6547638,6547630,6547638,6547647,1,-5,4.315155,0,3.051615
98,6194729,6194721,6194968,6194977,3,9,4.066007,119.5,3.049765
99,6700774,6700766,6701391,6701400,4,5,3.679854,205.666667,3.049403
100,6671343,6671335,6671837,6671846,5,9,3.580044,123.5,3.031464
101,6100780,6100772,6100858,6100867,3,4,4.004365,39.0,3.018089
102,6592717,6592709,6593052,6593061,2,1,3.866461,335.0,2.998386
103,6266756,6266748,6267032,6267041,3,9,4.213249,138.0,2.975991
104,6209907,6209899,6210113,6210122,3,0,3.628932,103.0,2.950291
105,6098167,6098159,6098491,6098500,2,1,4.239578,324.0,2.93681
106,6287508,6287500,6287896,6287905,3,5,3.774691,194.0,2.924568
107,6645939,6645931,6646045,6646054,3,8,3.677781,53.0,2.905702
108,6634875,6634867,6635250,6635259,3,5,4.025488,187.5,2.866655
109,6519862,6519854,6520361,6520370,2,2,4.089909,499.0,2.798059
110,6812417,6812409,6813025,6813034,3,7,3.68403,304.0,2.768088
111,6789377,6789369,6789881,6789890,3,3,4.067019,252.0,2.752566
112,6064332,6064324,6064545,6064554,3,0,3.570248,106.5,2.740136
113,6703310,6703302,6703412,6703421,3,8,3.876148,51.0,2.720477
114,6548363,6548355,6548568,6548577,3,0,3.714443,102.5,2.716517
115,6909815,6909807,6909981,6909990,3,0,3.785156,83.0,2.666418
116,6542257,6542249,6542552,6542561,3,9,3.623423,147.5,2.664241
117,6118928,6118920,6119275,6119284,4,0,3.481486,115.666667,2.65541
118,6147486,6147478,6147689,6147698,2,5,3.798603,203.0,2.651922
119,6942555,6942547,6943188,6943197,4,3,3.406714,211.0,2.618353
120,6584231,6584223,6584826,6584835,3,7,3.571865,297.5,2.606286
121,6255852,6255844,6255852,6255861,1,-5,4.115205,0,2.592514
122,6113274,6113266,6113274,6113283,1,-5,4.107905,0,2.575425
123,6860371,6860363,6861241,6861250,4,7,3.485452,290.0,2.533854
124,6527503,6527495,6527953,6527962,3,3,3.590067,225.0,2.510408
125,6616222,6616214,6616471,6616480,3,9,3.522879,124.5,2.508692
126,6013431,6013423,6013808,6013817,3,5,3.798603,188.5,2.500143
127,6029190,6029182,6029681,6029690,3,3,3.545155,245.5,2.475795
128,6308227,6308219,6308338,6308347,2,0,3.787812,111.0,2.468588
129,6007194,6007186,6007460,6007469,3,9,4.06098,133.0,2.467698
130,6183208,6183200,6183389,6183398,3,0,3.415669,90.5,2.437678
131,6718052,6718044,6718178,6718187,2,9,7.29243,126.0,2.40134
132,6955837,6955829,6956303,6956312,3,3,3.835647,233.0,2.386084
133,6169904,6169896,6170603,6170612,3,1,3.651695,349.5,2.332492
134,6651025,6651017,6651715,6651724,4,3,3.565431,230.0,2.319958
135,6450374,6450366,6450753,6450762,3,5,3.655608,189.5,2.307414
136,6071230,6071222,6071603,6071612,3,5,3.543634,186.5,2.290606
137,6936904,6936896,6937152,6937161,3,9,3.823909,124.0,2.282696
138,6211159,6211151,6211704,6211713,3,7,3.467246,272.5,2.277439
139,6751302,6751294,6751671,6751680,4,9,3.465974,123.0,2.255464
140,6069123,6069115,6069123,6069132,1,-5,3.962574,0,2.245364
141,6728356,6728348,6728356,6728365,1,-5,3.950782,0,2.221057
142,6785852,6785844,6786147,6786156,3,9,3.590067,147.5,2.205865
143,6087380,6087372,6087765,6087774,3,5,3.716699,192.5,2.199508
144,6081923,6081915,6082315,6082324,3,5,3.330683,196.0,2.199113
145,6549679,6549671,6550099,6550108,3,3,3.367543,210.0,2.188313
146,6315798,6315790,6316370,6316379,4,5,3.492144,190.666667,2.176333
147,6307719,6307711,6307940,6307949,3,0,3.490797,110.5,2.13008
148,6281602,6281594,6282146,6282155,3,7,3.395774,272.0,2.124153
149,6274965,6274957,6275626,6275635,3,1,3.718967,330.5,2.122371
150,6969976,6969968,6970261,6970270,3,9,3.716699,142.5,2.110721
151,6187187,6187179,6187187,6187196,1,-5,3.896196,0,2.102165
152,6716228,6716220,6716228,6716237,1,-5,3.89279,0,2.093966
153,6986576,6986568,6986845,6986854,3,9,3.688246,134.5,2.079389
154,6722451,6722443,6722451,6722460,1,-5,3.886057,0,2.075297
155,6171609,6171601,6172037,6172046,3,3,3.562249,214.0,2.056037
156,6614627,6614619,6615094,6615103,3,3,3.414539,233.5,2.049194
157,6523486,6523478,6523486,6523495,1,-5,3.872895,0,2.043343
158,6669157,6669149,6669331,6669340,4,8,3.41005,58.0,2.004352
159,6201675,6201667,6202083,6202092,4,9,3.455932,136.0,2.003371
160,6070864,6070856,6070864,6070873,1,-5,3.853872,0,1.999722
161,6900762,6900754,6901350,6901359,4,5,3.349692,196.0,1.986996
162,6673297,6673289,6673507,6673516,2,3,3.642065,210.0,1.976194
163,6535785,6535777,6535785,6535794,1,-5,3.841638,0,1.96563
164,6194312,6194304,6194489,6194498,2,5,3.679854,177.0,1.946384
165,6003239,6003231,6003374,6003383,2,9,3.777284,135.0,1.925473
166,6191518,6191510,6191518,6191527,1,-5,3.818156,0,1.91465
167,6093411,6093403,6094211,6094220,3,6,3.679854,400.0,1.896167
168,6067140,6067132,6067595,6067604,3,3,3.464706,227.5,1.885826
169,6904507,6904499,6905213,6905222,3,1,3.403403,353.0,1.878816
170,6276366,6276358,6276848,6276857,3,3,3.661544,241.0,1.854483
171,6055004,6054996,6055459,6055468,3,3,3.575118,227.5,1.830909
172,6564080,6564072,6564506,6564515,4,9,3.549751,142.0,1.8223
173,6284710,6284702,6284961,6284970,2,3,3.673664,251.0,1.811521
174,6514410,6514402,6514530,6514539,2,9,3.519993,120.0,1.798732
175,6160266,6160258,6160430,6160439,2,5,3.510042,164.0,1.761487
176,6720421,6720413,6720675,6720684,3,9,3.596879,127.0,1.747561
177,6313750,6313742,6313858,6313867,2,0,3.718967,108.0,1.731592
178,6201214,6201206,6201396,6201405,2,5,3.74958,182.0,1.726988
179,6105982,6105974,6106244,6106253,2,7,3.440093,262.0,1.692871
180,6638043,6638035,6638403,6638412,3,5,3.667562,180.0,1.675282
181,6006971,6006963,6006971,6006980,1,-5,3.712198,0,1.664912
182,6954162,6954154,6954587,6954596,3,3,3.473661,212.5,1.643724
183,6508885,6508877,6508978,6508987,2,0,3.450997,93.0,1.631862
184,6237722,6237714,6238552,6238561,3,6,3.476254,415.0,1.625104
185,6044671,6044663,6044671,6044680,1,-5,3.694649,0,1.624826
186,6096711,6096703,6096711,6096720,1,-5,3.694649,0,1.624826
187,6065236,6065228,6065376,6065385,3,8,3.655608,70.0,1.621929
188,6043974,6043966,6043974,6043983,1,-5,3.69037,0,1.617259
189,6727802,6727794,6728065,6728074,4,0,3.315155,87.666667,1.593857
190,6072253,6072245,6072691,6072700,3,3,3.555955,219.0,1.590181
191,6919470,6919462,6920083,6920092,3,7,3.59346,306.5,1.574649
192,6400855,6400847,6401282,6401291,2,6,3.585027,427.0,1.568194
193,6118548,6118540,6118548,6118557,1,-5,3.661544,0,1.552948
194,6739596,6739588,6739596,6739605,1,-5,3.653647,0,1.535308
