rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6716640,6716632,6718178,6718187,21,0,10.0,76.9,21
2,6722814,6722806,6723227,6723236,8,0,10.0,59.0,8
3,6087190,6087182,6087765,6087774,7,0,10.0,95.833333,7
4,6043627,6043619,6043974,6043983,5,0,10.0,86.75,5
5,6063996,6063988,6064545,6064554,5,0,10.0,137.25,5
6,6113274,6113266,6113775,6113784,5,0,10.0,125.25,5
7,6642502,6642494,6643102,6643111,5,0,10.0,150.0,5
8,6671343,6671335,6671837,6671846,5,0,10.0,123.5,5
9,6751302,6751294,6751856,6751865,5,0,10.0,138.5,5
10,6852376,6852368,6852611,6852620,5,0,10.0,58.75,5
11,6044428,6044420,6044671,6044680,4,0,10.0,81.0,4
12,6066305,6066297,6066578,6066587,4,0,10.0,91.0,4
13,6068474,6068466,6068888,6068897,4,0,10.0,138.0,4
14,6096936,6096928,6097127,6097136,4,0,10.0,63.666667,4
15,6147923,6147915,6148250,6148259,4,0,10.0,109.0,4
16,6181325,6181317,6181747,6181756,4,0,10.0,140.666667,4
17,6192015,6192007,6192275,6192284,4,0,10.0,86.666667,4
18,6259462,6259454,6259762,6259771,4,0,10.0,100.0,4
19,6495659,6495651,6495904,6495913,4,0,10.0,81.666667,4
20,6523704,6523696,6524038,6524047,4,0,10.0,111.333333,4
21,6564080,6564072,6564506,6564515,4,0,10.0,142.0,4
22,6593415,6593407,6593633,6593642,4,0,10.0,72.666667,4
23,6623470,6623462,6623879,6623888,4,0,10.0,136.333333,4
24,6629582,6629574,6629648,6629657,4,0,10.0,22.0,4
25,6629999,6629991,6630473,6630482,4,0,10.0,158.0,4
26,6669157,6669149,6669331,6669340,4,0,10.0,58.0,4
27,6722221,6722213,6722451,6722460,4,0,10.0,76.666667,4
28,6727802,6727794,6728065,6728074,4,0,10.0,87.666667,4
29,6773365,6773357,6773573,6773582,4,0,10.0,69.333333,4
30,6801965,6801957,6802188,6802197,4,0,10.0,74.333333,4
31,6846987,6846979,6847356,6847365,4,0,10.0,123.0,4
32,6002571,6002563,6002818,6002827,3,0,10.0,123.5,3
33,6065236,6065228,6065376,6065385,3,0,10.0,70.0,3
34,6097590,6097582,6097727,6097736,3,0,10.0,68.5,3
35,6100780,6100772,6100858,6100867,3,0,10.0,39.0,3
36,6183208,6183200,6183389,6183398,3,0,10.0,90.5,3
37,6187531,6187523,6187717,6187726,3,0,10.0,93.0,3
38,6194729,6194721,6194968,6194977,3,0,10.0,119.5,3
39,6209907,6209899,6210113,6210122,3,0,10.0,103.0,3
40,6255422,6255414,6255631,6255640,3,0,10.0,104.5,3
