rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,125095626,125095618,125095735,125095744,4,3,8.2182,36.3333,19.8429
2,125095789,125095781,125096086,125096095,3,6,7.6253,148.5,14.9948
3,125089921,125089913,125090048,125090057,3,7,8.2226,63.5,14.0387
4,125089341,125089333,125089438,125089447,3,7,8.6778,48.5,13.7668
5,125089028,125089020,125089101,125089110,3,3,7.5784,36.5,13.3
6,29830252,29830244,29830791,29830800,18,3,4.1838,31.7059,11.8145
7,69538957,69538949,69540870,69540879,4,9,6.7122,637.6667,11.4787
8,10827330,10827322,10828156,10828165,3,9,6.7852,413.0,10.9116
9,125095130,125095122,125095241,125095250,3,7,7.8097,55.5,10.1298
10,104951875,104951867,104954053,104954062,4,5,6.7852,726.0,8.6114
11,46046008,46046000,46047474,46047483,3,5,7.4908,733.0,8.5141
12,125089186,125089178,125089225,125089234,2,3,7.5391,39.0,8.448
13,140722772,140722764,140724365,140724374,3,9,7.2449,796.5,8.4334
14,33116258,33116250,33117357,33117366,3,2,6.9547,549.5,8.2851
15,79028587,79028579,79030070,79030079,3,0,7.2815,741.5,7.7905
16,125095492,125095484,125095572,125095581,2,1,7.3152,80.0,7.7052
17,133337548,133337540,133337979,133337988,2,9,7.0716,431.0,7.4104
18,98358497,98358489,98358779,98358788,2,5,6.7122,282.0,7.229
19,139329147,139329139,139330188,139330197,3,0,7.7799,520.5,7.0621
20,129203773,129203765,129206181,129206190,4,9,6.7122,802.6667,6.9929
21,57615377,57615369,57616664,57616673,3,5,6.3344,643.5,6.9653
22,20789157,20789149,20789371,20789380,2,8,6.7122,214.0,6.8127
23,133742962,133742954,133744174,133744183,3,0,6.7122,606.0,6.7655
24,117164884,117164876,117165709,117165718,3,9,6.7122,412.5,6.755
25,26529259,26529251,26529765,26529774,2,4,6.7852,506.0,6.7465
26,64252599,64252591,64253751,64253760,3,4,6.9547,576.0,6.6952
27,74105081,74105073,74105214,74105223,2,6,6.7852,133.0,6.5921
28,103866244,103866236,103868449,103868458,4,0,6.7122,735.0,6.5327
29,75150792,75150784,75151042,75151051,2,2,6.7122,250.0,6.4873
30,59359660,59359652,59359767,59359776,2,1,5.6882,107.0,6.4825
31,15579216,15579208,15580675,15580684,3,5,5.6882,729.5,6.4743
32,8137329,8137321,8137545,8137554,2,8,6.6676,216.0,6.4733
33,105234286,105234278,105234692,105234701,2,9,6.5072,406.0,6.4335
34,82291059,82291051,82291260,82291269,2,8,6.7852,201.0,6.4279
35,63845021,63845013,63846158,63846167,3,5,6.7122,568.5,6.3837
36,82649780,82649772,82649983,82649992,2,8,5.8416,203.0,6.3478
37,121528738,121528730,121529107,121529116,2,0,7.1785,369.0,6.3395
38,66292491,66292483,66292491,66292500,1,-1,7.2226,0,6.3226
39,111160999,111160991,111162239,111162248,3,5,5.4353,620.0,6.2285
40,30841306,30841298,30841439,30841448,2,6,6.7122,133.0,6.1975
41,75201513,75201505,75202606,75202615,3,5,5.7375,546.5,6.1663
42,74138074,74138066,74138137,74138146,2,7,6.7122,63.0,6.0712
43,54012052,54012044,54012341,54012350,2,5,7.1624,289.0,6.0521
44,19687559,19687551,19687779,19687788,2,8,6.7852,220.0,6.0261
45,37766922,37766914,37767090,37767099,2,6,6.6615,168.0,6.0121
46,121805586,121805578,121806070,121806079,2,4,6.6676,484.0,5.9355
47,90636166,90636158,90636447,90636456,2,5,5.821,281.0,5.8836
48,44600857,44600849,44600886,44600895,2,3,5.6882,29.0,5.8602
49,68912795,68912787,68914001,68914010,3,2,6.7852,603.0,5.8528
50,64377250,64377242,64378511,64378520,3,0,5.6882,630.5,5.804
51,139162000,139161992,139162115,139162124,2,1,5.7932,115.0,5.7977
52,42971635,42971627,42972724,42972733,3,2,6.7122,544.5,5.7562
53,67560856,67560848,67563080,67563089,4,0,6.7122,741.3333,5.6943
54,38100665,38100657,38100818,38100827,2,6,6.4881,153.0,5.6758
55,11336803,11336795,11337269,11337278,2,4,6.7122,466.0,5.6631
56,63614931,63614923,63615256,63615265,2,5,6.7122,325.0,5.6604
57,128290983,128290975,128291005,128291014,2,3,5.2204,22.0,5.6207
58,74048122,74048114,74048459,74048468,2,5,6.9547,337.0,5.5924
59,138206440,138206432,138206783,138206792,2,5,6.7852,343.0,5.5855
60,41273230,41273222,41276455,41276464,5,9,6.7122,806.25,5.5523
61,134209087,134209079,134209405,134209414,2,5,7.1451,318.0,5.5231
62,69696067,69696059,69696496,69696505,2,9,6.7122,429.0,5.5078
63,123352337,123352329,123353629,123353638,3,4,6.5768,646.0,5.4567
64,133054702,133054694,133055695,133055704,3,9,5.6326,496.5,5.4551
65,14713230,14713222,14713594,14713603,2,0,6.9547,364.0,5.4546
66,11523019,11523011,11524416,11524425,3,9,6.4318,698.5,5.4465
67,13809477,13809469,13809868,13809877,2,0,6.7852,391.0,5.4376
68,80208482,80208474,80208520,80208529,2,3,6.4711,38.0,5.4324
69,19942680,19942672,19943173,19943182,2,4,6.7852,493.0,5.4277
70,66700989,66700981,66701276,66701285,2,5,6.7122,287.0,5.4153
71,50230140,50230132,50231165,50231174,3,2,5.4776,512.5,5.3774
72,60701111,60701103,60702298,60702307,3,9,6.7122,593.5,5.3672
73,62608725,62608717,62608909,62608918,2,8,5.5186,184.0,5.3517
74,99546928,99546920,99547227,99547236,2,5,5.8861,299.0,5.3346
75,24796752,24796744,24798810,24798819,4,2,5.118,686.0,5.3301
76,129194312,129194304,129194582,129194591,2,2,6.7122,270.0,5.3187
77,121967687,121967679,121968807,121968816,3,8,5.6882,560.0,5.3186
78,118714882,118714874,118714972,118714981,2,1,5.7011,90.0,5.3056
79,106018935,106018927,106020145,106020154,3,5,5.6882,605.0,5.2771
80,54799901,54799893,54799961,54799970,2,7,5.8794,60.0,5.2694
81,64608816,64608808,64609285,64609294,2,4,6.6925,469.0,5.2525
82,81349297,81349289,81349789,81349798,2,4,6.7122,492.0,5.2491
83,62690307,62690299,62690494,62690503,2,8,6.4949,187.0,5.2415
84,26319471,26319463,26319567,26319576,2,1,6.7852,96.0,5.2047
85,5663124,5663116,5663381,5663390,2,2,6.5114,257.0,5.1967
86,59551255,59551247,59551331,59551340,2,7,5.6198,76.0,5.1911
87,62887539,62887531,62887666,62887675,2,6,6.9547,127.0,5.1874
88,9778156,9778148,9778640,9778649,2,4,6.7122,484.0,5.1835
89,68154671,68154663,68154928,68154937,2,2,6.7122,257.0,5.1684
90,68305220,68305212,68305477,68305486,2,2,6.7122,257.0,5.1684
91,55894983,55894975,55896443,55896452,3,4,6.7122,730.0,5.1657
92,6372643,6372635,6374137,6374146,3,5,6.7122,747.0,5.1253
93,64593412,64593404,64593795,64593804,2,0,6.7122,383.0,5.1004
94,22770283,22770275,22770416,22770425,2,6,6.9547,133.0,5.0958
95,131722277,131722269,131723718,131723727,3,5,6.7122,720.5,5.0884
96,12756809,12756801,12758214,12758223,3,0,6.3429,702.5,5.0879
97,148094488,148094480,148094523,148094532,2,3,5.0931,35.0,5.0876
98,102215485,102215477,102215662,102215671,2,8,5.5406,177.0,5.0676
99,101119574,101119566,101120008,101120017,2,9,6.3344,434.0,5.0326
100,110226214,110226206,110227379,110227388,3,4,6.7122,582.5,4.9746
101,138430689,138430681,138431069,138431078,2,0,6.3936,380.0,4.9637
102,73848988,73848980,73849141,73849150,2,6,5.4634,153.0,4.9204
103,42457733,42457725,42457837,42457846,2,1,6.1331,104.0,4.9185
104,132693831,132693823,132694051,132694060,2,8,5.3958,220.0,4.8691
105,33153109,33153101,33153322,33153331,2,8,5.6882,213.0,4.8639
106,75165162,75165154,75165354,75165363,2,8,6.7122,192.0,4.8506
107,10007442,10007434,10007925,10007934,2,4,5.7305,483.0,4.8352
108,37107292,37107284,37107747,37107756,2,4,5.7305,455.0,4.8352
109,33897326,33897318,33898547,33898556,3,9,6.7122,610.5,4.8275
110,63892150,63892142,63892464,63892473,2,5,5.2882,314.0,4.8247
111,26479977,26479969,26481264,26481273,3,0,6.7852,643.5,4.8195
112,58961658,58961650,58961731,58961740,2,7,5.3904,73.0,4.8111
113,121900554,121900546,121901044,121901053,2,4,6.3565,490.0,4.8071
114,81652689,81652681,81653150,81653159,2,4,6.7122,461.0,4.7941
115,41592891,41592883,41593067,41593076,2,8,5.7328,176.0,4.7937
116,68559243,68559235,68559628,68559637,2,0,6.5302,385.0,4.7889
117,15299813,15299805,15301200,15301209,3,0,5.556,693.5,4.7599
118,44388560,44388552,44388640,44388649,2,1,6.6882,80.0,4.7508
119,51969717,51969709,51969893,51969902,2,8,5.4001,176.0,4.7476
