id,center_pos,weight,draw_input0,draw_input1,draw_input2,draw_input3,draw_input4,draw_input5,draw_input6,draw_input7,draw_input8,draw_input9,arr_final,arr_final_draw
0,10137,3.0969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,10448,3.0088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,11758,3.0545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,12553,3.4685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,12724,3.0419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,14465,3.1662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,15078,3.0501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,15943,3.4685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,18775,3.1349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,19480,3.1662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,21434,3.5287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,22198,3.5376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,23324,3.8447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,24939,4.4045,0,-1,0,-1,0,0,0,0,0,-1,0,0
14,25128,3.9626,0,-1,0,-1,0,0,0,0,0,-1,0,0
15,25356,3.52,0,-1,0,-1,0,-1,0,0,0,-1,1,-1
16,25664,3.3107,0,-1,-1,-1,0,-1,0,0,-1,-1,2,-1
17,26275,3.0545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,26519,3.0545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,27101,3.0186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
