id,center_pos,start_pos,end_pos,class_id,weight
1,60033,60025,60042,4,3.2765
2,60071,60063,60080,4,3.2765
3,60109,60101,60118,4,3.2765
4,60783,60775,60792,-1,3.6882
5,60953,60945,60962,-1,3.699
6,62067,62059,62076,9,3.04
7,62288,62280,62297,9,3.5901
8,62348,62340,62357,9,3.2526
9,62606,62598,62615,9,3.6162
10,62679,62671,62688,9,3.2993
11,62889,62881,62898,9,3.5719
12,63903,63895,63912,-1,3.1337
13,63943,63935,63952,-1,3.1337
14,66136,66128,66145,-1,3.3706
15,66824,66816,66833,-5,3.475
16,66955,66947,66964,0,3.0264
17,67082,67074,67091,0,3.0443
18,67179,67171,67188,0,4.0872
19,67276,67268,67285,0,4.1238
20,68957,68949,68966,-1,3.059
21,70199,70191,70208,5,3.4425
22,70482,70474,70491,5,3.0009
23,70519,70511,70528,5,3.1752
24,70821,70813,70830,5,3.2034
25,71867,71859,71876,-1,4.2765
26,72288,72280,72297,-1,3.5143
27,72928,72920,72937,-1,4.4622
28,73518,73510,73527,-1,3.8761
29,74017,74009,74026,-1,3.0645
30,75126,75118,75135,-5,3.4473
31,75515,75507,75524,9,3.4949
32,75679,75671,75688,9,3.0996
33,75804,75796,75813,9,3.1637
34,77462,77454,77471,-1,3.083
35,77662,77654,77671,-1,3.5622
36,78648,78640,78657,-1,3.1046
37,79720,79712,79729,-1,3.5331
38,79846,79838,79855,-1,3.2277
39,81871,81863,81880,-1,3.7959
40,82433,82425,82442,-1,3.5214
41,82655,82647,82664,-1,3.3737
42,83816,83808,83825,1,3.153
43,84175,84167,84184,1,3.5258
44,84452,84444,84461,1,3.2495
45,86108,86100,86117,5,3.041
46,86276,86268,86285,5,3.3696
47,86681,86673,86690,0,3.0491
48,86788,86780,86797,0,3.0899
49,86912,86904,86921,0,3.983
50,87813,87805,87822,-1,3.5901
51,88843,88835,88852,-1,3.5114
52,89569,89561,89578,-1,3.1688
53,90263,90255,90272,-1,3.2916
54,91407,91399,91416,-1,3.0915
55,93459,93451,93468,-1,3.1146
56,94089,94081,94098,-1,3.3915
57,95215,95207,95224,-5,3.0123
58,95274,95266,95283,4,3.0123
59,95297,95289,95306,4,3.4908
60,95336,95328,95345,4,3.0123
61,95365,95357,95374,4,3.0123
62,95388,95380,95397,4,3.4908
63,95419,95411,95428,4,3.1618
64,95456,95448,95465,4,3.0521
65,95540,95532,95549,4,3.7328
66,95570,95562,95579,4,3.2358
67,146137,146129,146146,8,3.585
68,146172,146164,146181,8,3.8539
69,146250,146242,146259,8,4.2716
70,146343,146335,146352,-5,3.1397
71,147052,147044,147061,-1,3.0273
72,148068,148060,148077,-1,3.059
73,149839,149831,149848,0,4.0872
74,149936,149928,149945,0,3.0443
75,150063,150055,150072,0,3.0264
76,150194,150186,150203,-5,3.0269
77,150883,150875,150892,-1,3.3706
78,152537,152529,152546,-1,3.3526
79,152597,152589,152606,-1,3.5901
80,153935,153927,153944,-1,3.699
81,154116,154108,154125,-1,3.6882
82,154795,154787,154804,4,3.2765
83,154833,154825,154842,4,3.2765
84,154871,154863,154880,4,3.2765
85,154909,154901,154918,4,3.2765
86,154947,154939,154956,4,3.2765
87,154985,154977,154994,4,3.2765
88,155023,155015,155032,4,3.2765
89,155061,155053,155070,4,3.2765
90,155099,155091,155108,4,3.2765
91,155137,155129,155146,4,3.2765
92,155255,155247,155264,-5,3.0246
93,156791,156783,156800,-5,3.2757
94,157056,157048,157065,8,3.2118
95,157086,157078,157095,8,3.0088
96,157178,157170,157187,8,3.3778
97,157252,157244,157261,4,3.0297
98,157285,157277,157294,4,3.2321
99,157306,157298,157315,4,3.202
100,158026,158018,158035,8,4.3716
101,158099,158091,158108,8,4.2676
102,159167,159159,159176,-1,4.5143
103,160178,160170,160187,-1,3.1463
104,160707,160699,160716,5,3.6946
105,160741,160733,160750,5,3.4763
106,161009,161001,161018,5,3.5702
107,161201,161193,161210,5,3.4401
108,162759,162751,162768,-1,3.2692
109,162955,162947,162964,-1,3.0214
110,163576,163568,163585,-1,3.1433
111,164330,164322,164339,9,3.3288
112,164516,164508,164525,9,3.0004
113,164592,164584,164601,9,3.2757
114,164906,164898,164915,5,3.0691
115,165087,165079,165096,5,3.7825
116,165229,165221,165238,5,3.1791
117,166038,166030,166047,3,4.1101
118,166363,166355,166372,3,3.1512
119,166513,166505,166522,3,3.059
120,166905,166897,166914,9,3.1107
121,167050,167042,167059,9,3.3089
122,167591,167583,167600,-1,4.0334
123,168722,168714,168731,-1,3.9355
124,168777,168769,168786,-1,3.0691
125,169622,169614,169631,-1,3.6517
126,170171,170163,170180,-1,3.6882
127,170830,170822,170839,-1,3.7852
128,172101,172093,172110,-1,3.7721
129,172236,172228,172245,-1,3.219
130,172849,172841,172858,7,3.9547
131,173112,173104,173121,7,4.6882
132,174164,174156,174173,-1,3.4776
133,174217,174209,174226,-1,3.9172
134,175257,175249,175266,-1,3.1649
135,176792,176784,176801,-5,3.0721
136,177159,177151,177168,3,3.0292
137,177331,177323,177340,3,4.8665
138,177658,177650,177667,3,3.3546
139,178263,178255,178272,-1,3.3335
140,178817,178809,178826,-1,3.214
141,179033,179025,179042,-1,3.1267
142,179596,179588,179605,6,3.5751
143,180010,180002,180019,6,3.0325
144,180456,180448,180465,6,3.2197
145,180870,180862,180879,6,3.0788
146,182709,182701,182718,-1,3.1397
147,184093,184085,184102,-1,3.2299
148,185602,185594,185611,-1,4.1543
149,186166,186158,186175,-1,3.6861
150,189770,189762,189779,-1,3.983
151,190162,190154,190171,-1,3.3595
152,190690,190682,190699,8,4.4353
153,190755,190747,190764,8,4.3363
