id,center_pos,start_pos,end_pos,class_id,weight
1,10137,10129,10146,-1,3.0969
2,10448,10440,10457,-1,3.0088
3,11758,11750,11767,-1,3.0545
4,12553,12545,12562,-1,3.4685
5,12724,12716,12733,-1,3.0419
6,14465,14457,14474,-1,3.1662
7,15078,15070,15087,-1,3.0501
8,15943,15935,15952,-1,3.4685
9,18775,18767,18784,-1,3.1349
10,19480,19472,19489,-1,3.1662
11,21434,21426,21443,-1,3.5287
12,22198,22190,22207,-1,3.5376
13,23324,23316,23333,-1,3.8447
14,24939,24931,24948,5,4.4045
15,25128,25120,25137,5,3.9626
16,25356,25348,25365,-1,3.52
17,25664,25656,25673,-1,3.3107
18,26275,26267,26284,-1,3.0545
19,26519,26511,26528,-1,3.0545
20,27101,27093,27110,-1,3.0186
21,29325,29317,29334,-1,3.0467
22,29691,29683,29700,-1,3.0467
23,30911,30903,30920,-1,3.0467
24,33409,33401,33418,-1,3.0467
25,34079,34071,34088,-1,3.0545
26,34966,34958,34975,-1,3.0186
27,36275,36267,36284,-1,3.0467
28,37495,37487,37504,-1,3.0467
29,39993,39985,40002,-1,3.0467
30,40663,40655,40672,-1,3.0545
31,41212,41204,41221,-1,3.0467
32,41550,41542,41559,-1,3.0186
33,43408,43400,43417,-1,3.0467
34,43774,43766,43783,-1,3.0467
35,95322,95314,95331,-1,3.4685
36,95972,95964,95981,-1,3.0372
37,98264,98256,98273,-1,3.1349
38,98969,98961,98978,-1,3.1662
39,100169,100161,100178,-1,3.5287
40,100933,100925,100942,-1,3.5376
41,102059,102051,102068,-1,3.8447
42,103674,103666,103683,5,4.4045
43,103863,103855,103872,5,3.9626
44,104398,104390,104407,-1,3.3107
45,107449,107441,107458,-1,3.0467
46,109706,109698,109715,-1,3.1209
47,110987,110979,110996,-1,3.0496
48,111353,111345,111362,-1,3.0467
49,114218,114210,114227,8,3.0545
50,114279,114271,114288,8,3.0496
51,114645,114637,114654,8,3.0467
52,116351,116343,116360,-1,3.0448
53,118027,118019,118036,-1,3.4597
54,121105,121097,121114,-1,4.4789
55,123443,123435,123452,-1,3.3063
56,128580,128572,128589,8,3.6556
57,128724,128716,128733,8,3.0168
58,129012,129004,129021,8,3.2581
59,130335,130327,130344,-1,3.8761
60,137888,137880,137897,-1,3.1778
61,143136,143128,143145,-1,4.5243
62,143913,143905,143922,3,3.3098
63,143968,143960,143977,3,3.0857
64,143995,143987,144004,3,3.3098
65,144048,144040,144057,3,3.0857
66,144075,144067,144084,3,3.3098
67,144116,144108,144125,3,3.0857
68,144143,144135,144152,3,3.3391
69,144197,144189,144206,3,3.0857
70,144224,144216,144233,3,3.3098
71,144265,144257,144274,3,3.0857
72,144292,144284,144301,3,3.3391
73,144346,144338,144355,3,3.0857
74,144373,144365,144382,3,3.3098
75,144414,144406,144423,3,3.0857
76,144441,144433,144450,3,3.3098
77,144482,144474,144491,3,3.0857
78,144509,144501,144518,3,3.3391
79,144563,144555,144572,3,3.0857
80,144590,144582,144599,3,3.3098
81,144645,144637,144654,3,3.0857
82,144672,144664,144681,3,3.3098
83,144727,144719,144736,3,3.0857
84,144807,144799,144816,3,3.0857
85,144834,144826,144843,3,3.3098
86,144875,144867,144884,3,3.0857
87,144949,144941,144958,-1,4.2132
88,148681,148673,148690,-1,3.341
89,149474,149466,149483,-1,3.1057
90,149686,149678,149695,-1,3.0783
91,153400,153392,153409,-1,3.0915
92,155274,155266,155283,-1,3.0701
93,156776,156768,156785,-1,3.0061
94,157176,157168,157185,-1,3.5229
95,159681,159673,159690,-1,3.3382
96,163226,163218,163235,-1,3.0405
97,166854,166846,166863,-1,6.3028
98,167689,167681,167698,-1,3.1261
99,168262,168254,168271,-1,3.1818
100,168305,168297,168314,-1,3.8416
101,171106,171098,171115,-1,3.3045
102,171251,171243,171260,-1,3.1938
103,172140,172132,172149,-1,3.109
104,175692,175684,175701,4,3.3197
105,176443,176435,176452,4,3.1537
106,176782,176774,176791,4,3.1537
107,177122,177114,177131,4,3.1537
108,178527,178519,178536,9,3.4413
109,178604,178596,178613,9,4.1555
110,178672,178664,178681,9,3.1791
111,178849,178841,178858,9,3.7932
112,178946,178938,178955,9,3.9101
113,179020,179012,179029,9,3.3288
114,179043,179035,179052,9,3.0353
115,179140,179132,179149,9,4.4647
116,179177,179169,179186,9,3.3706
117,179972,179964,179981,-1,3.0246
118,231936,231928,231945,1,3.5376
119,232031,232023,232040,1,3.0292
120,232183,232175,232192,1,3.0292
121,232325,232317,232334,1,3.0292
122,232465,232457,232474,1,3.0292
123,232605,232597,232614,1,3.0292
124,232758,232750,232767,1,3.0292
125,232912,232904,232921,1,3.0292
126,233054,233046,233063,1,3.0292
127,233211,233203,233220,-1,3.0292
128,233769,233761,233778,-1,3.4365
129,234014,234006,234023,-1,4.1118
130,235142,235134,235151,-1,3.6778
131,237673,237665,237682,-1,3.2628
132,238945,238937,238954,-1,3.0915
133,240427,240419,240436,-1,3.0773
134,241551,241543,241560,-1,3.2306
135,243782,243774,243791,-1,3.4685
136,244234,244226,244243,-1,3.1296
137,245020,245012,245029,-1,3.0458
138,245261,245253,245270,-1,3.3507
139,248669,248661,248678,-1,3.0182
140,252686,252678,252695,-1,3.0405
141,252821,252813,252830,-1,3.0783
142,259371,259363,259380,-1,3.0655
143,259540,259532,259549,-1,3.1337
144,260727,260719,260736,-1,3.0521
145,261807,261799,261816,5,3.5528
146,262105,262097,262114,5,3.4179
147,262157,262149,262166,5,3.2549
148,262799,262791,262808,-1,3.0747
149,263657,263649,263666,-1,3.0706
150,264454,264446,264463,-1,3.1506
151,265065,265057,265074,-1,3.1537
152,266377,266369,266386,5,3.2418
153,266443,266435,266452,5,4.2284
154,266713,266705,266722,5,3.7595
155,270018,270010,270027,-1,3.4377
156,270719,270711,270728,-1,3.9208
157,274055,274047,274064,3,3.9747
158,274084,274076,274093,3,3.1124
159,274113,274105,274122,3,3.9747
160,274142,274134,274151,3,3.1537
161,274200,274192,274209,3,4.9626
162,274229,274221,274238,3,4.7235
163,274345,274337,274354,3,3.8996
164,274374,274366,274383,3,4.3696
165,274402,274394,274411,3,4.9626
166,278420,278412,278429,-1,3.382
167,279649,279641,279658,-1,3.1158
168,280547,280539,280556,-1,3.5622
169,280635,280627,280644,-1,3.1752
170,282876,282868,282885,-1,3.0057
171,283255,283247,283264,-1,3.1772
172,290654,290646,290663,8,3.5638
173,290791,290783,290800,8,3.3605
174,291037,291029,291046,8,3.0857
175,292303,292295,292312,-1,3.9586
176,293470,293462,293479,-1,3.2211
177,294663,294655,294672,-1,3.4045
178,295846,295838,295855,-1,3.7852
179,296882,296874,296891,-1,3.1637
180,296912,296904,296921,-1,3.1481
181,299579,299571,299588,-1,3.3335
182,301332,301324,301341,-1,3.0931
183,302899,302891,302908,-1,3.083
184,304465,304457,304474,-1,3.2062
185,305136,305128,305145,-1,4.2565
186,305798,305790,305807,-1,3.0835
187,306260,306252,306269,-1,4.04
188,307828,307820,307837,9,3.1791
189,307965,307957,307974,9,3.4056
190,308014,308006,308023,9,3.3098
191,309202,309194,309211,-1,3.4318
192,309953,309945,309962,-1,3.3686
193,310902,310894,310911,-1,3.0214
194,311284,311276,311293,-1,3.153
195,312412,312404,312421,4,3.9547
196,312912,312904,312921,4,3.762
197,313054,313046,313063,4,3.1018
198,313632,313624,313641,9,3.5243
199,313698,313690,313707,9,3.5243
200,313778,313770,313787,9,3.5243
201,314804,314796,314813,-1,3.3625
202,315697,315689,315706,-1,3.4283
203,316633,316625,316642,-1,3.4202
204,320461,320453,320470,-1,3.5143
205,320780,320772,320789,-1,3.7282
206,321398,321390,321407,8,3.266
207,321705,321697,321714,8,3.2111
208,321840,321832,321849,8,3.5157
209,323837,323829,323846,-1,3.7235
210,325663,325655,325672,-1,3.2403
211,326140,326132,326149,5,4.2823
212,326315,326307,326324,5,3.4815
213,326482,326474,326491,5,3.4815
214,326892,326884,326901,1,3.2381
215,326983,326975,326992,1,3.3507
216,327168,327160,327177,1,3.0009
217,328946,328938,328955,-1,3.1314
218,330882,330874,330891,-1,4.4034
219,331717,331709,331726,-1,3.2248
220,333121,333113,333130,-1,3.0585
221,337809,337801,337818,4,3.1637
222,338581,338573,338590,4,3.1918
223,338989,338981,338998,4,3.289
224,339209,339201,339218,4,3.4401
225,342287,342279,342296,9,3.3054
226,342375,342367,342384,9,3.3054
227,342467,342459,342476,9,3.3054
228,344367,344359,344376,-1,3.0814
229,345334,345326,345343,5,3.5003
230,345605,345597,345614,5,4.4895
231,345713,345705,345722,5,3.1518
232,346313,346305,346322,-1,3.4078
233,347067,347059,347076,-1,3.6676
234,348336,348328,348345,-1,3.0164
235,350870,350862,350879,-1,3.0061
236,351771,351763,351780,-1,3.3261
237,353586,353578,353595,-1,3.0711
238,354106,354098,354115,-1,3.0009
239,354410,354402,354419,-1,3.3045
240,356187,356179,356196,-1,3.9469
241,356205,356197,356214,-1,3.1911
242,358213,358205,358222,1,3.1878
243,358325,358317,358334,1,3.0585
244,358493,358485,358502,1,3.0357
245,360583,360575,360592,-1,3.0953
246,361530,361522,361539,-1,3.71
247,362478,362470,362487,-1,3.0521
248,362918,362910,362927,-1,3.0706
249,363907,363899,363916,-1,3.2684
250,364430,364422,364439,-1,3.5638
251,366031,366023,366040,-1,3.9031
252,366197,366189,366206,-1,3.4365
253,367721,367713,367730,9,3.1986
254,367776,367768,367785,9,3.0585
255,367885,367877,367894,9,3.1986
256,367934,367926,367943,9,3.1986
257,368030,368022,368039,9,3.2958
258,368071,368063,368080,9,3.1765
259,368276,368268,368285,1,3.1986
260,368419,368411,368428,1,3.1986
261,368692,368684,368701,-1,3.1469
262,370791,370783,370800,-1,3.6635
263,371493,371485,371502,-1,3.041
264,375178,375170,375187,-1,3.0862
265,375203,375195,375212,-1,3.684
266,376867,376859,376876,1,3.6091
267,377027,377019,377036,1,3.4034
268,377204,377196,377213,1,3.2941
269,377285,377277,377294,1,3.0146
270,378141,378133,378150,-1,3.6946
271,378220,378212,378229,-1,3.1739
272,378777,378769,378786,-1,3.1198
273,378881,378873,378890,-1,3.295
274,380118,380110,380127,9,3.383
275,380223,380215,380232,9,3.3862
276,380263,380255,380272,9,3.0079
277,382859,382851,382868,1,3.041
