id,center_pos,start_pos,end_pos,class_id,weight
1,6716228,6716220,6716237,0,10
2,6716640,6716632,6716649,0,10
3,6716809,6716801,6716818,0,10
4,6716986,6716978,6716995,0,10
5,6717043,6717035,6717052,0,10
6,6717081,6717073,6717090,0,10
7,6717120,6717112,6717129,0,10
8,6717153,6717145,6717162,0,10
9,6717192,6717184,6717201,0,10
10,6717219,6717211,6717228,0,10
11,6717262,6717254,6717271,0,10
12,6717299,6717291,6717308,0,10
13,6717432,6717424,6717441,0,10
14,6717509,6717501,6717518,0,10
15,6717547,6717539,6717556,0,10
16,6717586,6717578,6717595,0,10
17,6717620,6717612,6717629,0,10
18,6717673,6717665,6717682,0,10
19,6717795,6717787,6717804,0,10
20,6717871,6717863,6717880,0,10
21,6718052,6718044,6718061,0,10
22,6718178,6718170,6718187,0,10
23,6718541,6718533,6718550,0,10
24,6718579,6718571,6718588,0,10
25,6718736,6718728,6718745,0,10
26,6719278,6719270,6719287,0,10
27,6719480,6719472,6719489,0,10
28,6720421,6720413,6720430,0,10
29,6720570,6720562,6720579,0,10
30,6720675,6720667,6720684,0,10
31,6722221,6722213,6722230,0,10
32,6722276,6722268,6722285,0,10
33,6722349,6722341,6722358,0,10
34,6722451,6722443,6722460,0,10
35,6722814,6722806,6722823,0,10
36,6722860,6722852,6722869,0,10
37,6722911,6722903,6722920,0,10
38,6723030,6723022,6723039,0,10
39,6723069,6723061,6723078,0,10
40,6723154,6723146,6723163,0,10
41,6723190,6723182,6723199,0,10
42,6723227,6723219,6723236,0,10
43,6723515,6723507,6723524,0,10
