rank_id,center_pos,start_pos,end_pos,class_id,weight,score
0,96049258,96049250,96049267,4,5.1002,61.166799999999995
1,6717299,6717291,6717308,4,7.5045,52.6123
2,6717673,6717665,6717682,4,7.9355,34.948
3,82499113,82499105,82499122,4,4.3595,32.7267
4,44185067,44185059,44185076,0,4.9031,29.385399999999997
5,89097213,89097205,89097222,4,3.8182,27.7327
6,6716986,6716978,6716995,5,7.3675,26.4289
7,6722911,6722903,6722920,8,7.3354,25.746700000000004
8,6722349,6722341,6722358,8,7.3726,25.523699999999998
9,20244428,20244420,20244437,4,3.5243,24.9257
10,58273723,58273715,58273732,4,4.308,23.6995
11,6723227,6723219,6723236,4,7.5784,20.8004
12,20243612,20243604,20243621,4,4.8356,20.7947
13,89096672,89096664,89096681,4,4.8153,18.7598
14,122118976,122118968,122118985,1,4.5719,17.492299999999997
15,129049631,129049623,129049640,8,3.6289,16.1436
16,131068433,131068425,131068442,4,3.5986,16.1264
17,25997486,25997478,25997495,7,3.4855,15.7065
18,120461649,120461641,120461658,6,4.0645,15.42
19,131877627,131877619,131877636,4,3.5638,15.375599999999995
20,85531606,85531598,85531615,5,3.301,14.8276
21,90613770,90613762,90613779,3,4.3478,14.0566
22,57679860,57679852,57679869,1,3.9747,14.046800000000001
23,98948775,98948767,98948784,7,5.719,13.8404
24,106132393,106132385,106132402,3,3.5607,13.7729
25,6723069,6723061,6723078,4,7.5391,13.6887
26,103319024,103319016,103319033,1,3.1759,13.3771
27,98225042,98225034,98225051,5,3.7932,13.3282
28,599618,599610,599627,7,7.2262,13.2638
29,92902358,92902350,92902367,5,4.1273,13.1982
30,9558369,9558361,9558378,4,3.3645,13.1901
31,41768681,41768673,41768690,7,3.4522,13.1128
32,131878128,131878120,131878137,4,3.5638,13.081099999999998
33,24637076,24637068,24637085,6,3.6421,12.922099999999999
34,128243824,128243816,128243833,3,4.2526,12.799400000000002
35,79578199,79578191,79578208,7,3.2596,12.782000000000002
36,18662797,18662789,18662806,3,3.1319,12.7807
37,110862297,110862289,110862306,7,5.7328,12.699900000000001
38,44390479,44390471,44390488,7,3.4559,12.649299999999998
39,40306094,40306086,40306103,5,7.9393,12.5195
40,6718178,6718170,6718187,9,4.1662,12.486699999999999
41,24828868,24828860,24828877,4,5.6536,12.4377
42,63084830,63084822,63084839,1,3.7595,12.4286
43,112965679,112965671,112965688,9,6.7747,12.382000000000001
44,69231291,69231283,69231300,7,3.8996,12.2676
45,98420095,98420087,98420104,6,3.327,12.2669
46,131203164,131203156,131203173,5,3.7471,12.193900000000001
47,86464493,86464485,86464502,0,6.3354,12.151800000000001
48,32064126,32064118,32064135,3,3.3507,12.148500000000002
49,19324846,19324838,19324855,3,3.0665,12.027999999999999
50,126331704,126331696,126331713,5,3.719,12.014100000000001
51,108545009,108545001,108545018,6,3.6459,11.9968
52,20694325,20694317,20694334,7,3.3686,11.9885
53,123186933,123186925,123186942,1,3.8962,11.9878
54,123200387,123200379,123200396,1,3.8962,11.9878
55,32879728,32879720,32879737,7,5.5171,11.9193
56,113209243,113209235,113209252,7,3.4789,11.8993
57,50000721,50000713,50000730,5,3.0862,11.8807
58,95668778,95668770,95668787,1,4.5331,11.845600000000001
59,116497628,116497620,116497637,1,3.3206,11.821399999999999
60,126613305,126613297,126613314,3,3.8097,11.8033
61,18105540,18105532,18105549,4,4.6778,11.7967
62,121953117,121953109,121953126,4,4.1555,11.6733
63,38104761,38104753,38104770,9,3.8297,11.646
64,48271313,48271305,48271322,5,4.7496,11.6031
65,113893388,113893380,113893397,6,3.1925,11.589400000000001
66,21507003,21506995,21507012,7,4.7496,11.584299999999999
67,70713780,70713772,70713789,3,3.7773,11.5495
68,98567055,98567047,98567064,9,3.6253,11.5394
69,33282289,33282281,33282298,5,3.4306,11.5366
70,83142233,83142225,83142242,1,4.2118,11.5291
71,41560307,41560299,41560316,3,4.4815,11.5287
72,22539857,22539849,22539866,3,4.118,11.499799999999999
73,18624106,18624098,18624115,6,3.4597,11.4979
74,96377695,96377687,96377704,1,3.2604,11.429900000000002
75,40211193,40211185,40211202,3,3.8601,11.3932
76,82109171,82109163,82109180,2,3.2573,11.3745
77,64670831,64670823,64670840,6,3.7447,11.365199999999998
78,97665478,97665470,97665487,2,5.2652,11.3453
79,26036133,26036125,26036142,7,3.1959,11.333099999999998
80,60764561,60764553,60764570,3,3.8827,11.322899999999999
81,25361756,25361748,25361765,7,3.7471,11.3157
82,48856569,48856561,48856578,5,5.2857,11.3139
83,102088230,102088222,102088239,7,3.2733,11.3121
84,3592005,3591997,3592014,1,6.4449,11.292
85,75703085,75703077,75703094,0,3.7055,11.2864
86,95743717,95743709,95743726,3,4.5467,11.2744
87,49581595,49581587,49581604,3,6.6536,11.266200000000001
88,119708797,119708789,119708806,5,5.821,11.2623
89,41552038,41552030,41552047,2,3.1518,11.2526
90,49291320,49291312,49291329,9,7.0419,11.2512
91,129944166,129944158,129944175,9,5.1101,11.2333
92,111882394,111882386,111882403,1,3.2366,11.147699999999999
93,31054168,31054160,31054177,7,3.8041,11.094899999999999
94,127923685,127923677,127923694,5,5.0283,11.0731
95,87052891,87052883,87052900,5,3.3206,11.065999999999999
96,25327556,25327548,25327565,4,3.6073,11.063200000000002
97,62666544,62666536,62666553,1,5.4895,11.0183
98,19036473,19036465,19036482,0,4.8665,11.0132
99,100360600,100360592,100360609,0,3.5952,11.009899999999998
100,119937016,119937008,119937025,7,3.341,11.0098
101,21542382,21542374,21542391,3,3.0605,11.0069
102,123142856,123142848,123142865,1,3.4283,10.9953
103,65436638,65436630,65436647,5,4.0026,10.9832
104,114636661,114636653,114636670,7,4.5901,10.975399999999999
105,33399083,33399075,33399092,1,4.9393,10.9626
106,128467446,128467438,128467455,5,5.2857,10.9592
107,10946518,10946510,10946527,3,3.2636,10.9583
108,51640075,51640067,51640084,6,3.8327,10.9568
109,4964060,4964052,4964069,9,3.7696,10.9487
110,125383361,125383353,125383370,3,3.4012,10.924599999999998
111,70458664,70458656,70458673,8,6.0329,10.9076
112,89717901,89717893,89717910,7,4.4672,10.904399999999999
113,29334473,29334465,29334482,7,3.0061,10.888600000000002
114,22839614,22839606,22839623,3,4.0429,10.8702
115,37920004,37919996,37920013,7,5.3546,10.869399999999999
116,123032552,123032544,123032561,5,4.5391,10.8495
117,96048650,96048642,96048659,4,5.109,10.8253
118,25199715,25199707,25199724,3,3.2336,10.8157
119,93493120,93493112,93493129,7,6.983,10.7737
120,56722939,56722931,56722948,3,6.3063,10.7724
121,79689062,79689054,79689071,1,6.4935,10.7685
122,61820902,61820894,61820911,7,5.6696,10.7473
123,100921452,100921444,100921461,7,4.9431,10.6941
124,93997535,93997527,93997544,3,3.1415,10.687199999999999
125,43850047,43850039,43850056,7,3.061,10.6689
126,28466604,28466596,28466613,5,3.1938,10.661200000000001
127,93822553,93822545,93822562,5,3.3401,10.645900000000001
128,69676672,69676664,69676681,4,3.4401,10.6456
129,23498645,23498637,23498654,3,3.4634,10.6375
130,16978461,16978453,16978470,6,5.041,10.6374
131,81911442,81911434,81911451,3,3.1073,10.626299999999999
132,82439147,82439139,82439156,3,3.2815,10.624699999999999
133,79135646,79135638,79135655,0,3.2204,10.6174
134,103115726,103115718,103115735,3,6.279,10.6114
135,129925199,129925191,129925208,0,3.3645,10.609
136,1865850,1865842,1865859,5,3.4855,10.601900000000002
137,104983043,104983035,104983052,7,3.0269,10.584700000000002
138,45179699,45179691,45179708,5,3.6737,10.5811
139,99631843,99631835,99631852,3,3.0915,10.5682
140,44960909,44960901,44960918,1,3.4522,10.567799999999998
141,86969139,86969131,86969148,5,3.9626,10.520900000000001
142,70453652,70453644,70453661,6,4.2487,10.5203
143,12208028,12208020,12208037,3,4.4855,10.4873
144,56682944,56682936,56682953,2,4.3478,10.4754
145,64878388,64878380,64878397,3,3.0991,10.443399999999999
146,77241747,77241739,77241756,8,6.1858,10.4079
147,99915870,99915862,99915879,6,3.6326,10.406500000000001
148,1163483,1163475,1163492,3,3.9066,10.383299999999998
149,20112894,20112886,20112903,3,5.6737,10.3733
150,57565064,57565056,57565073,6,3.5406,10.3633
151,8658328,8658320,8658337,5,3.9031,10.346400000000001
152,17042824,17042816,17042833,1,3.757,10.3451
153,28568017,28568009,28568026,5,5.1057,10.334600000000002
154,90694667,90694659,90694676,1,3.055,10.3234
155,76232673,76232665,76232682,3,3.082,10.3095
156,88375878,88375870,88375887,8,6.279,10.3043
