id,center_pos,weight,draw_input0,draw_input1,draw_input2,draw_input3,draw_input4,draw_input5,draw_input6,draw_input7,draw_input8,draw_input9,arr_final,arr_final_draw
0,6000082,3.598599459218456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6001031,5.342944147142896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,6002176,3.175874166083451,-1,-1,1320,-1,-1,-1,1263,-1,-1,-1,0,0
3,6002571,3.595166283380062,-1,1148,1320,852,-1,683,1263,1008,-1,494,1,4
4,6002740,3.1290111862394245,-1,1148,1320,852,-1,683,1263,1008,-1,494,1,4
5,6002818,4.347753658996677,-1,1148,1320,852,-1,683,1263,1008,-1,494,1,4
6,6003239,3.7772835288524167,-1,-1,1320,-1,-1,-1,1263,-1,-1,-1,2,8
7,6003374,3.1180450286603993,-1,-1,1320,-1,-1,-1,1263,-1,-1,-1,2,8
8,6004621,4.2716462179787715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,6006067,3.1811145854059903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,6006971,3.712198270069774,-1,1149,1321,853,-1,-1,1264,1009,-1,-1,3,12
11,6007194,3.093664958194909,-1,1149,1321,853,-1,684,1264,1009,-1,-1,4,16
12,6007412,4.060980223551334,-1,1149,1321,853,-1,684,1264,1009,-1,-1,4,16
13,6007460,3.0231916626619335,-1,1149,1321,853,-1,684,1264,1009,-1,-1,4,16
14,6008516,3.5044556624535517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,6009053,3.3353580244438743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,6009711,3.85078088734462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,6009849,3.4710832997223453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,6011965,4.036212172654444,-1,1150,1322,-1,-1,-1,1265,-1,-1,-1,5,20
19,6011990,3.43297363384094,-1,1150,1322,-1,-1,-1,1265,-1,-1,-1,5,20
20,6012363,3.573488738635425,-1,1150,1322,-1,-1,-1,1265,-1,-1,-1,5,20
21,6013431,3.7986028756795487,-1,1151,1323,-1,-1,-1,1266,-1,-1,-1,6,24
22,6013475,3.037630664329979,-1,1151,1323,-1,-1,-1,1266,-1,-1,-1,6,24
23,6013808,3.2494916051486538,-1,1151,1323,-1,-1,-1,1266,-1,-1,-1,6,24
24,6015101,3.7772835288524167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,6015325,3.1830961606243395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,6016790,3.5086383061657274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,6016909,3.028724151261895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,6018954,3.1999706407558657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,6020216,3.1284270644541214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,6020408,3.4828041020500256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,6022094,3.3251388592621884,329,1152,1324,854,-1,685,1267,1010,-1,495,7,28
32,6022218,4.866461091629782,329,1152,1324,854,-1,685,1267,1010,-1,495,7,28
