rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,96048706,96048698,96049258,96049267,18,4,5.10902,32.470588,80.03299
2,6717043,6717035,6717299,6717308,8,4,8.218245,36.571429,60.059913
3,82498733,82498725,82499113,82499122,15,4,4.416801,27.142857,45.105223
4,6717509,6717501,6717673,6717682,5,4,7.935542,41.0,40.469104
5,89096778,89096770,89097213,89097222,16,4,4.815309,29.0,36.767507
6,20243982,20243974,20244428,20244437,13,4,4.896196,37.166667,33.509767
7,44184416,44184408,44185067,44185076,8,0,4.90309,93.0,30.710884
8,58273173,58273165,58273723,58273732,19,4,4.337242,30.555556,30.64139
9,20243353,20243345,20243612,20243621,8,4,5.289037,37.0,27.782997
10,6722221,6722213,6722349,6722358,3,8,8.642065,64.0,27.380755
11,6716640,6716632,6716986,6716995,3,5,7.625252,173.0,26.092
12,89096474,89096466,89096672,89096681,8,4,4.815309,28.285714,25.382715
13,6723154,6723146,6723227,6723236,3,4,7.578396,36.5,24.26441
14,131067955,131067947,131068433,131068442,17,4,3.686133,29.875,20.101568
15,131877077,131877069,131877627,131877636,21,4,3.563837,27.5,19.209756
16,6722814,6722806,6722911,6722920,3,8,8.677781,48.5,16.61084
17,129049497,129049489,129049631,129049640,3,8,7.152427,67.0,16.498431
18,131877696,131877688,131878128,131878137,18,4,3.590067,25.411765,16.333987
19,9557849,9557841,9558369,9558378,21,4,3.364516,26.0,15.994888
20,120460055,120460047,120461649,120461658,5,6,6.315155,398.5,15.81977
21,18105388,18105380,18105540,18105549,5,4,5.029188,38.0,15.803576
22,6723030,6723022,6723069,6723078,2,4,7.539102,39.0,15.799228
23,121952978,121952970,121953117,121953126,8,4,5.015923,19.857143,15.651308
24,24828796,24828788,24828868,24828877,3,4,5.653647,36.0,15.561115
25,96048562,96048554,96048650,96048659,3,4,5.10902,44.0,14.139857
26,25327296,25327288,25327556,25327565,10,4,3.886057,28.888889,13.921178
27,112965421,112965413,112965679,112965688,3,9,6.774691,129.0,13.226095
28,98224330,98224322,98225042,98225051,5,5,6.005243,178.0,13.085614
29,69676366,69676358,69676672,69676681,14,4,3.440093,23.538462,13.005149
30,92901673,92901665,92902358,92902367,5,5,5.10902,171.25,12.98687
31,9350280,9350272,9350404,9350413,5,4,4.14691,31.0,12.607143
32,86464385,86464377,86464493,86464502,2,0,6.335358,108.0,12.599157
33,40305707,40305699,40306094,40306103,3,5,7.939302,193.5,12.422593
34,79576976,79576968,79577264,79577273,2,7,5.928118,288.0,12.382997
35,49291199,49291191,49291320,49291329,2,9,7.041914,121.0,12.239095
36,18661493,18661485,18661943,18661952,3,3,5.205512,225.0,12.210601
37,32063667,32063659,32064126,32064135,3,3,5.886057,229.5,12.070339
38,69228973,69228965,69231291,69231300,9,7,4.016374,289.75,12.02611
39,66815882,66815874,66815911,66815920,2,4,5.785156,29.0,11.979321
40,91642965,91642957,91643091,91643100,5,4,5.609065,31.5,11.939858
41,129944038,129944030,129944166,129944175,2,9,5.850781,128.0,11.837882
42,98566628,98566620,98567055,98567064,4,9,6.08302,142.333333,11.820794
43,51639222,51639214,51640075,51640084,3,6,5.701147,426.5,11.812542
44,70458611,70458603,70458664,70458673,2,8,6.03292,53.0,11.751674
45,38103390,38103382,38104761,38104770,10,9,4.616185,152.333333,11.685127
46,99656808,99656800,99656869,99656878,3,4,6.391474,30.5,11.586136
47,93492846,93492838,93493120,93493129,2,7,6.982967,274.0,11.553252
48,100360278,100360270,100360600,100360609,4,0,5.528708,107.333333,11.448912
49,19036258,19036250,19036473,19036482,3,0,5.935542,107.5,11.411423
50,50000334,50000326,50000721,50000730,3,5,6.705534,193.5,11.310984
51,2618483,2618475,2618541,2618550,3,4,4.924453,29.0,11.250252
52,3591312,3591304,3592005,3592014,3,1,6.444906,346.5,11.238869
53,77241667,77241659,77241747,77241756,2,8,6.185752,80.0,11.22291
54,128411209,128411201,128411650,128411659,2,2,9.545155,441.0,11.132696
55,40210231,40210223,40211193,40211202,5,3,4.510042,240.5,11.10426
56,25199024,25199016,25199715,25199724,4,3,6.076756,230.333333,11.051679
57,9871096,9871088,9871127,9871136,2,4,5.863279,31.0,11.045638
58,75702875,75702867,75703085,75703094,3,0,6.798603,105.0,11.023394
59,48856214,48856206,48856569,48856578,3,5,5.28567,177.5,11.01263
60,26034827,26034819,26035385,26035394,3,7,6.20412,279.0,10.92571
61,88375747,88375739,88375878,88375887,3,8,6.279014,65.5,10.900386
62,89716748,89716740,89717901,89717910,5,7,4.863279,288.25,10.879009
63,28465577,28465569,28466604,28466613,6,5,4.352617,205.4,10.742161
64,103789756,103789748,103789883,103789892,4,4,4.785156,42.333333,10.70777
65,79135420,79135412,79135646,79135655,3,0,6.692504,113.0,10.705886
66,130302135,130302127,130302199,130302208,4,4,4.939302,21.333333,10.691226
67,22979851,22979843,22979932,22979941,3,4,5.725842,40.5,10.677815
68,61820315,61820307,61820902,61820911,3,7,5.669586,293.5,10.639492
69,10468314,10468306,10468824,10468833,3,3,6.540608,255.0,10.632198
70,48450454,48450446,48450793,48450802,11,4,3.464706,33.9,10.618754
71,100920902,100920894,100921452,100921461,3,7,5.050122,275.0,10.603566
72,123031976,123031968,123032552,123032561,4,5,4.605548,192.0,10.595449
73,128467267,128467259,128467446,128467455,2,5,5.28567,179.0,10.587199
74,73632294,73632286,73632521,73632530,4,8,5.882729,75.666667,10.545789
75,27359301,27359293,27359361,27359370,4,4,4.258061,20.0,10.533008
76,14456715,14456707,14456786,14456795,3,4,5.621602,35.5,10.528644
77,116098439,116098431,116098617,116098626,3,0,6.585027,89.0,10.527601
78,85427789,85427781,85428048,85428057,2,3,6.924453,259.0,10.423933
79,1163013,1163005,1163483,1163492,3,3,5.68403,235.0,10.338809
80,4436681,4436673,4436836,4436845,4,8,5.610834,51.666667,10.329006
81,82108050,82108042,82108502,82108511,2,2,6.815309,452.0,10.31263
82,119708381,119708373,119708797,119708806,3,5,5.821023,208.0,10.301353
83,63952558,63952550,63953544,63953553,6,5,4.166853,197.2,10.295908
84,93462025,93462017,93462223,93462232,3,0,6.528708,99.0,10.286075
85,20112430,20112422,20112894,20112903,3,3,5.673664,232.0,10.285189
86,28567486,28567478,28568017,28568026,4,5,5.105684,177.0,10.22118
87,67394046,67394038,67394068,67394077,2,4,5.596879,22.0,10.177198
88,83471218,83471210,83472279,83472288,5,7,4.207608,265.25,10.13759
89,119935146,119935138,119936077,119936086,4,7,4.681937,310.333333,10.136985
90,16525738,16525730,16525963,16525972,6,4,4.0,45.0,10.124278
91,81909709,81909701,81910605,81910614,5,3,4.455932,224.0,10.108522
92,32406954,32406946,32407320,32407329,7,8,3.723538,61.0,10.049088
93,30016777,30016769,30017084,30017093,2,7,5.527244,307.0,10.001158
94,91717693,91717685,91718303,91718312,5,9,4.524329,152.5,9.990158
