id,center_pos,start_pos,end_pos,class_id,weight
1,3054388,3054380,3054397,-1,4.0017
2,3055118,3055110,3055127,6,4.567
3,3055255,3055247,3055264,6,4.0985
4,3059773,3059765,3059782,-1,4.0386
5,3062602,3062594,3062611,-1,4.2933
6,3065177,3065169,3065186,-1,4.9586
7,3067740,3067732,3067749,-1,4.1255
8,3069296,3069288,3069305,-1,4.1555
9,3077446,3077438,3077455,-1,4.2306
10,3085467,3085459,3085476,-1,4.5045
11,3087281,3087273,3087290,-1,4.0453
12,3087839,3087831,3087848,-1,4.2418
13,3091017,3091009,3091026,-1,4.0292
14,3094000,3093992,3094009,-1,4.1574
15,3095850,3095842,3095859,-1,4.4168
16,3096684,3096676,3096693,-1,4.1118
17,3097204,3097196,3097213,-1,4.2916
18,3100295,3100287,3100304,-1,5.6882
19,3106980,3106972,3106989,-1,4.2426
20,3112284,3112276,3112293,6,4.0521
21,3112429,3112421,3112438,6,4.0223
22,3112582,3112574,3112591,6,4.0232
23,3113376,3113368,3113385,-1,5.0625
24,3127982,3127974,3127991,-1,6.6676
25,3128821,3128813,3128830,-1,4.1831
26,3135791,3135783,3135800,-1,4.1649
27,3145317,3145309,3145326,-1,4.2211
28,3146644,3146636,3146653,-1,4.0448
29,3165577,3165569,3165586,-1,4.9031
30,3169799,3169791,3169808,-1,4.9469
31,3172467,3172459,3172476,-1,5.1543
32,3187317,3187309,3187326,-1,4.3261
33,3190100,3190092,3190109,-1,4.3307
34,3193247,3193239,3193256,-1,4.1267
35,3197978,3197970,3197987,-1,4.2154
36,3199094,3199086,3199103,-1,6.1858
37,3207869,3207861,3207878,-1,4.1778
38,3209279,3209271,3209288,-1,4.3188
39,3218007,3217999,3218016,4,4.2541
40,3218506,3218498,3218515,4,5.2041
41,3225765,3225757,3225774,-1,4.4168
42,3226603,3226595,3226612,-1,4.1118
43,3227548,3227540,3227557,-1,4.3585
44,3230210,3230202,3230219,-1,6.7122
45,3237648,3237640,3237657,-1,4.1118
46,3238797,3238789,3238806,-1,4.0173
47,3240642,3240634,3240651,-1,6.7122
48,3251254,3251246,3251263,-1,4.3307
49,3254468,3254460,3254477,-1,4.1215
50,3255687,3255679,3255696,-1,4.2306
51,3256284,3256276,3256293,-1,6.9245
52,3259244,3259236,3259253,-1,4.2306
53,3261131,3261123,3261140,-1,6.1487
54,3265529,3265521,3265538,-1,5.8297
55,3270046,3270038,3270055,-1,6.7122
56,3273832,3273824,3273841,-1,4.0106
57,3275422,3275414,3275431,-1,4.082
58,3282347,3282339,3282356,-1,4.1118
59,3297877,3297869,3297886,-1,4.1409
60,3298556,3298548,3298565,-1,4.3675
61,3309758,3309750,3309767,-1,4.2541
62,3312750,3312742,3312759,-1,4.118
63,3326428,3326420,3326437,-1,4.1669
64,3342303,3342295,3342312,-1,4.007
65,3350173,3350165,3350182,-1,5.083
66,3354291,3354283,3354300,-1,4.9431
67,3356139,3356131,3356148,-1,4.4012
68,3363669,3363661,3363678,-1,6.3565
69,3368654,3368646,3368663,-1,4.4168
70,3369279,3369271,3369288,3,4.1013
71,3369303,3369295,3369312,3,4.4413
72,3374349,3374341,3374358,-1,4.983
73,3387078,3387070,3387087,6,4.9066
74,3387232,3387224,3387241,6,4.6383
75,3393815,3393807,3393824,-1,4.4023
76,3398082,3398074,3398091,-1,4.2013
77,3403889,3403881,3403898,0,4.061
78,3404256,3404248,3404265,0,4.9431
79,3406429,3406421,3406438,-1,4.4012
80,3427753,3427745,3427762,-1,4.8153
81,3431961,3431953,3431970,-1,6.7122
82,3433959,3433951,3433968,-1,4.0315
83,3440510,3440502,3440519,-1,4.3747
84,3451603,3451595,3451612,-1,4.0904
85,3456824,3456816,3456833,-1,4.0496
86,3467976,3467968,3467985,1,4.067
87,3468084,3468076,3468093,1,4.0675
88,3473722,3473714,3473731,-1,4.1141
89,3477734,3477726,3477743,-1,4.0386
90,3479860,3479852,3479869,-1,4.2848
91,3498473,3498465,3498482,-1,4.0132
92,3504500,3504492,3504509,-1,4.8416
93,3514766,3514758,3514775,-1,4.5482
94,3539216,3539208,3539225,-1,6.7122
95,3541634,3541626,3541643,9,4.2027
96,3542083,3542075,3542092,9,5.0757
97,3546635,3546627,3546644,-1,6.7852
98,3547992,3547984,3548001,-1,4.0395
99,3565205,3565197,3565214,-1,4.8182
100,3567719,3567711,3567728,-1,4.1013
101,3573042,3573034,3573051,-1,4.0315
102,3579542,3579534,3579551,-1,5.6882
103,3583152,3583144,3583161,-1,4.1118
104,3592539,3592531,3592548,-1,4.0516
105,3593774,3593766,3593783,-1,4.0985
106,3594942,3594934,3594951,-1,5.4976
107,3603942,3603934,3603951,-1,4.0155
108,3605129,3605121,3605138,-1,4.007
109,3609506,3609498,3609515,-1,6.4318
110,3610926,3610918,3610935,-1,4.3401
111,3615622,3615614,3615631,-1,4.4168
112,3616455,3616447,3616464,-1,4.1118
113,3627517,3627509,3627526,-1,6.7852
114,3635138,3635130,3635147,-1,4.3615
115,3636671,3636663,3636680,-1,4.2941
116,3637944,3637936,3637953,-1,4.0044
117,3639737,3639729,3639746,-1,4.5751
118,3641248,3641240,3641257,-1,5.6882
119,3644859,3644851,3644868,-1,4.1118
120,3645697,3645689,3645706,-1,4.4168
121,3648159,3648151,3648168,-1,4.4001
122,3649709,3649701,3649718,-1,4.061
123,3653049,3653041,3653058,-1,4.3261
124,3655832,3655824,3655841,-1,4.3307
125,3658852,3658844,3658861,-1,4.1107
126,3669166,3669158,3669175,2,4.7282
127,3669433,3669425,3669442,2,4.5287
128,3670636,3670628,3670645,-1,5.6882
129,3676031,3676023,3676040,-1,4.4737
130,3681576,3681568,3681585,-1,5.5017
131,3682724,3682716,3682733,-1,4.9626
132,3685812,3685804,3685821,-1,4.1308
133,3691513,3691505,3691522,-1,4.6308
134,3697819,3697811,3697828,0,4.3307
135,3698191,3698183,3698200,0,4.1215
136,3701574,3701566,3701583,-1,4.9914
137,3703930,3703922,3703939,-1,4.0164
138,3714338,3714330,3714347,-1,4.1163
139,3716363,3716355,3716372,-1,4.1965
140,3731235,3731227,3731244,-1,4.2976
141,3748022,3748014,3748031,-1,4.2993
142,3761310,3761302,3761319,-1,4.3143
143,3765747,3765739,3765756,-1,4.4855
144,3767683,3767675,3767692,-1,4.7258
145,3768307,3768299,3768316,-1,4.9747
146,3774196,3774188,3774205,-1,4.5045
147,3775776,3775768,3775785,-1,4.0947
148,3782141,3782133,3782150,-1,4.5719
149,3786986,3786978,3786995,-1,6.3354
150,3790743,3790735,3790752,-1,4.118
151,3792054,3792046,3792063,-1,4.3261
152,3793596,3793588,3793605,-1,4.6882
153,3797358,3797350,3797367,-1,5.0501
154,3812070,3812062,3812079,-1,4.4437
155,3812645,3812637,3812654,-1,4.2007
156,3815223,3815215,3815232,-1,5.6882
157,3819672,3819664,3819681,-1,4.4168
158,3821234,3821226,3821243,6,4.0264
159,3821367,3821359,3821376,6,6.7122
160,3822627,3822619,3822636,-1,4.4168
161,3828555,3828547,3828564,-1,4.1186
162,3829951,3829943,3829960,-1,4.2262
163,3831570,3831562,3831579,-1,4.1198
164,3832405,3832397,3832414,-1,4.1118
165,3836027,3836019,3836036,-1,6.7122
166,3840328,3840320,3840337,-1,4.5528
167,3845825,3845817,3845834,-1,4.1118
168,3863521,3863513,3863530,2,4.7328
169,3863760,3863752,3863769,2,4.7077
170,3866159,3866151,3866168,-1,4.1818
171,3869555,3869547,3869564,-1,4.0343
172,3873596,3873588,3873605,-1,5.7305
173,3879476,3879468,3879485,-1,4.4168
