rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6717043,6717035,6717299,6717308,8,4,8.2182,36.5714,32.1685
2,6717509,6717501,6717673,6717682,5,4,7.9355,41.0,20.3314
3,6716640,6716632,6716986,6716995,3,5,7.6253,173.0,18.6846
4,1163013,1163005,1163483,1163492,3,3,5.684,235.0,10.5961
5,4436681,4436673,4436836,4436845,4,8,5.6108,51.6667,10.0361
6,599042,599034,599618,599627,3,7,7.2262,288.0,9.8162
7,5713196,5713188,5713666,5713675,3,3,5.1918,235.0,9.3921
8,4170707,4170699,4172298,4172307,5,6,4.4123,397.75,9.2501
9,3591312,3591304,3592005,3592014,3,1,6.4449,346.5,8.881
10,1101987,1101979,1102555,1102564,3,7,4.7799,284.0,8.7816
11,4885529,4885521,4886194,4886203,4,3,4.684,221.6667,8.7383
12,5042236,5042228,5042381,5042390,2,9,5.4437,145.0,8.6677
13,4720465,4720457,4721570,4721579,6,3,4.4855,221.0,8.5761
14,5881941,5881933,5882002,5882011,2,8,5.1752,61.0,8.5109
15,4822851,4822843,4823018,4823027,3,0,5.3925,83.5,8.4683
16,5769109,5769101,5769768,5769777,4,3,5.1146,219.6667,8.3938
17,4963936,4963928,4964060,4964069,2,9,7.1192,124.0,8.3933
18,3892652,3892644,3893833,3893842,6,3,4.3979,236.2,8.3281
19,6140250,6140242,6140694,6140703,3,3,5.5498,222.0,8.2133
20,5407748,5407740,5408181,5408190,3,3,4.6556,216.5,8.1435
21,852005,851997,853715,853724,5,6,4.3279,427.5,8.092
22,459874,459866,460145,460154,3,9,4.9706,135.5,8.0644
23,6496231,6496223,6496742,6496751,4,5,4.7282,170.3333,7.9791
24,3639649,3639641,3639771,3639780,2,9,5.2907,122.0,7.828
25,4420425,4420417,4420563,4420572,3,8,5.8386,69.0,7.7906
26,2618483,2618475,2618541,2618550,3,4,4.9245,29.0,7.7772
