rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,647665,647657,648906,648915,43,3,5.2848,29.5476,83.2525
2,842811,842803,843588,843597,28,3,5.0731,28.7778,80.6015
3,2387773,2387765,2388559,2388568,24,3,3.4868,34.1739,20.7869
4,24387088,24387080,24387541,24387550,15,3,3.983,32.3571,19.6104
5,18153849,18153841,18157944,18157953,10,2,6.0,455.0,17.343
6,412991,412983,413658,413667,16,3,4.1355,44.4667,15.5933
7,13680384,13680376,13681432,13681441,3,2,6.6055,524.0,15.5453
8,24975341,24975333,24976390,24976399,6,8,5.2434,209.8,14.5564
9,26609089,26609081,26610138,26610147,6,8,5.2434,209.8,14.5564
10,27352262,27352254,27353311,27353320,6,8,5.2434,209.8,14.5564
11,21479708,21479700,21480416,21480425,5,5,5.719,177.0,14.3635
12,888751,888743,889012,889021,7,3,4.8153,43.5,13.7489
13,13836560,13836552,13838244,13838253,4,5,4.8508,561.3333,12.277
14,19126797,19126789,19127374,19127383,4,8,6.5986,192.3333,11.841
15,5313852,5313844,5314326,5314335,5,1,5.7011,118.5,11.7149
16,8286078,8286070,8286935,8286944,6,5,5.7144,171.4,11.6054
17,28607614,28607606,28608975,28608984,5,8,4.6757,340.25,11.479
18,1510486,1510478,1510863,1510872,6,9,4.2069,75.4,11.4438
19,6037049,6037041,6037419,6037428,3,5,6.091,185.0,11.4097
20,26216528,26216520,26217703,26217712,5,4,4.5918,293.75,11.375
21,27744724,27744716,27745899,27745908,5,4,4.5918,293.75,11.375
22,8092226,8092218,8093708,8093717,4,4,6.8861,494.0,11.3411
23,16714461,16714453,16716604,16716613,7,2,4.8633,357.1667,11.33
24,14276894,14276886,14277382,14277391,3,2,6.3904,244.0,11.3239
25,8300373,8300365,8300815,8300824,5,1,6.0462,110.5,11.248
26,15911597,15911589,15911837,15911846,3,1,6.2588,120.0,10.9685
27,13829798,13829790,13830817,13830826,3,2,5.5214,509.5,10.9472
28,13835302,13835294,13836301,13836310,3,8,5.3098,499.5,10.8997
29,4120384,4120376,4121133,4121142,3,7,7.2388,374.5,10.8641
30,21776231,21776223,21779143,21779152,6,7,4.857,582.4,10.7554
31,24959808,24959800,24960982,24960991,5,4,4.8239,293.5,10.3573
32,26593554,26593546,26594730,26594739,5,4,4.8239,294.0,10.3573
33,27367670,27367662,27368846,27368855,5,4,4.8239,294.0,10.3573
34,7821446,7821438,7823724,7823733,7,5,4.767,379.6667,10.1359
35,6708710,6708702,6709067,6709076,5,9,6.054,89.25,10.1333
36,17737348,17737340,17737420,17737429,2,9,7.7696,72.0,10.0981
37,14327900,14327892,14330165,14330174,6,8,4.7852,453.0,10.0624
38,274055,274047,274229,274238,6,3,4.9626,34.8,10.0528
39,25105169,25105161,25107580,25107589,6,2,4.3925,482.2,10.0422
40,26738913,26738905,26741321,26741330,6,2,4.3925,481.6,10.0422
41,24918337,24918329,24919793,24919802,4,2,4.8125,485.3333,9.9715
42,26552080,26552072,26553536,26553545,4,2,4.8125,485.3333,9.9715
43,27408870,27408862,27410326,27410335,4,2,4.8125,485.3333,9.9715
44,2664305,2664297,2664422,2664431,3,9,6.0164,58.5,9.937
45,7314971,7314963,7317008,7317017,5,8,4.5591,509.25,9.8448
46,18694859,18694851,18697265,18697274,8,5,5.3224,343.7143,9.8078
47,13664241,13664233,13664441,13664450,2,8,6.3134,200.0,9.7945
48,13850914,13850906,13852219,13852228,4,2,4.6108,435.0,9.7745
49,14625862,14625854,14626085,14626094,9,3,3.9281,27.875,9.6966
50,5747311,5747303,5749546,5749555,7,5,4.1494,372.5,9.6731
51,16027138,16027130,16027438,16027447,5,9,4.327,75.0,9.4554
52,16810097,16810089,16811194,16811203,3,2,5.5452,548.5,9.4484
53,16979358,16979350,16979514,16979523,5,3,5.5421,39.0,9.4291
54,27221830,27221822,27223471,27223480,5,2,4.3925,410.25,9.3774
55,16593340,16593332,16593449,16593458,2,1,6.2815,109.0,9.3492
56,7881976,7881968,7882121,7882130,2,5,7.4855,145.0,9.3195
57,18056303,18056295,18056604,18056613,4,9,4.8861,100.3333,9.3162
58,2692136,2692128,2695570,2695579,6,6,4.857,686.8,9.2984
59,4055007,4054999,4055405,4055414,4,1,5.51,132.6667,9.2652
60,16201784,16201776,16202080,16202089,5,9,4.4935,74.0,9.2185
61,7967935,7967927,7970637,7970646,5,4,4.5544,675.5,9.2165
62,8818396,8818388,8818648,8818657,4,9,4.5143,84.0,9.2068
63,19940458,19940450,19940975,19940984,3,2,4.8861,258.5,9.2058
64,20238800,20238792,20239317,20239326,3,2,4.8861,258.5,9.2058
65,28705939,28705931,28707228,28707237,4,8,4.6198,429.6667,9.2042
66,13653468,13653460,13656119,13656128,5,7,4.1561,662.75,9.1679
67,13264068,13264060,13264134,13264143,2,9,6.426,66.0,9.138
68,1796071,1796063,1796355,1796364,3,1,5.4711,142.0,9.1031
69,9986524,9986516,9987780,9987789,4,2,5.2684,418.6667,9.0899
70,21620558,21620550,21620613,21620622,3,3,5.0173,27.5,9.0889
71,3157661,3157653,3159763,3159772,6,4,4.6925,420.4,8.925
72,7307394,7307386,7309077,7309086,6,8,4.2291,336.6,8.8511
73,13605190,13605182,13607903,13607912,5,0,5.209,678.25,8.8161
74,6396545,6396537,6396747,6396756,3,9,4.5143,101.0,8.7571
75,9470054,9470046,9470256,9470265,3,9,4.5143,101.0,8.7571
76,21131005,21130997,21131564,21131573,4,5,5.821,186.3333,8.7143
77,7172936,7172928,7173833,7173842,5,8,4.3363,224.25,8.7124
78,17786468,17786460,17786822,17786831,4,1,5.1169,118.0,8.7033
79,5473124,5473116,5473166,5473175,2,3,7.2668,42.0,8.6819
80,6475496,6475488,6476716,6476725,3,4,4.9706,610.0,8.6713
81,25866804,25866796,25868349,25868358,5,8,3.9872,386.25,8.6665
82,28094019,28094011,28095564,28095573,5,8,3.9872,386.25,8.6665
83,24493511,24493503,24493664,24493673,3,9,4.6108,76.5,8.6443
84,19003204,19003196,19006183,19006192,7,2,4.3478,496.5,8.6418
85,16085286,16085278,16086776,16086785,4,6,4.8447,496.6667,8.6365
86,23796591,23796583,23797296,23797305,7,1,4.4737,117.5,8.6275
87,6407181,6407173,6408027,6408036,4,2,4.3737,282.0,8.6152
88,23325228,23325220,23326506,23326515,6,2,4.5214,255.6,8.6129
89,28571014,28571006,28571035,28571044,2,3,5.5331,21.0,8.5957
90,18789106,18789098,18790449,18790458,3,4,5.2204,671.5,8.588
91,24824675,24824667,24827662,24827671,7,4,4.5072,497.8333,8.5779
92,25660810,25660802,25663797,25663806,7,4,4.5072,497.8333,8.5779
93,28299110,28299102,28302097,28302106,7,4,4.5072,497.8333,8.5779
94,15382413,15382405,15384877,15384886,5,4,5.0487,616.0,8.573
95,16226019,16226011,16226173,16226182,3,9,5.0526,77.0,8.5639
96,4990976,4990968,4992038,4992047,3,2,4.6345,531.0,8.5549
97,13510466,13510458,13512423,13512432,6,2,4.762,391.4,8.508
98,143913,143905,144727,144736,22,3,3.3391,38.7619,8.4962
99,3985768,3985760,3988162,3988171,5,2,4.2381,598.5,8.4921
100,16183870,16183862,16184083,16184092,4,9,4.8416,71.0,8.473
101,178849,178841,179177,179186,6,9,4.4647,65.6,8.4629
102,3091244,3091236,3093310,3093319,4,6,5.2958,688.6667,8.4491
103,16568353,16568345,16568353,16568362,1,-1,6.1669,0,8.4366
104,23297320,23297312,23297320,23297329,1,-1,7.1599,0,8.4366
105,59230414,59230406,59230414,59230423,1,-1,6.2984,0,8.4366
106,8625484,8625476,8627283,8627292,6,8,4.0947,359.8,8.4286
107,58836892,58836884,58838028,58838037,5,2,4.2418,284.0,8.4053
108,21804998,21804990,21805161,21805170,3,9,5.057,81.5,8.395
109,19006722,19006714,19007155,19007164,5,1,4.1135,108.25,8.362
110,20832314,20832306,20832442,20832451,2,1,6.1891,128.0,8.3605
111,25956284,25956276,25956559,25956568,3,1,5.0424,137.5,8.3392
112,28005822,28005814,28006097,28006106,3,1,5.0424,137.5,8.3392
113,7018697,7018689,7019184,7019193,3,2,6.3507,243.5,8.3214
114,18544701,18544693,18544940,18544949,3,1,5.1013,119.5,8.3171
115,26199099,26199091,26201471,26201480,6,0,4.1838,474.4,8.2968
116,27760952,27760944,27763324,27763333,6,0,4.1838,474.4,8.2968
117,14673954,14673946,14674238,14674247,2,2,5.0757,284.0,8.2868
118,7950479,7950471,7950704,7950713,3,1,4.7799,112.5,8.2512
119,15476783,15476775,15477033,15477042,2,2,6.6517,250.0,8.2377
120,2252802,2252794,2253450,2253459,4,8,4.4895,216.0,8.228
121,13826488,13826480,13827799,13827808,3,7,4.6108,655.5,8.2066
122,16160467,16160459,16161769,16161778,4,8,4.3028,434.0,8.1942
123,21926359,21926351,21927257,21927266,6,5,4.1785,179.6,8.1893
124,19089959,19089951,19091102,19091111,4,5,4.8894,381.0,8.1833
125,9815815,9815807,9815921,9815930,2,1,5.9547,106.0,8.169
126,21846082,21846074,21846412,21846421,2,4,4.9172,330.0,8.1537
127,21368151,21368143,21368250,21368259,4,3,5.0292,33.0,8.1471
128,9391503,9391495,9391809,9391818,4,1,4.8153,102.0,8.145
129,2084506,2084498,2085113,2085122,3,4,5.2403,303.5,8.1218
130,6876499,6876491,6879310,6879319,7,2,4.158,468.5,8.1082
131,19128256,19128248,19128526,19128535,3,1,5.2388,135.0,8.0958
132,19065289,19065281,19065549,19065558,4,9,4.2716,86.6667,8.0791
133,22126839,22126831,22126918,22126927,2,9,6.9469,79.0,8.0764
134,4142373,4142365,4143907,4143916,4,2,4.6326,511.3333,8.0444
135,10040715,10040707,10041550,10041559,6,5,4.6904,167.0,8.0175
136,15403766,15403758,15404896,15404905,3,8,4.767,565.0,8.0104
137,24922916,24922908,24923295,24923304,4,1,4.2069,126.3333,8.0042
