rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6717509,6717501,6717620,6717629,4,0,7.869666,37.0,28.033314
2,6718052,6718044,6718178,6718187,2,0,7.29243,126.0,12.473412
3,6716640,6716632,6716809,6716818,2,0,7.625252,169.0,9.806536
4,6722814,6722806,6722911,6722920,3,0,8.677781,48.5,9.806536
5,6723030,6723022,6723069,6723078,2,0,7.539102,39.0,9.806536
6,6717043,6717035,6717299,6717308,8,0,8.218245,36.571429,9.018039
7,6723154,6723146,6723227,6723236,3,0,7.578396,36.5,8.707924
8,6717432,6717424,6717432,6717441,1,0,5.590067,0,6.022346
9,6718541,6718533,6718736,6718745,3,0,3.712198,97.5,4.711974
10,6717795,6717787,6717871,6717880,2,0,3.809668,76.0,3.417615
11,6722451,6722443,6722451,6722460,1,0,3.886057,0,2.016254
12,6719278,6719270,6719278,6719287,1,0,3.838632,0,1.90257
13,6720421,6720413,6720675,6720684,3,0,3.596879,127.0,1.816707
14,6719480,6719472,6719480,6719489,1,0,3.056011,0,0.121578
15,6716986,6716978,6716986,6716995,1,0,7.367543,0,0
16,6717673,6717665,6717673,6717682,1,0,7.935542,0,0
17,6722221,6722213,6722221,6722230,1,0,8.642065,0,0
18,6722276,6722268,6722349,6722358,2,0,7.946922,73.0,0
19,6723515,6723507,6723515,6723524,1,0,0,0,0
