id,center_pos,start_pos,end_pos,class_id,weight
1,6716228,6716220,6716237,-5,3.8927900303521317
2,6716640,6716632,6716649,5,7.029653123769907
3,6716809,6716801,6716818,5,7.6252516539898965
4,6716986,6716978,6716995,5,7.367542707815276
5,6717043,6717035,6717052,4,7.723538195826756
6,6717081,6717073,6717090,4,8.21824462534753
7,6717120,6717112,6717129,4,7.510041520575165
8,6717153,6717145,6717162,4,8.18309616062434
9,6717192,6717184,6717201,4,7.443697499232713
10,6717219,6717211,6717228,4,3.7825160557860937
11,6717262,6717254,6717271,4,6.079876673709276
12,6717299,6717291,6717308,4,7.504455662453552
13,6717432,6717424,6717441,-5,5.590066876668706
14,6717509,6717501,6717518,4,7.188424994129407
15,6717547,6717539,6717556,4,7.8696662315049934
16,6717586,6717578,6717595,4,7.090979145788844
17,6717620,6717612,6717629,4,6.61261017366127
18,6717673,6717665,6717682,4,7.935542010773082
19,6717795,6717787,6717804,8,3.688246138944246
20,6717871,6717863,6717880,8,3.8096683018297086
21,6718052,6718044,6718061,9,7.292429823902063
22,6718178,6718170,6718187,9,4.166215625343521
23,6718541,6718533,6718550,0,3.707743928643524
24,6718579,6718571,6718588,0,3.632644078973981
25,6718736,6718728,6718745,0,3.712198270069774
26,6719278,6719270,6719287,-1,3.838631997765025
27,6719480,6719472,6719489,-1,3.0560111249262283
28,6720421,6720413,6720430,9,3.078313524516398
29,6720570,6720562,6720579,9,3.126679398184601
30,6720675,6720667,6720684,9,3.596879478824182
31,6722221,6722213,6722230,8,8.642065152999546
32,6722276,6722268,6722285,8,7.94692155651658
33,6722349,6722341,6722358,8,7.372634143407267
34,6722451,6722443,6722460,-5,3.886056647693163
35,6722814,6722806,6722823,8,8.67778070526608
36,6722860,6722852,6722869,8,7.485452247339714
37,6722911,6722903,6722920,8,7.335358024443875
38,6723030,6723022,6723039,4,7.364516253185088
39,6723069,6723061,6723078,4,7.539102157243452
40,6723154,6723146,6723163,4,6.982966660701219
41,6723190,6723182,6723199,4,7.539102157243452
42,6723227,6723219,6723236,4,7.578396073130169
43,6723515,6723507,6723524,-5,3.282329496997738
